,416_APAR_611.11,420_APAR_612.12,424_APAR_613.13,428_APAR_614.14,432_APAR_615.15,436_APAR_616.16,440_APAR_617.17,444_APAR_618.18,448_APAR_619.19,452_APAR_620.20,456_APAR_621.21,460_APAR_622.22,464_APAR_623.23,468_APAR_624.24,472_APAR_625.25,696_FIF_602.2,698_FIF_603.3,700_FIF_604.4,702_FIF_605.5,704_FIF_606.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-31 23:45:36,24.7,24.8,27.7,34.9,44.7,26.0,26.0,32.8,36.7,42.3,25.5,25.9,28.8,50.3,73.1,27.0,29.0,29.0,33.0,24.0
2019-01-31 23:52:48,24.6,24.8,27.7,35.0,44.7,26.0,26.0,32.8,36.7,42.3,25.5,25.9,28.8,50.3,73.1,27.0,29.0,29.0,33.0,23.964286
2019-02-01 00:00:00,24.6,24.8,27.7,35.0,44.7,26.0,26.0,32.8,36.7,42.3,25.5,25.9,28.8,50.3,73.1,27.0,29.0,29.0,33.0,23.964286
2019-02-01 00:07:12,24.7,24.8,27.7,35.0,44.7,26.0,26.0,32.8,36.7,42.3,25.5,25.9,28.8,50.3,73.1,27.0,29.0,29.0,33.0,24.0
2019-02-01 00:14:24,24.7,24.8,27.7,35.0,44.7,26.0,26.0,32.8,36.7,42.3,25.5,25.9,28.8,50.3,73.1,27.0,29.0,29.0,33.0,24.0
2019-02-01 00:21:36,24.7,24.8,27.7,35.0,44.7,26.0,26.0,32.8,36.7,42.3,25.5,26.0,28.8,50.3,73.1,27.0,29.0,29.0,33.0,24.0
2019-02-01 00:28:48,24.7,24.8,27.7,35.0,44.7,26.0,26.0,32.8,36.7,42.3,25.5,26.0,28.8,50.3,73.1,27.0,29.0,29.0,33.0,24.0
2019-02-01 00:36:00,24.7,24.8,27.7,35.0,44.7,26.0,26.0,32.8,36.7,42.3,25.5,26.0,28.8,50.3,73.1,27.0,29.0,29.0,33.0,24.0
2019-02-01 00:43:12,24.7,24.8,27.7,35.0,44.7,26.0,26.0,32.8,36.7,42.3,25.5,26.0,28.8,50.3,73.1,27.0,29.0,29.0,33.0,24.0
2019-02-01 00:50:24,24.7,24.8,27.7,35.0,44.7,26.0,26.0,32.8,36.7,42.3,25.5,26.0,28.9,50.3,73.1,27.0,29.0,29.0,33.0,24.0
