,4146_MBUS Bmeters,4147_MBUS Bmeters,4150_MBUS Bmeters,4153_MBUS Bmeters,4155_MBUS Bmeters,4156_MBUS Bmeters,4157_MBUS Bmeters,4158_MBUS Bmeters,4159_MBUS Bmeters
,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,
2019-02-06 23:45:36,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-06 23:52:48,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 00:00:00,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 00:07:12,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 00:14:24,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 00:21:36,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 00:28:48,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 00:36:00,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 00:43:12,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 00:50:24,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 00:57:36,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 01:04:48,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 01:12:00,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 01:19:12,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 01:26:24,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 01:33:36,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 01:40:48,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 01:48:00,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 01:55:12,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 02:02:24,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
2019-02-07 02:09:36,0.902,0.399,0.282,0.328,0.178,1.113,0.255,2.801,0.197
