,10_APAR_32.3,14_APAR_33.4,18_APAR_34.5,2_APAR_30.1,6_APAR_31.2,648_FIF_11.11
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-19 23:45:36,10.7,4.0,-0.6,12.5,12.0,
2019-01-19 23:52:48,10.7,4.0,-0.7,12.5,12.0,
2019-01-20 00:00:00,10.7,4.0,-0.7,12.5,12.0,
2019-01-20 00:07:12,10.7,4.0,-0.7,12.5,12.0,
2019-01-20 00:14:24,10.7,4.0,-0.7,12.5,12.0,
2019-01-20 00:21:36,10.7,4.0,-0.7,12.5,12.0,
2019-01-20 00:28:48,10.7,4.0,-0.7,12.5,12.0,
2019-01-20 00:36:00,10.7,4.0,-0.8,12.5,12.0,
2019-01-20 00:43:12,10.7,4.0,-0.8,12.5,12.0,
2019-01-20 00:50:24,10.7,4.0,-0.8,12.4,12.0,
2019-01-20 00:57:36,10.7,4.0,-0.8,12.4,12.0,
2019-01-20 01:04:48,10.6,4.0,-0.8,12.4,12.0,
2019-01-20 01:12:00,10.6,4.0,-0.8,12.4,12.0,
2019-01-20 01:19:12,10.6,3.9,-0.8,12.4,12.0,
2019-01-20 01:26:24,10.6,3.9,-0.8,12.4,12.0,
2019-01-20 01:33:36,10.6,3.9,-0.8,12.4,12.0,
2019-01-20 01:40:48,10.6,3.9,-0.8,12.4,12.0,
2019-01-20 01:48:00,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 01:55:12,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 02:02:24,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 02:09:36,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 02:16:48,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 02:24:00,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 02:31:12,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 02:38:24,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 02:45:36,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 02:52:48,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 03:00:00,10.6,3.9,-0.9,12.4,11.9,
2019-01-20 03:07:12,10.6,3.9,-1.0,12.3,11.9,
2019-01-20 03:14:24,10.6,3.9,-1.0,12.3,11.9,
2019-01-20 03:21:36,10.6,3.8,-1.0,12.3,11.9,
2019-01-20 03:28:48,10.6,3.8,-1.0,12.3,11.9,
2019-01-20 03:36:00,10.5,3.8,-1.1,12.3,11.8,
2019-01-20 03:43:12,10.5,3.8,-1.1,12.3,11.8,
2019-01-20 03:50:24,10.5,3.8,-1.2,12.3,11.8,
2019-01-20 03:57:36,10.5,3.8,-1.2,12.3,11.8,
2019-01-20 04:04:48,10.5,3.8,-1.2,12.2,11.8,
2019-01-20 04:12:00,10.5,3.8,-1.2,12.2,11.8,
2019-01-20 04:19:12,10.5,3.8,-1.3,12.2,11.8,
2019-01-20 04:26:24,10.5,3.8,-1.3,12.2,11.8,
2019-01-20 04:33:36,10.5,3.8,-1.4,12.2,11.7,
2019-01-20 04:40:48,10.5,3.8,-1.4,12.2,11.7,
2019-01-20 04:48:00,10.4,3.7,-1.5,12.1,11.7,
2019-01-20 04:55:12,10.4,3.7,-1.5,12.1,11.7,
2019-01-20 05:02:24,10.4,3.7,-1.5,12.1,11.7,
2019-01-20 05:09:36,10.4,3.7,-1.5,12.1,11.7,
2019-01-20 05:16:48,10.4,3.7,-1.6,12.1,11.7,
2019-01-20 05:24:00,10.4,3.7,-1.6,12.1,11.7,
2019-01-20 05:31:12,10.4,3.7,-1.6,12.0,11.6,
2019-01-20 05:38:24,10.4,3.7,-1.6,12.0,11.6,
