,10_APAR_32.3,14_APAR_33.4,18_APAR_34.5,2_APAR_30.1,6_APAR_31.2,648_FIF_11.11
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-20 23:45:36,9.9,3.0,-1.5,11.8,11.3,
2019-01-20 23:52:48,9.8,3.0,-1.5,11.8,11.3,
2019-01-21 00:00:00,9.8,3.0,-1.5,11.8,11.3,
2019-01-21 00:07:12,9.8,3.0,-1.5,11.8,11.3,
2019-01-21 00:14:24,9.8,3.0,-1.5,11.8,11.3,
2019-01-21 00:21:36,9.8,3.0,-1.6,11.8,11.2,
2019-01-21 00:28:48,9.8,3.0,-1.6,11.8,11.2,
2019-01-21 00:36:00,9.8,3.0,-1.7,11.7,11.2,
2019-01-21 00:43:12,9.8,3.0,-1.7,11.7,11.2,
2019-01-21 00:50:24,9.8,3.0,-1.8,11.7,11.2,
2019-01-21 00:57:36,9.8,3.0,-1.8,11.7,11.2,
2019-01-21 01:04:48,9.8,3.0,-1.8,11.7,11.2,
2019-01-21 01:12:00,9.8,3.0,-1.8,11.7,11.2,
2019-01-21 01:19:12,9.8,3.0,-1.9,11.7,11.2,
2019-01-21 01:26:24,9.8,3.0,-1.9,11.7,11.2,
2019-01-21 01:33:36,9.8,3.0,-2.0,11.7,11.2,
2019-01-21 01:40:48,9.8,3.0,-2.0,11.7,11.2,
2019-01-21 01:48:00,9.8,3.0,-2.1,11.6,11.1,
2019-01-21 01:55:12,9.8,3.0,-2.1,11.6,11.1,
2019-01-21 02:02:24,9.8,3.0,-2.1,11.6,11.1,
2019-01-21 02:09:36,9.8,3.0,-2.1,11.6,11.1,
2019-01-21 02:16:48,9.8,3.0,-2.2,11.6,11.1,
2019-01-21 02:24:00,9.8,3.0,-2.2,11.6,11.1,
2019-01-21 02:31:12,9.7,2.9,-2.3,11.5,11.1,
2019-01-21 02:38:24,9.7,2.9,-2.3,11.5,11.1,
2019-01-21 02:45:36,9.7,2.9,-2.4,11.5,11.0,
2019-01-21 02:52:48,9.7,2.9,-2.4,11.5,11.0,
2019-01-21 03:00:00,9.7,2.9,-2.4,11.5,11.0,
2019-01-21 03:07:12,9.7,2.9,-2.5,11.5,11.0,
2019-01-21 03:14:24,9.7,2.9,-2.5,11.5,11.0,
2019-01-21 03:21:36,9.7,2.9,-2.6,11.4,11.0,
2019-01-21 03:28:48,9.7,2.9,-2.6,11.4,11.0,
2019-01-21 03:36:00,9.6,2.8,-2.8,11.4,11.0,
2019-01-21 03:43:12,9.6,2.8,-2.8,11.4,11.0,
2019-01-21 03:50:24,9.6,2.8,-2.9,11.4,10.9,
2019-01-21 03:57:36,9.6,2.8,-2.9,11.4,10.9,
2019-01-21 04:04:48,9.6,2.8,-3.0,11.4,10.9,
2019-01-21 04:12:00,9.6,2.8,-3.0,11.4,10.9,
2019-01-21 04:19:12,9.6,2.7,-3.1,11.3,10.9,
2019-01-21 04:26:24,9.6,2.7,-3.1,11.3,10.9,
2019-01-21 04:33:36,9.5,2.7,-3.1,11.3,10.9,
2019-01-21 04:40:48,9.5,2.7,-3.1,11.3,10.9,
2019-01-21 04:48:00,9.5,2.6,-3.2,11.3,10.8,
2019-01-21 04:55:12,9.5,2.6,-3.2,11.3,10.8,
2019-01-21 05:02:24,9.5,2.6,-3.2,11.2,10.8,
2019-01-21 05:09:36,9.5,2.6,-3.2,11.2,10.8,
2019-01-21 05:16:48,9.4,2.6,-3.2,11.2,10.8,
2019-01-21 05:24:00,9.4,2.6,-3.2,11.2,10.8,
2019-01-21 05:31:12,9.4,2.5,-3.2,11.2,10.8,
2019-01-21 05:38:24,9.4,2.5,-3.2,11.2,10.8,
