,136_APAR_213.1,144_APAR_214.2,148_APAR_215.3,152_APAR_216.4,156_APAR_217.5,160_APAR_218.6,164_APAR_219.7,168_APAR_220.8,172_APAR_221.9,176_APAR_222.10,180_APAR_223.11,184_APAR_224.12,188_APAR_225.13,192_APAR_226.14,196_APAR_227.15,200_APAR_228.16,204_APAR_229.17,208_APAR_230.18,212_APAR_231.19,216_APAR_232.20,220_APAR_233.21,224_APAR_234.22,228_APAR_235.23,232_APAR_236.24,236_APAR_237.25,240_APAR_238.26,244_APAR_239.27,248_APAR_240.28,3808_APAR_16.16,3812_APAR_17.17,3816_APAR_18.18,656_FIF_203.3,658_FIF_204.4,660_FIF_205.5,662_FIF_206.6,664_FIF_207.7
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-20 23:45:36,27.8,28.0,30.3,41.5,53.5,27.4,29.6,32.7,42.1,54.3,28.4,31.5,40.8,31.7,43.8,53.0,27.3,38.4,57.4,,,,,,,,,,,,,26.0,28.0,23.212121,25.0,24.0
2019-01-20 23:52:48,27.8,28.0,30.3,41.5,53.5,27.4,29.6,32.7,42.1,54.3,28.4,31.5,40.8,31.7,43.8,53.0,27.2,38.4,57.4,,,,,,,,,,42.4,100.0,41.7,26.0,28.0,23.375,25.0,24.0
2019-01-21 00:00:00,27.8,28.0,30.3,41.5,53.5,27.4,29.6,32.7,42.1,54.3,28.4,31.5,40.8,31.7,43.8,53.0,27.2,38.4,57.4,,,,,,,,,,42.4,100.0,41.6,26.0,28.0,23.375,25.0,24.0
2019-01-21 00:07:12,27.8,28.0,30.3,41.5,53.5,27.3,29.6,32.7,42.1,54.3,28.5,31.5,40.8,31.7,43.8,52.9,27.2,38.4,57.4,,,,,,,,,,42.3,100.0,41.6,26.0,28.0,23.272727,25.0,24.0
2019-01-21 00:14:24,27.8,28.0,30.3,41.5,53.5,27.3,29.6,32.7,42.1,54.3,28.5,31.5,40.8,31.7,43.8,52.9,27.2,38.4,57.4,,,,,,,,,,42.3,100.0,41.6,26.0,28.0,23.272727,25.0,24.0
2019-01-21 00:21:36,27.8,28.0,30.3,41.5,53.5,27.3,29.6,32.7,42.1,54.3,28.5,31.5,40.8,31.7,43.8,52.9,27.2,38.3,57.4,,,,,,,,,,41.9,100.0,41.6,26.0,28.0,23.121212,25.0,24.0
2019-01-21 00:28:48,27.8,28.0,30.3,41.5,53.5,27.3,29.6,32.7,42.1,54.3,28.5,31.5,40.8,31.7,43.8,52.9,27.2,38.3,57.4,,,,,,,,,,41.9,100.0,41.6,26.0,28.0,23.121212,25.0,24.0
2019-01-21 00:36:00,27.8,28.0,30.3,41.5,53.5,27.3,29.6,32.7,42.1,54.3,28.5,31.5,40.8,31.7,43.8,52.9,27.2,38.3,57.4,,,,,,,,,,41.8,100.0,41.5,25.96875,28.0,23.09375,25.0,24.0
