,1_APAR_30.1,13_APAR_33.4,17_APAR_34.5,5_APAR_31.2,649_FIF_11.11,9_APAR_32.3
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-20 23:45:36,37.6,61.2,81.9,39.0,,39.5
2019-01-20 23:52:48,37.5,61.2,81.9,39.0,,39.5
2019-01-21 00:00:00,37.5,61.2,81.9,39.0,,39.5
2019-01-21 00:07:12,37.5,61.2,81.9,38.9,,39.5
2019-01-21 00:14:24,37.5,61.2,81.9,38.9,,39.5
2019-01-21 00:21:36,37.5,61.2,81.9,38.9,,39.5
2019-01-21 00:28:48,37.5,61.2,81.9,38.9,,39.5
2019-01-21 00:36:00,37.5,61.2,81.8,38.9,,39.5
2019-01-21 00:43:12,37.5,61.2,81.8,38.9,,39.5
2019-01-21 00:50:24,37.5,61.2,81.8,38.9,,39.5
2019-01-21 00:57:36,37.5,61.2,81.8,38.9,,39.5
2019-01-21 01:04:48,37.5,61.2,81.8,38.9,,39.5
2019-01-21 01:12:00,37.5,61.2,81.8,38.9,,39.5
2019-01-21 01:19:12,37.5,61.2,81.9,38.9,,39.5
2019-01-21 01:26:24,37.5,61.2,81.9,38.9,,39.5
2019-01-21 01:33:36,37.5,61.1,81.9,38.9,,39.5
2019-01-21 01:40:48,37.5,61.1,81.9,38.9,,39.5
2019-01-21 01:48:00,37.5,61.1,81.9,38.9,,39.5
2019-01-21 01:55:12,37.5,61.1,81.9,38.9,,39.5
2019-01-21 02:02:24,37.5,61.1,81.9,38.9,,39.5
2019-01-21 02:09:36,37.5,61.1,81.9,38.9,,39.5
2019-01-21 02:16:48,37.5,61.1,81.9,38.9,,39.5
2019-01-21 02:24:00,37.5,61.1,81.9,38.9,,39.5
2019-01-21 02:31:12,37.4,61.1,81.9,38.8,,39.5
2019-01-21 02:38:24,37.4,61.1,81.9,38.8,,39.5
2019-01-21 02:45:36,37.4,61.0,81.9,38.8,,39.4
2019-01-21 02:52:48,37.4,61.0,81.9,38.8,,39.4
2019-01-21 03:00:00,37.4,61.0,81.9,38.8,,39.4
2019-01-21 03:07:12,37.4,61.0,81.9,38.8,,39.4
2019-01-21 03:14:24,37.4,61.0,81.9,38.8,,39.4
2019-01-21 03:21:36,37.4,61.0,81.9,38.8,,39.4
2019-01-21 03:28:48,37.4,61.0,81.9,38.8,,39.4
2019-01-21 03:36:00,37.4,60.9,81.8,38.8,,39.4
2019-01-21 03:43:12,37.4,60.9,81.8,38.8,,39.4
2019-01-21 03:50:24,37.4,60.9,81.8,38.8,,39.4
2019-01-21 03:57:36,37.4,60.9,81.8,38.8,,39.4
2019-01-21 04:04:48,37.4,60.9,81.9,38.8,,39.4
2019-01-21 04:12:00,37.4,60.9,81.9,38.8,,39.4
2019-01-21 04:19:12,37.3,60.8,81.9,38.8,,39.4
2019-01-21 04:26:24,37.3,60.8,81.9,38.8,,39.4
2019-01-21 04:33:36,37.3,60.8,81.9,38.7,,39.4
2019-01-21 04:40:48,37.3,60.8,81.9,38.7,,39.4
2019-01-21 04:48:00,37.3,60.8,81.9,38.7,,39.4
2019-01-21 04:55:12,37.3,60.8,81.9,38.7,,39.4
2019-01-21 05:02:24,37.3,60.7,81.9,38.7,,39.3
2019-01-21 05:09:36,37.3,60.7,81.9,38.7,,39.3
2019-01-21 05:16:48,37.3,60.7,82.0,38.7,,39.3
2019-01-21 05:24:00,37.3,60.7,82.0,38.7,,39.3
2019-01-21 05:31:12,37.2,60.6,82.0,38.6,,39.3
2019-01-21 05:38:24,37.2,60.6,82.0,38.6,,39.3
2019-01-21 05:45:36,37.3,60.6,82.0,38.7,,39.3
2019-01-21 05:52:48,37.3,60.6,82.0,38.7,,39.3
