,4345_POG_26.26,4353_POG_27.27,4361_POG_28.28,4369_POG_29.29
,avg,avg,avg,avg
Time,,,,
2019-01-20 23:45:36,,,,
2019-01-20 23:52:48,1.74,0.7,0.8,1.35
2019-01-21 00:00:00,1.46,0.56,0.76,1.2
2019-01-21 00:07:12,1.42,0.47,0.75,1.3
2019-01-21 00:14:24,1.42,0.47,0.75,1.3
2019-01-21 00:21:36,1.54,0.58,0.84,1.41
2019-01-21 00:28:48,1.54,0.58,0.84,1.41
2019-01-21 00:36:00,1.44,0.33,0.7,1.39
2019-01-21 00:43:12,1.44,0.33,0.7,1.39
2019-01-21 00:50:24,0.76,0.21,0.25,0.54
2019-01-21 00:57:36,0.76,0.21,0.25,0.54
2019-01-21 01:04:48,0.49,0.1,0.16,0.48
2019-01-21 01:12:00,0.49,0.1,0.16,0.48
2019-01-21 01:19:12,0.51,0.12,0.18,0.49
2019-01-21 01:26:24,0.51,0.12,0.18,0.49
2019-01-21 01:33:36,0.53,0.13,0.16,0.66
2019-01-21 01:40:48,0.53,0.13,0.16,0.66
2019-01-21 01:48:00,0.14,0.05,0.03,0.45
2019-01-21 01:55:12,0.14,0.05,0.03,0.45
2019-01-21 02:02:24,0.17,0.02,0.02,0.42
2019-01-21 02:09:36,0.17,0.02,0.02,0.42
2019-01-21 02:16:48,0.36,0.04,0.11,0.43
2019-01-21 02:24:00,0.36,0.04,0.11,0.43
2019-01-21 02:31:12,0.26,0.03,0.06,0.41
2019-01-21 02:38:24,0.26,0.03,0.06,0.41
2019-01-21 02:45:36,0.26,0.03,0.06,0.41
2019-01-21 02:52:48,0.21,0.0,0.12,0.34
2019-01-21 03:00:00,0.21,0.0,0.12,0.34
2019-01-21 03:07:12,0.64,0.16,0.28,0.52
2019-01-21 03:14:24,0.64,0.16,0.28,0.52
2019-01-21 03:21:36,1.08,0.23,0.44,0.84
2019-01-21 03:28:48,1.08,0.23,0.44,0.84
2019-01-21 03:36:00,1.33,0.24,0.6,1.14
2019-01-21 03:43:12,1.33,0.24,0.6,1.14
2019-01-21 03:50:24,0.52,0.06,0.2,0.37
2019-01-21 03:57:36,0.52,0.06,0.2,0.37
2019-01-21 04:04:48,0.64,0.14,0.5,0.74
2019-01-21 04:12:00,0.64,0.14,0.5,0.74
2019-01-21 04:19:12,1.59,0.75,1.21,1.35
2019-01-21 04:26:24,1.59,0.75,1.21,1.35
2019-01-21 04:33:36,1.71,0.66,1.2,1.33
2019-01-21 04:40:48,1.71,0.66,1.2,1.33
2019-01-21 04:48:00,1.88,0.6,1.12,1.47
2019-01-21 04:55:12,1.88,0.6,1.12,1.47
2019-01-21 05:02:24,1.63,0.58,1.04,1.29
2019-01-21 05:09:36,1.63,0.58,1.04,1.29
2019-01-21 05:16:48,2.17,0.94,1.29,1.67
2019-01-21 05:24:00,2.17,0.94,1.29,1.67
2019-01-21 05:31:12,1.68,0.64,0.97,1.27
2019-01-21 05:38:24,1.68,0.64,0.97,1.27
2019-01-21 05:45:36,1.52,0.62,0.81,1.26
2019-01-21 05:52:48,1.52,0.62,0.81,1.26
2019-01-21 06:00:00,1.52,0.62,0.81,1.26
2019-01-21 06:07:12,1.36,0.65,0.95,1.15
2019-01-21 06:14:24,1.36,0.65,0.95,1.15
2019-01-21 06:21:36,1.32,0.51,0.76,1.09
2019-01-21 06:28:48,1.32,0.51,0.76,1.09
2019-01-21 06:36:00,0.88,0.42,0.59,0.83
2019-01-21 06:43:12,0.88,0.42,0.59,0.83
2019-01-21 06:50:24,0.79,0.42,0.88,1.07
2019-01-21 06:57:36,0.79,0.42,0.88,1.07
2019-01-21 07:04:48,1.23,0.48,0.9,1.18
2019-01-21 07:12:00,1.23,0.48,0.9,1.18
2019-01-21 07:19:12,0.68,0.55,0.82,0.96
2019-01-21 07:26:24,0.68,0.55,0.82,0.96
2019-01-21 07:33:36,0.68,0.39,0.71,0.86
2019-01-21 07:40:48,0.68,0.39,0.71,0.86
2019-01-21 07:48:00,1.11,0.61,1.06,1.29
2019-01-21 07:55:12,1.11,0.61,1.06,1.29
2019-01-21 08:02:24,1.23,0.7,0.93,1.17
2019-01-21 08:09:36,1.23,0.7,0.93,1.17
2019-01-21 08:16:48,1.23,0.7,0.93,1.17
2019-01-21 08:24:00,1.23,0.7,0.93,1.17
2019-01-21 08:31:12,1.33,0.58,1.13,1.35
2019-01-21 08:38:24,1.33,0.58,1.13,1.35
2019-01-21 08:45:36,1.33,0.58,1.13,1.35
2019-01-21 08:52:48,1.51,0.75,0.94,1.27
2019-01-21 09:00:00,1.51,0.75,0.94,1.27
2019-01-21 09:07:12,1.42,0.82,1.43,1.61
2019-01-21 09:14:24,1.42,0.82,1.43,1.61
2019-01-21 09:21:36,1.21,0.82,1.25,1.37
2019-01-21 09:28:48,1.21,0.82,1.25,1.37
2019-01-21 09:36:00,1.05,1.02,1.53,1.58
2019-01-21 09:43:12,1.05,1.02,1.53,1.58
2019-01-21 09:50:24,1.03,1.2,1.55,1.42
2019-01-21 09:57:36,1.03,1.2,1.55,1.42
2019-01-21 10:04:48,0.94,0.96,1.56,1.53
2019-01-21 10:12:00,0.94,0.96,1.56,1.53
2019-01-21 10:19:12,1.26,0.51,0.88,1.26
2019-01-21 10:26:24,1.26,0.51,0.88,1.26
2019-01-21 10:33:36,1.6,0.75,0.98,1.29
2019-01-21 10:40:48,1.6,0.75,0.98,1.29
2019-01-21 10:48:00,1.42,0.54,0.85,1.12
2019-01-21 10:55:12,1.42,0.54,0.85,1.12
2019-01-21 11:02:24,0.85,0.9,1.27,1.3
2019-01-21 11:09:36,0.85,0.9,1.27,1.3
2019-01-21 11:16:48,0.94,1.32,1.57,1.48
2019-01-21 11:24:00,0.94,1.32,1.57,1.48
2019-01-21 11:31:12,0.95,0.86,1.19,1.29
2019-01-21 11:38:24,0.95,0.86,1.19,1.29
2019-01-21 11:45:36,0.95,0.86,1.19,1.29
2019-01-21 11:52:48,0.94,0.55,0.8,0.94
2019-01-21 12:00:00,0.94,0.55,0.8,0.94
2019-01-21 12:07:12,1.07,0.67,1.21,1.27
2019-01-21 12:14:24,1.07,0.67,1.21,1.27
2019-01-21 12:21:36,1.07,0.56,0.86,1.1
2019-01-21 12:28:48,1.07,0.56,0.86,1.1
2019-01-21 12:36:00,0.68,0.69,1.19,1.21
2019-01-21 12:43:12,0.68,0.69,1.19,1.21
2019-01-21 12:50:24,0.9,1.03,1.49,1.44
2019-01-21 12:57:36,0.9,1.03,1.49,1.44
2019-01-21 13:04:48,0.87,0.77,1.3,1.34
2019-01-21 13:12:00,0.87,0.77,1.3,1.34
2019-01-21 13:19:12,0.94,1.13,1.44,1.34
2019-01-21 13:26:24,0.94,1.13,1.44,1.34
2019-01-21 13:33:36,0.9,0.59,0.97,1.07
2019-01-21 13:40:48,0.9,0.59,0.97,1.07
2019-01-21 13:48:00,0.62,0.55,0.79,0.87
2019-01-21 13:55:12,0.62,0.55,0.79,0.87
2019-01-21 14:02:24,0.59,0.5,0.5,0.56
2019-01-21 14:09:36,0.59,0.5,0.5,0.56
2019-01-21 14:16:48,0.27,0.36,0.42,0.42
2019-01-21 14:24:00,0.27,0.36,0.42,0.42
2019-01-21 14:31:12,0.55,0.52,0.48,0.58
2019-01-21 14:38:24,0.55,0.52,0.48,0.58
2019-01-21 14:45:36,0.55,0.52,0.48,0.58
2019-01-21 14:52:48,0.57,0.49,0.5,0.65
2019-01-21 15:00:00,0.57,0.49,0.5,0.65
2019-01-21 15:07:12,0.56,0.57,0.57,0.6
2019-01-21 15:14:24,0.56,0.57,0.57,0.6
2019-01-21 15:21:36,0.57,0.5,0.7,0.72
2019-01-21 15:28:48,0.57,0.5,0.7,0.72
2019-01-21 15:36:00,0.48,0.63,0.61,0.74
2019-01-21 15:43:12,0.48,0.63,0.61,0.74
2019-01-21 15:50:24,0.62,0.75,0.77,0.9
2019-01-21 15:57:36,0.62,0.75,0.77,0.9
2019-01-21 16:04:48,0.57,1.09,1.01,1.06
2019-01-21 16:12:00,0.57,1.09,1.01,1.06
2019-01-21 16:19:12,0.73,1.16,1.12,1.1
2019-01-21 16:26:24,0.73,1.16,1.12,1.1
2019-01-21 16:33:36,0.69,1.11,1.02,1.07
2019-01-21 16:40:48,0.69,1.11,1.02,1.07
2019-01-21 16:48:00,0.79,0.92,1.4,1.44
2019-01-21 16:55:12,0.79,0.92,1.4,1.44
2019-01-21 17:02:24,0.52,0.81,1.16,1.26
2019-01-21 17:09:36,0.52,0.81,1.16,1.26
2019-01-21 17:16:48,0.61,0.69,1.31,1.32
2019-01-21 17:24:00,0.61,0.69,1.31,1.32
2019-01-21 17:31:12,0.54,0.72,1.1,1.17
2019-01-21 17:38:24,0.54,0.72,1.1,1.17
2019-01-21 17:45:36,0.54,0.72,1.1,1.17
2019-01-21 17:52:48,0.84,0.74,1.31,1.37
2019-01-21 18:00:00,0.84,0.74,1.31,1.37
2019-01-21 18:07:12,0.79,0.67,1.16,1.23
2019-01-21 18:14:24,0.79,0.67,1.16,1.23
2019-01-21 18:21:36,0.9,0.35,0.52,0.82
2019-01-21 18:28:48,0.9,0.35,0.52,0.82
2019-01-21 18:36:00,1.38,0.62,0.81,1.16
2019-01-21 18:43:12,1.38,0.62,0.81,1.16
2019-01-21 18:50:24,1.48,0.62,0.93,1.23
2019-01-21 18:57:36,1.48,0.62,0.93,1.23
