,2243_LE03_02.2,2310_LE03_03.3,2377_LE03_04.4,2444_LE03_05.5,2511_LE03_06.6,2578_LE03_07.7,2645_LE03_08.8,2712_LE03_09.9,3861_LE01_26.10,4078_LE03_27.26,4446_LE03_SUM
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,
2019-01-20 23:45:36,122.5,179.9,27.6,,,,,,,,
2019-01-20 23:52:48,122.5,179.9,27.6,34.5,28.5,31.7,30.2,3744.6,1.6,49.2,
2019-01-21 00:00:00,122.5,179.9,27.6,34.5,28.5,31.7,30.2,3745.1,1.6,49.2,
2019-01-21 00:07:12,122.5,179.9,27.6,34.5,28.5,31.7,30.2,3745.5,1.6,49.2,
2019-01-21 00:14:24,122.5,179.9,27.6,34.5,28.5,31.7,30.2,3745.5,1.6,49.2,
2019-01-21 00:21:36,122.5,179.9,27.6,34.5,28.5,31.8,30.2,3746.0,1.6,49.2,
2019-01-21 00:28:48,122.5,179.9,27.6,34.5,28.5,31.8,30.2,3746.0,1.6,49.2,
2019-01-21 00:36:00,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3746.5,1.6,49.3,
2019-01-21 00:43:12,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3746.5,1.6,49.3,
2019-01-21 00:50:24,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3747.0,1.6,49.3,
2019-01-21 00:57:36,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3747.0,1.6,49.3,
2019-01-21 01:04:48,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3747.5,1.6,49.3,
2019-01-21 01:12:00,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3747.5,1.6,49.3,
2019-01-21 01:19:12,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3748.0,1.6,49.3,
2019-01-21 01:26:24,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3748.0,1.6,49.3,
2019-01-21 01:33:36,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3748.5,1.6,49.3,
2019-01-21 01:40:48,122.6,180.0,27.6,34.5,28.5,31.8,30.2,3748.5,1.6,49.3,
2019-01-21 01:48:00,122.6,180.1,27.6,34.5,28.5,31.8,30.2,3749.0,1.6,49.3,
2019-01-21 01:55:12,122.6,180.1,27.6,34.5,28.5,31.8,30.2,3749.0,1.6,49.3,
2019-01-21 02:02:24,122.6,180.1,27.7,34.5,28.5,31.8,30.3,3749.5,1.6,49.3,
2019-01-21 02:09:36,122.6,180.1,27.7,34.5,28.5,31.8,30.3,3749.5,1.6,49.3,
2019-01-21 02:16:48,122.6,180.1,27.7,34.5,28.5,31.8,30.3,3749.9,1.6,49.3,
2019-01-21 02:24:00,122.6,180.1,27.7,34.5,28.5,31.8,30.3,3749.9,1.6,49.3,
2019-01-21 02:31:12,122.7,180.1,27.7,34.5,28.5,31.8,30.3,3750.4,1.6,49.3,
2019-01-21 02:38:24,122.7,180.1,27.7,34.5,28.5,31.8,30.3,3750.4,1.6,49.3,
2019-01-21 02:45:36,122.7,180.1,27.7,34.5,28.5,31.8,30.3,3750.4,1.6,49.3,
2019-01-21 02:52:48,122.7,180.2,27.7,34.5,28.5,31.8,30.3,3750.9,1.6,49.3,
2019-01-21 03:00:00,122.7,180.2,27.7,34.5,28.5,31.8,30.3,3750.9,1.6,49.3,
2019-01-21 03:07:12,122.7,180.2,27.7,34.5,28.5,31.8,30.3,3751.4,1.6,49.3,
