,100_APAR_127.17,104_APAR_128.18,108_APAR_129.19,112_APAR_130.20,116_APAR_131.21,120_APAR_132.22,124_APAR_133.23,128_APAR_134.24,132_APAR_135.25,21_APAR_111.1,25_APAR_112.2,3820_APAR_19.19,3824_APAR_20.20,44_APAR_113.3,48_APAR_114.4,52_APAR_115.5,56_APAR_116.6,60_APAR_117.7,64_APAR_118.8,650_FIF_104.4,652_FIF_105.5,654_FIF_106.6,68_APAR_119.9,72_APAR_120.10,76_APAR_121.11,80_APAR_122.12,84_APAR_123.13,88_APAR_124.14,92_APAR_125.15,96_APAR_126.16
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-30 23:45:36,38.6,53.1,63.9,,,,,,,28.6,29.2,49.7,80.2,29.7,52.3,88.5,39.6,39.8,43.5,24.137931,32.758621,24.62069,53.8,26.7,30.9,38.8,45.9,32.8,41.4,53.3
2019-01-30 23:52:48,38.5,53.1,63.9,,,,,,,28.6,29.2,49.7,80.2,29.7,52.3,88.5,39.6,39.8,43.5,24.25,33.035714,24.964286,53.8,26.7,31.1,38.8,45.9,32.8,41.4,53.2
2019-01-31 00:00:00,38.5,53.1,63.9,,,,,,,28.6,29.2,49.7,80.2,29.7,52.3,88.5,39.6,39.8,43.5,24.25,33.035714,24.964286,53.8,26.7,31.1,38.8,45.9,32.8,41.4,53.2
2019-01-31 00:07:12,38.5,53.1,63.9,,,,,,,28.6,29.2,49.6,80.1,29.7,52.3,88.5,39.6,39.8,43.5,24.148148,32.962963,25.0,53.8,26.7,31.2,38.8,45.9,32.8,41.4,53.2
2019-01-31 00:14:24,38.5,53.1,63.9,,,,,,,28.6,29.2,49.6,80.1,29.7,52.3,88.5,39.6,39.8,43.5,24.148148,32.962963,25.0,53.8,26.7,31.2,38.8,45.9,32.8,41.4,53.2
2019-01-31 00:21:36,38.4,53.1,63.9,,,,,,,28.6,29.2,49.5,80.1,29.7,52.3,88.5,39.6,39.8,43.5,24.103448,33.103448,25.0,53.8,26.7,31.1,38.8,45.9,32.8,41.4,53.2
2019-01-31 00:28:48,38.4,53.1,63.9,,,,,,,28.6,29.2,49.5,80.1,29.7,52.3,88.5,39.6,39.8,43.5,24.103448,33.103448,25.0,53.8,26.7,31.1,38.8,45.9,32.8,41.4,53.2
2019-01-31 00:36:00,38.4,53.1,63.9,,,,,,,28.6,29.2,49.6,80.1,29.7,52.3,88.5,39.6,39.8,43.5,24.310345,33.034483,25.0,53.8,26.7,31.0,38.8,45.9,32.8,41.4,53.2
2019-01-31 00:43:12,38.4,53.1,63.9,,,,,,,28.6,29.2,49.6,80.1,29.7,52.3,88.5,39.6,39.8,43.5,24.310345,33.034483,25.0,53.8,26.7,31.0,38.8,45.9,32.8,41.4,53.2
2019-01-31 00:50:24,38.3,53.1,63.9,,,,,,,28.6,29.2,49.6,80.1,29.7,52.3,88.5,39.6,39.8,43.5,24.758621,33.310345,25.0,53.8,26.7,31.1,38.8,45.9,32.8,41.4,53.2
2019-01-31 00:57:36,38.3,53.1,63.9,,,,,,,28.6,29.2,49.6,80.1,29.7,52.3,88.5,39.6,39.8,43.5,24.758621,33.310345,25.0,53.8,26.7,31.1,38.8,45.9,32.8,41.4,53.2
2019-01-31 01:04:48,38.3,53.1,63.9,,,,,,,28.6,29.1,49.6,80.0,29.7,52.3,88.5,39.6,39.8,43.5,24.689655,32.965517,24.965517,53.8,26.7,31.0,38.8,45.9,32.8,41.4,53.2
2019-01-31 01:12:00,38.3,53.1,63.9,,,,,,,28.6,29.1,49.6,80.0,29.7,52.3,88.5,39.6,39.8,43.5,24.689655,32.965517,24.965517,53.8,26.7,31.0,38.8,45.9,32.8,41.4,53.2
2019-01-31 01:19:12,38.4,53.1,63.9,,,,,,,28.6,29.2,49.7,80.0,29.6,52.3,88.5,39.6,39.8,43.5,24.586207,33.0,24.896552,53.8,26.7,31.0,38.8,45.9,32.8,41.4,53.2
2019-01-31 01:26:24,38.4,53.1,63.9,,,,,,,28.6,29.2,49.7,80.0,29.6,52.3,88.5,39.6,39.8,43.5,24.586207,33.0,24.896552,53.8,26.7,31.0,38.8,45.9,32.8,41.4,53.2
2019-01-31 01:33:36,38.5,53.1,63.9,,,,,,,28.6,29.2,49.7,80.0,29.7,52.3,88.5,39.6,39.8,43.5,24.344828,32.689655,24.758621,53.8,26.8,31.0,38.8,45.8,32.8,41.4,53.2
2019-01-31 01:40:48,38.5,53.1,63.9,,,,,,,28.6,29.2,49.7,80.0,29.7,52.3,88.5,39.6,39.8,43.5,24.344828,32.689655,24.758621,53.8,26.8,31.0,38.8,45.8,32.8,41.4,53.2
2019-01-31 01:48:00,38.5,53.1,63.9,,,,,,,28.6,29.1,49.7,80.0,29.6,52.3,88.5,39.6,39.8,43.5,24.035714,33.0,24.892857,53.8,26.8,31.0,38.8,45.9,32.8,41.4,53.2
2019-01-31 01:55:12,38.5,53.1,63.9,,,,,,,28.6,29.1,49.7,80.0,29.6,52.3,88.5,39.6,39.8,43.5,24.035714,33.0,24.892857,53.8,26.8,31.0,38.8,45.9,32.8,41.4,53.2
2019-01-31 02:02:24,38.5,53.1,64.0,,,,,,,28.6,29.1,49.7,80.0,29.6,52.3,88.5,39.6,39.8,43.5,24.068966,32.965517,25.0,53.8,26.8,31.1,38.8,45.8,32.8,41.4,53.2
2019-01-31 02:09:36,38.5,53.1,64.0,,,,,,,28.6,29.1,49.7,80.0,29.6,52.3,88.5,39.6,39.8,43.5,24.068966,32.965517,25.0,53.8,26.8,31.1,38.8,45.8,32.8,41.4,53.2
2019-01-31 02:16:48,38.4,53.1,63.9,,,,,,,28.6,29.1,49.7,80.0,29.6,52.3,88.5,39.6,39.8,43.5,24.551724,33.448276,25.0,53.8,26.7,30.9,38.8,45.8,32.8,41.4,53.2
