x,112,116,120,124,128,132,APAR_111.1,APAR_112.2,APAR_113.3,APAR_114.4,APAR_115.5,APAR_116.6,APAR_117.7,APAR_118.8,APAR_119.9,APAR_120.10,APAR_121.11,APAR_122.12,APAR_123.13,APAR_124.14,APAR_125.15,APAR_126.16,APAR_127.17,APAR_128.18,APAR_129.19,FIF_104.4,FIF_105.5,FIF_106.6,APAR_19.19,APAR_20.20
2019-01-12--02:13:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.1,60.2,91.6,42.5,43.0,46.2,62.2,34.9,38.2,38.3,49.2,41.2,51.5,63.1,40.3,56.8,70.3,26.000000,26.000000,23.000000,54.0,82.0
2019-01-12--02:16:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.1,60.3,91.6,42.6,43.0,46.2,62.2,34.9,38.2,38.3,49.2,41.2,51.5,63.1,40.3,56.8,70.3,26.000000,26.000000,23.000000,54.1,82.1
2019-01-12--02:20:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.1,60.3,91.6,42.6,43.0,46.2,62.2,34.9,38.2,38.3,49.2,41.2,51.5,63.1,40.3,56.8,70.3,26.000000,26.000000,23.000000,54.1,82.1
2019-01-12--02:23:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.1,60.3,91.6,42.6,43.0,46.2,62.2,34.9,38.2,38.3,49.2,41.2,51.5,63.1,40.3,56.8,70.3,26.000000,26.000000,23.000000,54.1,82.1
2019-01-12--02:27:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.1,60.3,91.6,42.6,43.0,46.2,62.2,34.9,38.2,38.3,49.2,41.2,51.5,63.1,40.3,56.8,70.3,26.000000,26.000000,23.000000,54.1,82.1
2019-01-12--02:31:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.1,60.4,91.6,42.6,43.0,46.3,62.2,34.9,38.1,38.4,49.2,41.3,51.4,63.0,40.3,56.8,70.3,27.000000,26.000000,23.000000,54.2,82.1
2019-01-12--02:34:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.1,60.4,91.6,42.6,43.0,46.3,62.2,34.9,38.1,38.4,49.2,41.3,51.4,63.0,40.3,56.8,70.3,27.000000,26.000000,23.000000,54.2,82.1
2019-01-12--02:38:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.1,60.4,91.6,42.6,43.0,46.3,62.2,34.9,38.1,38.4,49.2,41.3,51.4,63.0,40.3,56.8,70.3,27.000000,26.000000,23.000000,54.2,82.1
2019-01-12--02:41:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.1,60.4,91.6,42.6,43.0,46.3,62.2,34.9,38.1,38.4,49.2,41.3,51.4,63.0,40.3,56.8,70.3,27.000000,26.000000,23.000000,54.2,82.1
2019-01-12--02:45:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,35.9,34.2,60.6,91.6,42.6,43.0,46.3,62.2,34.9,38.1,38.4,49.2,41.2,51.4,63.0,40.4,56.8,70.3,27.000000,26.000000,23.000000,54.2,82.1
2019-01-12--02:49:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,35.9,34.2,60.6,91.6,42.6,43.0,46.3,62.2,34.9,38.1,38.4,49.2,41.2,51.4,63.0,40.4,56.8,70.3,26.000000,26.000000,23.000000,54.3,82.2
2019-01-12--02:52:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,35.9,34.2,60.6,91.6,42.6,43.0,46.3,62.2,34.9,38.1,38.4,49.2,41.2,51.4,63.0,40.4,56.8,70.3,26.000000,26.000000,23.000000,54.3,82.2
2019-01-12--02:56:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,35.9,34.2,60.6,91.6,42.6,43.0,46.3,62.2,34.9,38.1,38.4,49.2,41.2,51.4,63.0,40.4,56.8,70.3,26.000000,26.000000,23.000000,54.3,82.2
2019-01-12--02:59:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,35.9,34.2,60.6,91.6,42.6,43.0,46.3,62.2,34.9,38.1,38.4,49.2,41.2,51.4,63.0,40.4,56.8,70.3,26.000000,26.000000,23.000000,54.3,82.2
2019-01-12--03:03:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.2,60.7,91.6,42.6,43.0,46.3,62.1,35.0,38.1,38.4,49.2,41.3,51.4,63.0,40.4,56.8,70.3,26.000000,26.000000,24.000000,54.4,82.2
2019-01-12--03:07:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.2,60.7,91.6,42.6,43.0,46.3,62.1,35.0,38.1,38.4,49.2,41.3,51.4,63.0,40.4,56.8,70.3,26.000000,26.000000,24.000000,54.4,82.2
2019-01-12--03:10:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.2,60.7,91.6,42.6,43.0,46.3,62.1,35.0,38.1,38.4,49.2,41.3,51.4,63.0,40.4,56.8,70.3,26.000000,26.000000,24.000000,54.4,82.2
2019-01-12--03:14:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.2,60.7,91.6,42.6,43.0,46.3,62.1,35.0,38.1,38.4,49.2,41.3,51.4,63.0,40.4,56.8,70.3,26.000000,26.000000,24.000000,54.4,82.2
2019-01-12--03:17:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.3,60.8,91.6,42.6,43.0,46.3,62.1,35.0,38.1,38.4,49.2,41.2,51.4,63.0,40.3,56.8,70.3,25.000000,26.000000,24.000000,54.6,82.3
2019-01-12--03:21:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.3,60.8,91.6,42.6,43.0,46.3,62.1,35.0,38.1,38.4,49.2,41.2,51.4,63.0,40.3,56.8,70.3,25.000000,26.000000,24.000000,54.6,82.3
2019-01-12--03:25:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.3,60.8,91.6,42.6,43.0,46.3,62.1,35.0,38.1,38.4,49.2,41.2,51.4,63.0,40.3,56.8,70.3,25.000000,26.000000,24.000000,54.6,82.3
2019-01-12--03:28:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.3,60.8,91.6,42.6,43.0,46.3,62.1,35.0,38.1,38.4,49.2,41.2,51.4,63.0,40.3,56.8,70.3,25.000000,26.000000,24.000000,54.6,82.3
