x,216,220,224,228,232,236,240,244,248,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--01:58:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.3,53.9,25.0,27.5,30.8,41.2,54.0,30.2,32.7,43.6,33.4,45.1,53.7,27.8,38.4,55.5,26.000000,28.000000,22.000000,26.000000,24.000000,45.2,100.0,36.2
2019-01-12--02:02:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.3,53.9,25.0,27.5,30.9,41.3,54.1,30.2,32.6,43.6,33.4,45.1,53.7,27.9,38.4,55.5,26.000000,28.000000,22.000000,26.000000,24.000000,45.4,100.0,36.4
2019-01-12--02:05:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.3,53.9,25.0,27.5,30.9,41.3,54.1,30.2,32.6,43.6,33.4,45.1,53.7,27.9,38.4,55.5,26.000000,28.000000,22.000000,26.000000,24.000000,45.4,100.0,36.4
2019-01-12--02:09:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.3,53.9,25.0,27.5,30.9,41.3,54.1,30.2,32.6,43.6,33.4,45.1,53.7,27.9,38.4,55.5,26.000000,28.000000,22.000000,26.000000,24.000000,45.4,100.0,36.4
2019-01-12--02:13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.3,53.9,25.0,27.5,30.9,41.3,54.1,30.2,32.6,43.6,33.4,45.1,53.7,27.9,38.4,55.5,26.000000,28.000000,22.000000,26.000000,24.000000,45.4,100.0,36.4
2019-01-12--02:16:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.9,25.1,27.5,30.9,41.3,54.1,30.1,32.6,43.6,33.4,45.0,53.7,27.9,38.4,55.5,26.000000,28.000000,22.000000,27.000000,24.000000,45.8,100.0,36.5
2019-01-12--02:20:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.9,25.1,27.5,30.9,41.3,54.1,30.1,32.6,43.6,33.4,45.0,53.7,27.9,38.4,55.5,26.000000,28.000000,22.000000,27.000000,24.000000,45.8,100.0,36.5
2019-01-12--02:23:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.9,25.1,27.5,30.9,41.3,54.1,30.1,32.6,43.6,33.4,45.0,53.7,27.9,38.4,55.5,26.000000,28.000000,22.000000,27.000000,24.000000,45.8,100.0,36.5
2019-01-12--02:27:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.9,25.1,27.5,30.9,41.3,54.1,30.1,32.6,43.6,33.4,45.0,53.7,27.9,38.4,55.5,26.000000,28.000000,22.000000,27.000000,24.000000,45.8,100.0,36.5
2019-01-12--02:31:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.3,54.1,30.0,32.6,43.6,33.4,45.0,53.7,27.8,38.4,55.5,26.000000,28.000000,22.000000,27.000000,24.000000,46.0,100.0,36.6
2019-01-12--02:34:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.3,54.1,30.0,32.6,43.6,33.4,45.0,53.7,27.8,38.4,55.5,26.000000,28.000000,22.000000,27.000000,24.000000,46.0,100.0,36.6
2019-01-12--02:38:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.3,54.1,30.0,32.6,43.6,33.4,45.0,53.7,27.8,38.4,55.5,26.000000,28.000000,22.000000,27.000000,24.000000,46.0,100.0,36.6
2019-01-12--02:41:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.3,54.1,30.0,32.6,43.6,33.4,45.0,53.7,27.8,38.4,55.5,26.000000,28.000000,22.000000,27.000000,24.000000,46.0,100.0,36.6
2019-01-12--02:45:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.3,54.0,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.4,55.5,26.000000,28.000000,22.000000,27.000000,24.000000,46.0,100.0,36.6
2019-01-12--02:49:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.3,54.0,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.4,55.5,26.000000,28.000000,23.000000,27.000000,24.000000,45.7,100.0,36.8
2019-01-12--02:52:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.3,54.0,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.4,55.5,26.000000,28.000000,23.000000,27.000000,24.000000,45.7,100.0,36.8
2019-01-12--02:56:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.3,54.0,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.4,55.5,26.000000,28.000000,23.000000,27.000000,24.000000,45.7,100.0,36.8
2019-01-12--02:59:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.3,54.0,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.4,55.5,26.000000,28.000000,23.000000,27.000000,24.000000,45.7,100.0,36.8
2019-01-12--03:03:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.4,54.1,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.4,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,36.9
2019-01-12--03:07:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.4,54.1,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.4,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,36.9
2019-01-12--03:10:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.4,54.1,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.4,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,36.9
2019-01-12--03:14:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.4,54.1,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.4,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,36.9
2019-01-12--03:17:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.4,54.0,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,37.1
2019-01-12--03:21:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.4,54.0,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,37.1
