x,217,221,225,229,233,237,241,245,249,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--01:51:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.1,10.2,5.1,29.1,24.4,20.7,26.7,21.3,17.6,26.1,18.5,10.0,22.7,25.9,24.2,24.4,23.4,8.1,10.9,13.8
2019-01-12--01:55:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.1,10.2,5.1,29.1,24.4,20.7,26.7,21.3,17.6,26.1,18.5,10.0,22.7,25.9,24.2,24.4,23.4,8.1,10.9,13.8
2019-01-12--01:58:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.1,10.2,5.1,29.1,24.4,20.7,26.7,21.3,17.6,26.1,18.5,10.0,22.7,25.9,24.2,24.4,23.4,8.1,10.9,13.8
2019-01-12--02:02:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.1,10.2,5.1,29.1,24.4,20.7,26.7,21.3,17.7,26.1,18.6,10.0,22.7,25.9,24.2,24.4,23.3,8.1,10.9,13.8
2019-01-12--02:05:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.1,10.2,5.1,29.1,24.4,20.7,26.7,21.3,17.7,26.1,18.6,10.0,22.7,25.9,24.2,24.4,23.3,8.1,10.9,13.8
2019-01-12--02:09:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.1,10.2,5.1,29.1,24.4,20.7,26.7,21.3,17.7,26.1,18.6,10.0,22.7,25.9,24.2,24.4,23.3,8.1,10.9,13.8
2019-01-12--02:13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.1,10.2,5.1,29.1,24.4,20.7,26.7,21.3,17.7,26.1,18.6,10.0,22.7,25.9,24.2,24.4,23.3,8.1,10.9,13.8
2019-01-12--02:16:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.7,18.4,17.4,15.1,10.3,5.2,29.1,24.4,20.7,26.7,21.3,17.6,26.1,18.6,10.1,22.7,25.9,24.2,24.4,23.3,8.1,10.9,13.8
2019-01-12--02:20:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.7,18.4,17.4,15.1,10.3,5.2,29.1,24.4,20.7,26.7,21.3,17.6,26.1,18.6,10.1,22.7,25.9,24.2,24.4,23.3,8.1,10.9,13.8
2019-01-12--02:23:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.7,18.4,17.4,15.1,10.3,5.2,29.1,24.4,20.7,26.7,21.3,17.6,26.1,18.6,10.1,22.7,25.9,24.2,24.4,23.3,8.1,10.9,13.8
