x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-12--03:14:12,20.3,20.1,12.9,7.0,2.4,19.7,19.5,17.0,14.3,21.6,21.2,18.2,15.1,26.0,24.6,26.2
2019-01-12--03:17:48,20.3,20.1,13.0,7.2,2.5,19.7,19.5,17.0,14.3,21.6,21.2,18.2,15.1,26.1,24.6,26.2
2019-01-12--03:21:24,20.3,20.1,13.0,7.2,2.5,19.7,19.5,17.0,14.3,21.6,21.2,18.2,15.1,26.1,24.6,26.2
2019-01-12--03:25:00,20.3,20.1,13.0,7.2,2.5,19.7,19.5,17.0,14.3,21.6,21.2,18.2,15.1,26.1,24.6,26.2
2019-01-12--03:28:36,20.3,20.1,13.0,7.2,2.5,19.7,19.5,17.0,14.3,21.6,21.2,18.2,15.1,26.1,24.6,26.2
2019-01-12--03:32:12,20.3,20.1,13.1,7.3,2.7,19.7,19.5,17.1,14.3,21.6,21.3,18.2,15.2,26.1,24.6,26.2
2019-01-12--03:35:48,20.3,20.1,13.1,7.3,2.7,19.7,19.5,17.1,14.3,21.6,21.3,18.2,15.2,26.1,24.6,26.2
2019-01-12--03:39:24,20.3,20.1,13.1,7.3,2.7,19.7,19.5,17.1,14.3,21.6,21.3,18.2,15.2,26.1,24.6,26.2
2019-01-12--03:43:00,20.3,20.1,13.1,7.3,2.7,19.7,19.5,17.1,14.3,21.6,21.3,18.2,15.2,26.1,24.6,26.2
2019-01-12--03:46:36,20.3,20.1,13.1,7.4,2.8,19.8,19.5,17.1,14.3,21.6,21.3,18.2,15.2,26.1,24.7,26.2
2019-01-12--03:50:12,20.3,20.1,13.1,7.4,2.8,19.8,19.5,17.1,14.3,21.6,21.3,18.2,15.2,26.1,24.7,26.2
2019-01-12--03:53:48,20.3,20.1,13.1,7.4,2.8,19.8,19.5,17.1,14.3,21.6,21.3,18.2,15.2,26.1,24.7,26.2
2019-01-12--03:57:24,20.3,20.1,13.1,7.4,2.8,19.8,19.5,17.1,14.3,21.6,21.3,18.2,15.2,26.1,24.7,26.2
2019-01-12--04:01:00,20.4,20.2,13.2,7.5,2.9,19.8,19.5,17.1,14.4,21.6,21.3,18.2,15.2,26.1,24.7,26.2
2019-01-12--04:04:36,20.4,20.2,13.2,7.5,2.9,19.8,19.5,17.1,14.4,21.6,21.3,18.2,15.2,26.1,24.7,26.2
2019-01-12--04:08:12,20.4,20.2,13.2,7.5,2.9,19.8,19.5,17.1,14.4,21.6,21.3,18.2,15.2,26.1,24.7,26.2
2019-01-12--04:11:48,20.4,20.2,13.2,7.5,2.9,19.8,19.5,17.1,14.4,21.6,21.3,18.2,15.2,26.1,24.7,26.2
2019-01-12--04:15:24,20.4,20.2,13.3,7.6,3.0,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.7,26.2
2019-01-12--04:19:00,20.4,20.2,13.3,7.6,3.0,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.7,26.2
2019-01-12--04:22:36,20.4,20.2,13.3,7.6,3.0,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.7,26.2
2019-01-12--04:26:12,20.4,20.2,13.3,7.6,3.0,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.7,26.2
2019-01-12--04:29:48,20.4,20.2,13.3,7.6,3.0,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.7,26.2
2019-01-12--04:33:24,20.4,20.2,13.3,7.7,3.1,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.8,26.2
2019-01-12--04:37:00,20.4,20.2,13.3,7.7,3.1,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.8,26.2
2019-01-12--04:40:36,20.4,20.2,13.3,7.7,3.1,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.8,26.2
2019-01-12--04:44:12,20.4,20.2,13.3,7.7,3.1,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.8,26.2
2019-01-12--04:47:48,20.5,20.2,13.4,7.8,3.2,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.8,26.2
2019-01-12--04:51:24,20.5,20.2,13.4,7.8,3.2,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.8,26.2
2019-01-12--04:55:00,20.5,20.2,13.4,7.8,3.2,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.8,26.2
2019-01-12--04:58:36,20.5,20.2,13.4,7.8,3.2,19.8,19.6,17.1,14.4,21.6,21.3,18.3,15.3,26.1,24.8,26.2
2019-01-12--05:02:12,20.5,20.3,13.4,7.9,3.2,19.8,19.6,17.2,14.5,21.7,21.3,18.3,15.3,26.2,24.8,26.2
2019-01-12--05:05:48,20.5,20.3,13.4,7.9,3.2,19.8,19.6,17.2,14.5,21.7,21.3,18.3,15.3,26.2,24.8,26.2
2019-01-12--05:09:24,20.5,20.3,13.4,7.9,3.2,19.8,19.6,17.2,14.5,21.7,21.3,18.3,15.3,26.2,24.8,26.2
2019-01-12--05:13:00,20.5,20.3,13.4,7.9,3.2,19.8,19.6,17.2,14.5,21.7,21.3,18.3,15.3,26.2,24.8,26.2
2019-01-12--05:16:36,20.5,20.3,13.5,8.0,3.3,19.9,19.6,17.2,14.5,21.7,21.3,18.3,15.3,26.2,24.8,26.2
2019-01-12--05:20:12,20.5,20.3,13.5,8.0,3.3,19.9,19.6,17.2,14.5,21.7,21.3,18.3,15.3,26.2,24.8,26.2
2019-01-12--05:23:48,20.5,20.3,13.5,8.0,3.3,19.9,19.6,17.2,14.5,21.7,21.3,18.3,15.3,26.2,24.8,26.2
2019-01-12--05:27:24,20.5,20.3,13.5,8.0,3.3,19.9,19.6,17.2,14.5,21.7,21.3,18.3,15.3,26.2,24.8,26.2
2019-01-12--05:31:00,20.5,20.3,13.5,8.0,3.3,19.9,19.6,17.2,14.5,21.7,21.4,18.4,15.4,26.2,24.9,26.2
