x,MBUSBmeters
2019-01-10--12:06:00,0.123
2019-01-10--12:09:36,0.123
2019-01-10--12:13:12,0.123
2019-01-10--12:16:48,0.123
2019-01-10--12:20:24,0.123
2019-01-10--12:24:00,0.123
2019-01-10--12:27:36,0.123
2019-01-10--12:31:12,0.123
2019-01-10--12:34:48,0.123
2019-01-10--12:38:24,0.123
2019-01-10--12:42:00,0.123
2019-01-10--12:45:36,0.123
2019-01-10--12:49:12,0.123
2019-01-10--12:52:48,0.123
2019-01-10--12:56:24,0.123
2019-01-10--13:00:00,0.123
2019-01-10--13:03:36,0.123
2019-01-10--13:07:12,0.123
2019-01-10--13:10:48,0.123
2019-01-10--13:14:24,0.123
2019-01-10--13:18:00,0.123
2019-01-10--13:21:36,0.123
2019-01-10--13:25:12,0.123
2019-01-10--13:28:48,0.123
2019-01-10--13:32:24,0.123
2019-01-10--13:36:00,0.123
2019-01-10--13:39:36,0.123
2019-01-10--13:43:12,0.123
2019-01-10--13:46:48,0.123
2019-01-10--13:50:24,0.123
2019-01-10--13:54:00,0.123
2019-01-10--13:57:36,0.123
2019-01-10--14:01:12,0.123
2019-01-10--14:04:48,0.123
2019-01-10--14:08:24,0.123
2019-01-10--14:12:00,0.123
2019-01-10--14:15:36,0.123
2019-01-10--14:19:12,0.123
2019-01-10--14:22:48,0.123
2019-01-10--14:26:24,0.123
2019-01-10--14:30:00,0.123
2019-01-10--14:33:36,0.123
2019-01-10--14:37:12,0.123
2019-01-10--14:40:48,0.123
2019-01-10--14:44:24,0.123
2019-01-10--14:48:00,0.123
2019-01-10--14:51:36,0.123
2019-01-10--14:55:12,0.123
2019-01-10--14:58:48,0.123
2019-01-10--15:02:24,0.123
2019-01-10--15:06:00,0.123
2019-01-10--15:09:36,0.123
2019-01-10--15:13:12,0.123
2019-01-10--15:16:48,0.123
2019-01-10--15:20:24,0.123
2019-01-10--15:24:00,0.123
2019-01-10--15:27:36,0.123
2019-01-10--15:31:12,0.123
2019-01-10--15:34:48,0.123
2019-01-10--15:38:24,0.123
2019-01-10--15:42:00,0.123
2019-01-10--15:45:36,0.123
2019-01-10--15:49:12,0.123
2019-01-10--15:52:48,0.123
2019-01-10--15:56:24,0.123
2019-01-10--16:00:00,0.123
2019-01-10--16:03:36,0.123
2019-01-10--16:07:12,0.123
2019-01-10--16:10:48,0.123
2019-01-10--16:14:24,0.123
2019-01-10--16:18:00,0.123
2019-01-10--16:21:36,0.123
2019-01-10--16:25:12,0.123
2019-01-10--16:28:48,0.123
2019-01-10--16:32:24,0.123
2019-01-10--16:36:00,0.123
2019-01-10--16:39:36,0.123
2019-01-10--16:43:12,0.123
2019-01-10--16:46:48,0.123
2019-01-10--16:50:24,0.123
2019-01-10--16:54:00,0.123
2019-01-10--16:57:36,0.123
2019-01-10--17:01:12,0.123
2019-01-10--17:04:48,0.123
2019-01-10--17:08:24,0.123
2019-01-10--17:12:00,0.123
2019-01-10--17:15:36,0.123
2019-01-10--17:19:12,0.123
2019-01-10--17:22:48,0.123
2019-01-10--17:26:24,0.123
2019-01-10--17:30:00,0.123
2019-01-10--17:33:36,0.123
2019-01-10--17:37:12,0.123
2019-01-10--17:40:48,0.123
2019-01-10--17:44:24,0.123
2019-01-10--17:48:00,0.123
2019-01-10--17:51:36,0.123
2019-01-10--17:55:12,0.123
2019-01-10--17:58:48,0.123
2019-01-10--18:02:24,0.123
2019-01-10--18:06:00,0.123
2019-01-10--18:09:36,0.123
2019-01-10--18:13:12,0.123
2019-01-10--18:16:48,0.123
2019-01-10--18:20:24,0.123
2019-01-10--18:24:00,0.123
2019-01-10--18:27:36,0.123
2019-01-10--18:31:12,0.123
2019-01-10--18:34:48,0.123
2019-01-10--18:38:24,0.123
2019-01-10--18:42:00,0.123
2019-01-10--18:45:36,0.123
2019-01-10--18:49:12,0.123
2019-01-10--18:52:48,0.123
2019-01-10--18:56:24,0.123
2019-01-10--19:00:00,0.123
2019-01-10--19:03:36,0.123
2019-01-10--19:07:12,0.123
2019-01-10--19:10:48,0.123
2019-01-10--19:14:24,0.123
2019-01-10--19:18:00,0.123
2019-01-10--19:21:36,0.123
2019-01-10--19:25:12,0.123
2019-01-10--19:28:48,0.123
2019-01-10--19:32:24,0.123
2019-01-10--19:36:00,0.123
2019-01-10--19:39:36,0.123
2019-01-10--19:43:12,0.123
2019-01-10--19:46:48,0.123
2019-01-10--19:50:24,0.123
2019-01-10--19:54:00,0.123
2019-01-10--19:57:36,0.123
