x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-10--02:33:36,20.3,20.0,17.9,12.1,7.8,19.7,19.2,17.7,12.2,5.4,19.1,18.7,17.3,4.8,-6.3,22.8,27.0,23.2,22.5,24.0
2019-01-10--02:37:12,20.3,20.0,17.9,12.1,7.8,19.7,19.2,17.7,12.2,5.4,19.1,18.7,17.3,4.8,-6.3,22.8,27.0,23.2,22.5,24.0
2019-01-10--02:40:48,20.3,20.0,17.9,12.1,7.8,19.7,19.2,17.7,12.2,5.4,19.1,18.7,17.3,4.8,-6.3,22.8,27.0,23.2,22.5,24.0
2019-01-10--02:44:24,20.3,20.0,17.9,12.1,7.8,19.7,19.2,17.7,12.2,5.4,19.1,18.7,17.3,4.8,-6.3,22.8,27.0,23.2,22.5,24.0
2019-01-10--02:48:00,20.3,20.0,17.9,12.1,7.7,19.7,19.2,17.7,12.2,5.4,19.1,18.7,17.3,4.7,-6.4,22.8,27.1,23.2,22.5,24.0
2019-01-10--02:51:36,20.3,20.0,17.9,12.1,7.7,19.7,19.2,17.7,12.2,5.4,19.1,18.7,17.3,4.7,-6.4,22.8,27.1,23.2,22.5,24.0
2019-01-10--02:55:12,20.3,20.0,17.9,12.1,7.7,19.7,19.2,17.7,12.2,5.4,19.1,18.7,17.3,4.7,-6.4,22.8,27.1,23.2,22.5,24.0
2019-01-10--02:58:48,20.3,20.0,17.9,12.1,7.7,19.7,19.2,17.7,12.2,5.4,19.1,18.7,17.3,4.7,-6.4,22.8,27.1,23.2,22.5,24.0
2019-01-10--03:02:24,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.7,12.2,5.4,19.1,18.6,17.3,4.7,-6.4,22.9,27.1,23.2,22.6,24.1
2019-01-10--03:06:00,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.7,12.2,5.4,19.1,18.6,17.3,4.7,-6.4,22.9,27.1,23.2,22.6,24.1
2019-01-10--03:09:36,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.7,12.2,5.4,19.1,18.6,17.3,4.7,-6.4,22.9,27.1,23.2,22.6,24.1
2019-01-10--03:13:12,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.7,12.2,5.4,19.1,18.6,17.3,4.7,-6.4,22.9,27.1,23.2,22.6,24.1
2019-01-10--03:16:48,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.6,12.2,5.3,19.1,18.6,17.2,4.6,-6.5,22.9,27.2,23.3,22.6,24.1
2019-01-10--03:20:24,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.6,12.2,5.3,19.1,18.6,17.2,4.6,-6.5,22.9,27.2,23.3,22.6,24.1
2019-01-10--03:24:00,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.6,12.2,5.3,19.1,18.6,17.2,4.6,-6.5,22.9,27.2,23.3,22.6,24.1
2019-01-10--03:27:36,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.6,12.2,5.3,19.1,18.6,17.2,4.6,-6.5,22.9,27.2,23.3,22.6,24.1
2019-01-10--03:31:12,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.6,12.2,5.3,19.1,18.6,17.2,4.6,-6.6,22.9,27.3,23.3,22.6,24.2
2019-01-10--03:34:48,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.6,12.2,5.3,19.1,18.6,17.2,4.6,-6.6,22.9,27.3,23.3,22.6,24.2
2019-01-10--03:38:24,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.6,12.2,5.3,19.1,18.6,17.2,4.6,-6.6,22.9,27.3,23.3,22.6,24.2
2019-01-10--03:42:00,20.3,20.0,17.9,12.0,7.7,19.7,19.2,17.6,12.2,5.3,19.1,18.6,17.2,4.6,-6.6,22.9,27.3,23.3,22.6,24.2
2019-01-10--03:45:36,20.3,20.0,17.9,12.0,7.6,19.7,19.2,17.6,12.1,5.3,19.1,18.6,17.2,4.5,-6.6,22.9,27.3,23.3,22.6,24.2
2019-01-10--03:49:12,20.3,20.0,17.9,12.0,7.6,19.7,19.2,17.6,12.1,5.3,19.1,18.6,17.2,4.5,-6.6,22.9,27.2,23.3,22.6,24.2
2019-01-10--03:52:48,20.3,20.0,17.9,12.0,7.6,19.7,19.2,17.6,12.1,5.3,19.1,18.6,17.2,4.5,-6.6,22.9,27.2,23.3,22.6,24.2
2019-01-10--03:56:24,20.3,20.0,17.9,12.0,7.6,19.7,19.2,17.6,12.1,5.3,19.1,18.6,17.2,4.5,-6.6,22.9,27.2,23.3,22.6,24.2
2019-01-10--04:00:00,20.3,20.0,17.9,12.0,7.6,19.7,19.2,17.6,12.1,5.3,19.1,18.6,17.2,4.5,-6.6,22.9,27.2,23.3,22.6,24.2
2019-01-10--04:03:36,20.3,20.0,17.8,12.0,7.6,19.7,19.2,17.6,12.1,5.2,19.1,18.6,17.2,4.5,-6.7,22.9,27.1,23.2,22.6,24.1
2019-01-10--04:07:12,20.3,20.0,17.8,12.0,7.6,19.7,19.2,17.6,12.1,5.2,19.1,18.6,17.2,4.5,-6.7,22.9,27.1,23.2,22.6,24.1
2019-01-10--04:10:48,20.3,20.0,17.8,12.0,7.6,19.7,19.2,17.6,12.1,5.2,19.1,18.6,17.2,4.5,-6.7,22.9,27.1,23.2,22.6,24.1
2019-01-10--04:14:24,20.3,20.0,17.8,12.0,7.6,19.7,19.2,17.6,12.1,5.2,19.1,18.6,17.2,4.5,-6.7,22.9,27.1,23.2,22.6,24.1
2019-01-10--04:18:00,20.3,20.0,17.8,12.0,7.6,19.7,19.2,17.6,12.1,5.2,19.1,18.6,17.2,4.5,-6.7,22.8,27.0,23.2,22.6,24.1
2019-01-10--04:21:36,20.3,20.0,17.8,12.0,7.6,19.7,19.2,17.6,12.1,5.2,19.1,18.6,17.2,4.5,-6.7,22.8,27.0,23.2,22.6,24.1
2019-01-10--04:25:12,20.3,20.0,17.8,12.0,7.6,19.7,19.2,17.6,12.1,5.2,19.1,18.6,17.2,4.5,-6.7,22.8,27.0,23.2,22.6,24.1
2019-01-10--04:28:48,20.3,20.0,17.8,12.0,7.6,19.7,19.2,17.6,12.1,5.2,19.1,18.6,17.2,4.5,-6.7,22.8,27.0,23.2,22.6,24.1
2019-01-10--04:32:24,20.3,20.0,17.8,11.9,7.6,19.7,19.2,17.6,12.1,5.2,19.0,18.6,17.2,4.4,-6.8,22.8,27.1,23.2,22.6,24.0
2019-01-10--04:36:00,20.3,20.0,17.8,11.9,7.6,19.7,19.2,17.6,12.1,5.2,19.0,18.6,17.2,4.4,-6.8,22.8,27.1,23.2,22.6,24.0
2019-01-10--04:39:36,20.3,20.0,17.8,11.9,7.6,19.7,19.2,17.6,12.1,5.2,19.0,18.6,17.2,4.4,-6.8,22.8,27.1,23.2,22.6,24.0
2019-01-10--04:43:12,20.3,20.0,17.8,11.9,7.6,19.7,19.2,17.6,12.1,5.2,19.0,18.6,17.2,4.4,-6.8,22.8,27.1,23.2,22.6,24.0
2019-01-10--04:46:48,20.3,20.0,17.8,11.9,7.6,19.6,19.2,17.6,12.1,5.2,19.0,18.6,17.1,4.4,-6.8,22.8,27.1,23.2,22.5,24.1
2019-01-10--04:50:24,20.3,20.0,17.8,11.9,7.6,19.6,19.2,17.6,12.1,5.2,19.0,18.6,17.1,4.4,-6.8,22.8,27.1,23.2,22.5,24.1
