['x', 'APAR_411.11', 'APAR_412.12', 'APAR_413.13', 'APAR_414.14', 'APAR_415.15', 'APAR_416.16', 'APAR_417.17', 'APAR_418.18', 'APAR_419.19', 'APAR_420.20', 'APAR_421.21', 'APAR_422.22', 'APAR_423.23', 'APAR_424.24', 'APAR_425.25', 'FIF_402.2', 'FIF_403.3', 'FIF_404.4', 'FIF_405.5', 'FIF_406.6']
[1547112456000, '29.7', '31.3', '30.9', '45.9', '54.0', '25.4', '26.7', '28.7', '39.4', '58.8', '19.3', '19.8', '23.2', '47.0', '81.2', '19.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547112672000, '29.7', '31.3', '30.9', '45.8', '54.0', '25.4', '26.7', '28.7', '39.4', '58.7', '19.3', '19.8', '23.2', '47.0', '81.2', '19.000000', '18.000000', '18.000000', '21.000000', '20.000000']
[1547112888000, '29.7', '31.3', '30.9', '45.8', '54.0', '25.4', '26.7', '28.7', '39.4', '58.7', '19.3', '19.8', '23.2', '47.0', '81.2', '19.000000', '18.000000', '18.000000', '21.000000', '20.000000']
[1547113104000, '29.7', '31.3', '30.9', '45.8', '54.0', '25.3', '26.8', '28.7', '39.4', '58.8', '19.4', '20.0', '23.2', '47.0', '81.3', '19.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547113320000, '29.7', '31.3', '30.9', '45.8', '54.0', '25.3', '26.6', '28.6', '39.4', '58.8', '19.3', '19.8', '23.2', '47.0', '81.3', '19.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547113536000, '29.7', '31.3', '30.9', '45.8', '54.0', '25.3', '26.6', '28.6', '39.4', '58.8', '19.3', '19.8', '23.2', '47.0', '81.3', '19.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547113752000, '29.7', '31.3', '30.9', '45.8', '54.0', '25.3', '26.6', '28.6', '39.4', '58.8', '19.3', '19.8', '23.2', '47.0', '81.3', '19.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547113968000, '29.7', '31.3', '30.9', '45.8', '54.0', '25.3', '26.6', '28.6', '39.4', '58.8', '19.2', '19.7', '23.2', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547114184000, '29.7', '31.3', '30.9', '45.8', '54.0', '25.2', '26.5', '28.6', '39.4', '58.8', '19.2', '19.7', '23.2', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547114400000, '29.7', '31.3', '30.9', '45.8', '54.0', '25.2', '26.5', '28.6', '39.4', '58.8', '19.2', '19.7', '23.2', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547114616000, '29.6', '31.3', '30.9', '45.8', '54.0', '25.1', '26.4', '28.6', '39.4', '58.8', '19.1', '19.5', '23.2', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547114832000, '29.6', '31.3', '30.9', '45.8', '54.0', '25.1', '26.4', '28.6', '39.4', '58.8', '19.0', '19.5', '23.2', '47.0', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547115048000, '29.6', '31.3', '30.9', '45.8', '54.0', '25.1', '26.4', '28.6', '39.4', '58.8', '19.0', '19.4', '23.2', '47.0', '81.3', '21.000000', '18.000000', '20.000000', '21.000000', '20.000000']
[1547115264000, '29.6', '31.3', '30.9', '45.8', '54.0', '25.1', '26.4', '28.6', '39.4', '58.8', '19.0', '19.4', '23.2', '47.0', '81.3', '21.000000', '18.000000', '20.000000', '21.000000', '20.000000']
[1547115480000, '29.6', '31.3', '30.8', '45.8', '54.0', '25.1', '26.4', '28.6', '39.4', '58.8', '19.0', '19.5', '23.2', '47.0', '81.3', '21.000000', '18.000000', '20.000000', '21.000000', '20.000000']
[1547115696000, '29.6', '31.3', '30.8', '45.8', '54.0', '25.1', '26.4', '28.6', '39.4', '58.8', '19.0', '19.4', '23.1', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547115912000, '29.6', '31.3', '30.8', '45.8', '54.0', '25.1', '26.4', '28.5', '39.4', '58.8', '18.9', '19.4', '23.1', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547116128000, '29.6', '31.3', '30.8', '45.8', '54.0', '25.1', '26.4', '28.5', '39.4', '58.8', '18.9', '19.4', '23.1', '47.0', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547116344000, '29.6', '31.3', '30.8', '45.8', '54.0', '25.0', '26.3', '28.5', '39.4', '58.8', '18.9', '19.3', '23.1', '47.0', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547116560000, '29.6', '31.3', '30.8', '45.8', '54.0', '25.0', '26.3', '28.5', '39.4', '58.8', '18.9', '19.3', '23.1', '47.0', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547116776000, '29.6', '31.3', '30.8', '45.8', '54.0', '25.0', '26.3', '28.5', '39.4', '58.8', '18.9', '19.3', '23.1', '47.0', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547116992000, '29.6', '31.3', '30.8', '45.8', '54.0', '25.0', '26.3', '28.5', '39.4', '58.8', '18.8', '19.2', '23.1', '47.0', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547117208000, '29.6', '31.3', '30.8', '45.8', '54.0', '24.9', '26.3', '28.5', '39.3', '58.8', '18.8', '19.2', '23.1', '47.0', '81.3', '21.000000', '18.000000', '20.000000', '21.000000', '20.000000']
[1547117424000, '29.6', '31.3', '30.8', '45.8', '54.0', '24.9', '26.3', '28.5', '39.4', '58.8', '18.8', '19.2', '23.1', '47.0', '81.2', '20.000000', '18.000000', '20.000000', '21.000000', '20.000000']
[1547117640000, '29.6', '31.3', '30.8', '45.8', '54.0', '24.9', '26.3', '28.5', '39.4', '58.8', '18.8', '19.2', '23.1', '47.0', '81.2', '20.000000', '18.000000', '20.000000', '21.000000', '20.000000']
[1547117856000, '29.6', '31.3', '30.8', '45.8', '54.0', '24.9', '26.3', '28.5', '39.3', '58.8', '18.8', '19.2', '23.1', '47.0', '81.3', '21.000000', '18.000000', '20.000000', '21.000000', '20.000000']
[1547118072000, '29.6', '31.3', '30.8', '45.8', '54.0', '24.9', '26.3', '28.5', '39.3', '58.8', '18.8', '19.2', '23.1', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547118288000, '29.6', '31.3', '30.8', '45.8', '54.0', '24.9', '26.3', '28.5', '39.3', '58.8', '18.8', '19.2', '23.1', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547118504000, '29.6', '31.3', '30.8', '45.8', '54.0', '24.9', '26.2', '28.5', '39.3', '58.8', '18.8', '19.2', '23.1', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547118720000, '29.6', '31.3', '30.8', '45.8', '54.0', '24.9', '26.2', '28.5', '39.3', '58.8', '18.7', '19.2', '23.1', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547118936000, '29.6', '31.4', '30.8', '45.8', '54.0', '24.9', '26.2', '28.5', '39.3', '58.8', '18.7', '19.1', '23.1', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547119152000, '29.6', '31.4', '30.8', '45.8', '54.0', '24.9', '26.2', '28.5', '39.3', '58.8', '18.7', '19.1', '23.1', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547119368000, '29.7', '31.4', '30.8', '45.8', '54.0', '24.9', '26.2', '28.5', '39.3', '58.8', '18.7', '19.1', '23.0', '47.0', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547119584000, '29.7', '31.4', '30.8', '45.8', '54.0', '24.9', '26.2', '28.5', '39.3', '58.8', '18.7', '19.1', '23.0', '47.0', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547119800000, '29.7', '31.4', '30.8', '45.8', '54.0', '24.9', '26.2', '28.5', '39.3', '58.8', '18.7', '19.1', '23.0', '47.0', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547120016000, '29.7', '31.4', '30.7', '45.8', '54.0', '24.8', '26.2', '28.5', '39.3', '58.8', '18.7', '19.1', '23.0', '47.0', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547120232000, '29.7', '31.5', '30.8', '45.8', '54.0', '24.9', '26.2', '28.5', '39.3', '58.8', '18.6', '19.1', '23.0', '47.0', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547120448000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.2', '28.5', '39.3', '58.8', '18.6', '19.1', '23.0', '46.9', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547120664000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.2', '28.5', '39.3', '58.8', '18.6', '19.1', '23.0', '46.9', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547120880000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.2', '28.4', '39.3', '58.8', '18.6', '19.0', '23.0', '46.9', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547121096000, '29.8', '31.5', '30.7', '45.8', '54.0', '24.8', '26.2', '28.4', '39.3', '58.8', '18.6', '19.0', '23.0', '46.9', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547121312000, '29.8', '31.5', '30.7', '45.8', '54.0', '24.8', '26.2', '28.4', '39.3', '58.8', '18.6', '19.0', '23.0', '46.9', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547121528000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.6', '19.0', '23.0', '46.9', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547121744000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.2', '28.4', '39.3', '58.8', '18.6', '19.1', '23.0', '46.9', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547121960000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.6', '19.1', '23.0', '46.9', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547122176000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.6', '19.1', '23.0', '46.9', '81.2', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547122392000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.6', '19.0', '23.0', '46.9', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547122608000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.6', '19.0', '22.9', '46.9', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547122824000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.6', '19.1', '22.9', '46.9', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547123040000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.6', '19.1', '22.9', '46.9', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547123256000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.5', '19.1', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547123472000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.6', '19.0', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547123688000, '29.7', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.6', '19.0', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547123904000, '29.6', '31.5', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.8', '18.5', '19.0', '22.9', '46.9', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547124120000, '29.6', '31.4', '30.7', '45.8', '54.0', '24.7', '26.1', '28.4', '39.3', '58.9', '18.5', '19.0', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547124336000, '29.6', '31.4', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.9', '18.5', '19.0', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547124552000, '29.6', '31.4', '30.7', '45.8', '54.0', '24.8', '26.1', '28.4', '39.3', '58.9', '18.5', '19.0', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '20.000000']
[1547124768000, '29.6', '31.4', '30.6', '45.8', '54.0', '24.7', '26.1', '28.4', '39.3', '58.9', '18.5', '19.0', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547124984000, '29.6', '31.3', '30.6', '45.8', '54.0', '24.7', '26.1', '28.4', '39.3', '58.9', '18.5', '19.0', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547125200000, '29.6', '31.3', '30.6', '45.8', '54.0', '24.7', '26.1', '28.4', '39.3', '58.9', '18.5', '19.0', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547125416000, '29.5', '31.3', '30.6', '45.8', '54.0', '24.7', '26.1', '28.3', '39.3', '58.9', '18.5', '18.9', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547125632000, '29.5', '31.3', '30.6', '45.8', '54.0', '24.7', '26.1', '28.3', '39.3', '58.9', '18.4', '18.9', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547125848000, '29.5', '31.3', '30.6', '45.8', '54.0', '24.7', '26.1', '28.3', '39.3', '58.9', '18.4', '18.9', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547126064000, '29.5', '31.3', '30.6', '45.8', '54.0', '24.7', '26.1', '28.3', '39.3', '58.9', '18.4', '18.9', '22.9', '46.9', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547126280000, '29.5', '31.2', '30.6', '45.8', '54.1', '24.7', '26.0', '28.3', '39.3', '58.9', '18.4', '18.9', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547126496000, '29.5', '31.2', '30.6', '45.8', '54.1', '24.7', '26.0', '28.3', '39.3', '58.9', '18.4', '18.9', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547126712000, '29.5', '31.2', '30.6', '45.8', '54.1', '24.7', '26.0', '28.3', '39.3', '58.9', '18.4', '18.9', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547126928000, '29.5', '31.2', '30.6', '45.8', '54.1', '24.7', '26.0', '28.3', '39.3', '58.9', '18.4', '18.9', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547127144000, '29.4', '31.2', '30.6', '45.8', '54.0', '24.6', '26.0', '28.3', '39.3', '58.9', '18.4', '18.9', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547127360000, '29.4', '31.2', '30.6', '45.8', '54.1', '24.6', '26.0', '28.3', '39.3', '58.9', '18.4', '18.9', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547127576000, '29.4', '31.2', '30.6', '45.8', '54.1', '24.6', '26.0', '28.3', '39.3', '58.9', '18.4', '18.9', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547127792000, '29.4', '31.2', '30.6', '45.8', '54.1', '24.6', '26.0', '28.3', '39.3', '58.9', '18.4', '18.8', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547128008000, '29.4', '31.1', '30.6', '45.8', '54.1', '24.6', '26.0', '28.3', '39.3', '58.9', '18.3', '18.8', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547128224000, '29.4', '31.1', '30.6', '45.8', '54.1', '24.6', '26.0', '28.3', '39.3', '58.9', '18.3', '18.8', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547128440000, '29.4', '31.1', '30.6', '45.8', '54.1', '24.6', '26.0', '28.3', '39.3', '58.9', '18.3', '18.8', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547128656000, '29.3', '31.1', '30.6', '45.8', '54.1', '24.6', '25.9', '28.3', '39.3', '58.9', '18.3', '18.8', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547128872000, '29.3', '31.1', '30.5', '45.8', '54.1', '24.5', '25.9', '28.3', '39.3', '58.9', '18.3', '18.8', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547129088000, '29.3', '31.1', '30.5', '45.8', '54.1', '24.5', '25.9', '28.3', '39.3', '58.9', '18.3', '18.8', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547129304000, '29.3', '31.1', '30.5', '45.8', '54.1', '24.5', '25.9', '28.3', '39.3', '58.9', '18.3', '18.8', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547129520000, '29.3', '31.1', '30.5', '45.8', '54.1', '24.5', '25.9', '28.3', '39.3', '58.9', '18.3', '18.8', '22.8', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547129736000, '29.3', '31.0', '30.5', '45.8', '54.1', '24.5', '25.9', '28.3', '39.3', '58.9', '18.3', '18.7', '22.8', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547129952000, '29.3', '31.0', '30.5', '45.8', '54.1', '24.5', '25.9', '28.3', '39.3', '58.9', '18.3', '18.7', '22.8', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547130168000, '29.3', '31.0', '30.5', '45.8', '54.1', '24.5', '25.9', '28.3', '39.3', '58.9', '18.2', '18.7', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547130384000, '29.3', '31.0', '30.5', '45.8', '54.1', '24.5', '25.9', '28.2', '39.3', '59.0', '18.2', '18.7', '22.7', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547130600000, '29.3', '31.0', '30.5', '45.8', '54.1', '24.5', '25.9', '28.2', '39.3', '59.0', '18.2', '18.7', '22.7', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547130816000, '29.3', '31.0', '30.5', '45.8', '54.1', '24.5', '25.9', '28.2', '39.3', '58.9', '18.2', '18.7', '22.7', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547131032000, '29.3', '31.0', '30.5', '45.8', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.2', '18.7', '22.7', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547131248000, '29.3', '31.0', '30.5', '45.8', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.2', '18.7', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547131464000, '29.3', '31.0', '30.5', '45.8', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.2', '18.7', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547131680000, '29.3', '31.0', '30.5', '45.7', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.2', '18.6', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547131896000, '29.3', '30.9', '30.5', '45.7', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.2', '18.6', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547132112000, '29.3', '30.9', '30.5', '45.7', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.2', '18.6', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547132328000, '29.2', '30.9', '30.5', '45.8', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.1', '18.6', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547132544000, '29.2', '30.9', '30.5', '45.7', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.1', '18.6', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547132760000, '29.2', '30.9', '30.5', '45.7', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.1', '18.6', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547132976000, '29.2', '30.9', '30.5', '45.7', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.1', '18.6', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547133192000, '29.2', '30.9', '30.5', '45.7', '54.1', '24.4', '25.8', '28.2', '39.2', '59.0', '18.1', '18.6', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547133408000, '29.2', '30.9', '30.5', '45.7', '54.1', '24.3', '25.8', '28.2', '39.2', '59.0', '18.1', '18.6', '22.7', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547133624000, '29.2', '30.9', '30.5', '45.7', '54.1', '24.3', '25.8', '28.2', '39.2', '59.0', '18.1', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547133840000, '29.2', '30.9', '30.5', '45.7', '54.1', '24.3', '25.8', '28.2', '39.2', '59.0', '18.1', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547134056000, '29.2', '30.9', '30.4', '45.7', '54.1', '24.3', '25.7', '28.2', '39.2', '59.0', '18.1', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547134272000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.3', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547134488000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.3', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547134704000, '29.1', '30.8', '30.5', '45.7', '54.1', '24.3', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547134920000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.3', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547135136000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.3', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547135352000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.3', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547135568000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.3', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547135784000, '29.1', '30.8', '30.4', '45.7', '54.1', '24.2', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547136000000, '29.1', '30.8', '30.4', '45.7', '54.1', '24.2', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547136216000, '29.1', '30.8', '30.4', '45.7', '54.1', '24.2', '25.7', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547136432000, '29.1', '30.8', '30.4', '45.7', '54.1', '24.2', '25.7', '28.1', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547136648000, '29.1', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.1', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547136864000, '29.1', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.1', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547137080000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.2', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547137296000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.1', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547137512000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.1', '39.2', '59.0', '18.0', '18.5', '22.6', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547137728000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.1', '39.2', '59.0', '18.0', '18.5', '22.5', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547137944000, '29.2', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.1', '39.2', '59.0', '18.0', '18.4', '22.5', '46.8', '81.3', '20.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547138160000, '29.1', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.1', '39.2', '59.0', '18.0', '18.5', '22.5', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547138376000, '29.1', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.1', '39.2', '59.0', '18.0', '18.5', '22.5', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
[1547138592000, '29.1', '30.8', '30.4', '45.7', '54.1', '24.2', '25.6', '28.1', '39.2', '59.0', '17.9', '18.4', '22.5', '46.8', '81.3', '21.000000', '18.000000', '19.000000', '21.000000', '21.000000']
