,476_APAR_715.15,480_APAR_716.16,484_APAR_717.17,488_APAR_718.18,492_APAR_719.19,496_APAR_720.20,500_APAR_721.21,504_APAR_722.22,508_APAR_723.23,512_APAR_724.24,516_APAR_725.25,520_APAR_726.26,524_APAR_727.27,528_APAR_728.28,532_APAR_729.29,536_APAR_730.30,540_APAR_731.31,544_APAR_732.32,548_APAR_733.1,552_APAR_734.2,556_APAR_735.3,560_APAR_736.4,564_APAR_737.5,568_APAR_738.6,572_APAR_739.7,576_APAR_740.8,580_APAR_741.9,584_APAR_742.10,588_APAR_743.11,592_APAR_744.12,596_APAR_745.13,600_APAR_746.14,604_APAR_747.15,608_APAR_748.16,612_APAR_749.17,616_APAR_750.18,620_APAR_751.19,624_APAR_752.20,628_APAR_753.21,632_APAR_754.22,636_APAR_755.23,640_APAR_756.24,644_APAR_757.25,706_FIF_703.3,708_FIF_704.4,710_FIF_705.5,712_FIF_706.6,714_FIF_707.7,716_FIF_708.8,718_FIF_709.9,720_FIF_710.10
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-17 23:45:36,46.5,47.4,47.4,55.9,75.6,37.3,37.3,37.8,56.4,76.7,49.5,49.6,51.5,59.9,36.9,38.8,40.8,48.3,39.2,40.0,37.5,44.9,51.4,41.4,43.9,39.3,48.1,58.8,59.5,48.6,38.6,39.8,65.3,50.8,40.8,34.1,55.1,40.8,34.6,32.1,86.1,66.9,89.8,32.692308,34.923077,31.0,41.0,31.038462,36.0,33.192308,34.0
2019-01-17 23:52:48,46.3,47.2,47.3,55.9,75.7,37.3,37.3,37.7,56.3,76.7,49.5,49.6,51.4,59.9,36.9,38.8,40.8,48.3,39.1,39.9,37.5,44.9,51.5,41.4,43.9,39.3,48.2,58.9,59.6,48.6,38.6,39.5,65.3,50.8,40.8,34.0,55.1,40.8,34.5,32.0,85.9,66.8,90.2,32.92,35.0,31.0,41.0,31.04,36.0,33.08,34.0
2019-01-18 00:00:00,46.3,47.2,47.3,55.9,75.7,37.3,37.3,37.7,56.3,76.7,49.5,49.6,51.4,59.9,36.9,38.8,40.8,48.3,39.1,39.9,37.5,44.9,51.5,41.4,43.9,39.3,48.2,58.9,59.6,48.6,38.6,39.5,65.3,50.8,40.8,34.0,55.1,40.8,34.5,32.0,85.9,66.8,90.2,32.92,35.0,31.0,41.0,31.04,36.0,33.08,34.0
2019-01-18 00:07:12,46.0,46.9,47.3,55.9,75.7,37.3,37.3,37.7,56.3,76.7,49.6,49.6,51.4,60.0,36.9,38.8,40.8,48.3,39.1,39.9,37.5,44.9,51.5,41.4,43.9,39.3,48.2,58.9,59.6,48.6,38.6,39.1,65.4,50.8,40.8,34.0,55.1,40.7,34.5,32.0,86.0,66.6,90.3,33.0,35.0,31.0,41.0,31.296296,36.0,33.555556,34.0
2019-01-18 00:14:24,46.0,46.9,47.3,55.9,75.7,37.3,37.3,37.7,56.3,76.7,49.6,49.6,51.4,60.0,36.9,38.8,40.8,48.3,39.1,39.9,37.5,44.9,51.5,41.4,43.9,39.3,48.2,58.9,59.6,48.6,38.6,39.1,65.4,50.8,40.8,34.0,55.1,40.7,34.5,32.0,86.0,66.6,90.3,33.0,35.0,31.0,41.0,31.296296,36.0,33.555556,34.0
2019-01-18 00:21:36,45.8,46.5,47.2,55.8,75.7,37.3,37.2,37.7,56.3,76.7,49.6,49.6,51.4,60.0,36.8,38.8,40.8,48.3,39.0,39.8,37.5,44.9,51.5,41.3,43.8,39.3,48.2,59.0,59.6,48.6,38.6,38.8,65.4,50.8,40.7,34.0,55.2,40.7,34.5,31.9,86.0,65.9,90.1,33.0,35.0,31.0,41.0,31.862069,36.0,33.448276,34.0
2019-01-18 00:28:48,45.8,46.5,47.2,55.8,75.7,37.3,37.2,37.7,56.3,76.7,49.6,49.6,51.4,60.0,36.8,38.8,40.8,48.3,39.0,39.8,37.5,44.9,51.5,41.3,43.8,39.3,48.2,59.0,59.6,48.6,38.6,38.8,65.4,50.8,40.7,34.0,55.2,40.7,34.5,31.9,86.0,65.9,90.1,33.0,35.0,31.0,41.0,31.862069,36.0,33.448276,34.0
2019-01-18 00:36:00,45.7,46.4,47.1,55.8,75.6,37.2,37.2,37.6,56.3,76.7,49.6,49.6,51.4,60.0,36.8,38.7,40.8,48.3,38.9,39.7,37.5,44.9,51.5,41.3,43.8,39.2,48.2,59.1,59.6,48.6,38.6,38.5,65.4,50.8,40.7,33.9,55.2,40.7,34.5,31.8,85.9,64.9,90.3,32.903226,35.0,31.0,41.0,31.967742,36.0,33.451613,34.0
