,4146_MBUS Bmeters,4147_MBUS Bmeters,4150_MBUS Bmeters,4153_MBUS Bmeters,4155_MBUS Bmeters,4156_MBUS Bmeters,4157_MBUS Bmeters,4158_MBUS Bmeters,4159_MBUS Bmeters
,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,
2019-02-05 23:45:36,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-05 23:52:48,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 00:00:00,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 00:07:12,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 00:14:24,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 00:21:36,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 00:28:48,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 00:36:00,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 00:43:12,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 00:50:24,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 00:57:36,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 01:04:48,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 01:12:00,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 01:19:12,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 01:26:24,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 01:33:36,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 01:40:48,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 01:48:00,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 01:55:12,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 02:02:24,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
2019-02-06 02:09:36,0.891,0.356,0.255,0.302,0.175,1.084,0.24,2.747,0.185
