,10_APAR_32.3,14_APAR_33.4,18_APAR_34.5,2_APAR_30.1,6_APAR_31.2,648_FIF_11.11
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-13 23:45:36,12.4,6.1,1.9,14.3,13.8,
2019-01-13 23:52:48,12.4,6.1,1.9,14.3,13.8,
2019-01-14 00:00:00,12.4,6.1,1.9,14.3,13.8,
2019-01-14 00:07:12,12.4,6.1,1.8,14.3,13.8,
2019-01-14 00:14:24,12.4,6.1,1.8,14.3,13.8,
2019-01-14 00:21:36,12.4,6.1,1.8,14.2,13.8,
2019-01-14 00:28:48,12.4,6.1,1.8,14.2,13.8,
2019-01-14 00:36:00,12.5,6.1,1.8,14.2,13.8,
2019-01-14 00:43:12,12.5,6.1,1.8,14.2,13.8,
2019-01-14 00:50:24,12.5,6.1,1.8,14.2,13.7,
2019-01-14 00:57:36,12.5,6.1,1.8,14.2,13.7,
2019-01-14 01:04:48,12.5,6.1,1.8,14.2,13.7,
2019-01-14 01:12:00,12.5,6.1,1.8,14.2,13.7,
2019-01-14 01:19:12,12.5,6.1,1.8,14.2,13.7,
2019-01-14 01:26:24,12.5,6.1,1.8,14.2,13.7,
2019-01-14 01:33:36,12.5,6.1,1.8,14.2,13.7,
2019-01-14 01:40:48,12.5,6.1,1.8,14.2,13.7,
2019-01-14 01:48:00,12.5,6.1,1.8,14.2,13.8,
2019-01-14 01:55:12,12.5,6.1,1.8,14.2,13.8,
2019-01-14 02:02:24,12.5,6.1,1.8,14.3,13.8,
2019-01-14 02:09:36,12.5,6.1,1.8,14.3,13.8,
2019-01-14 02:16:48,12.5,6.1,1.8,14.3,13.8,
2019-01-14 02:24:00,12.5,6.1,1.8,14.3,13.8,
2019-01-14 02:31:12,12.5,6.1,1.8,14.3,13.8,
2019-01-14 02:38:24,12.5,6.1,1.8,14.3,13.8,
2019-01-14 02:45:36,12.5,6.1,1.8,14.3,13.8,
2019-01-14 02:52:48,12.5,6.1,1.8,14.3,13.8,
2019-01-14 03:00:00,12.5,6.1,1.8,14.3,13.8,
2019-01-14 03:07:12,12.6,6.1,1.8,14.3,13.8,
2019-01-14 03:14:24,12.6,6.1,1.8,14.3,13.8,
2019-01-14 03:21:36,12.6,6.1,1.8,14.3,13.8,
2019-01-14 03:28:48,12.6,6.1,1.8,14.3,13.8,
2019-01-14 03:36:00,12.6,6.1,1.8,14.3,13.8,
2019-01-14 03:43:12,12.6,6.1,1.8,14.3,13.8,
2019-01-14 03:50:24,12.6,6.1,1.8,14.3,13.8,
2019-01-14 03:57:36,12.6,6.1,1.8,14.3,13.8,
2019-01-14 04:04:48,12.6,6.1,1.8,14.3,13.8,
2019-01-14 04:12:00,12.6,6.1,1.8,14.3,13.8,
2019-01-14 04:19:12,12.6,6.1,1.7,14.3,13.8,
2019-01-14 04:26:24,12.6,6.1,1.7,14.3,13.8,
2019-01-14 04:33:36,12.6,6.1,1.7,14.2,13.8,
2019-01-14 04:40:48,12.6,6.1,1.7,14.2,13.8,
2019-01-14 04:48:00,12.6,6.1,1.7,14.2,13.8,
2019-01-14 04:55:12,12.6,6.1,1.7,14.2,13.8,
2019-01-14 05:02:24,12.6,6.1,1.7,14.2,13.8,
2019-01-14 05:09:36,12.6,6.1,1.7,14.2,13.8,
2019-01-14 05:16:48,12.6,6.1,1.8,14.2,13.8,
2019-01-14 05:24:00,12.6,6.1,1.8,14.2,13.8,
2019-01-14 05:31:12,12.6,6.1,1.8,14.3,13.8,
2019-01-14 05:38:24,12.6,6.1,1.8,14.3,13.8,
2019-01-14 05:45:36,12.6,6.1,1.9,14.2,13.8,
2019-01-14 05:52:48,12.6,6.1,1.9,14.2,13.8,
