,3863_FIF_38.9,3865_FIF_39.10,3867_FIF_40.11,3869_FIF_41.12
,avg,avg,avg,avg
Time,,,,
2019-01-23 23:45:36,0.0,0.0,72.0,87.15162
2019-01-23 23:52:48,0.0,0.0,72.0,64.127273
2019-01-24 00:00:00,0.0,0.0,72.0,64.127273
2019-01-24 00:07:12,0.0,0.0,72.0,76.410714
2019-01-24 00:14:24,0.0,0.0,72.0,76.410714
2019-01-24 00:21:36,0.0,0.0,72.0,75.1
2019-01-24 00:28:48,0.0,0.0,72.0,75.1
2019-01-24 00:36:00,0.0,0.0,72.0,82.411111
2019-01-24 00:43:12,0.0,0.0,72.0,82.411111
2019-01-24 00:50:24,0.0,0.0,72.0,77.791667
2019-01-24 00:57:36,0.0,0.0,72.0,77.791667
2019-01-24 01:04:48,0.0,0.0,72.0,82.046968
2019-01-24 01:12:00,0.0,0.0,72.0,82.046968
2019-01-24 01:19:12,0.0,0.0,72.0,73.133333
2019-01-24 01:26:24,0.0,0.0,72.0,73.133333
2019-01-24 01:33:36,0.0,0.0,72.0,61.057143
2019-01-24 01:40:48,0.0,0.0,72.0,61.057143
2019-01-24 01:48:00,0.0,0.0,72.0,83.376852
2019-01-24 01:55:12,0.0,0.0,72.0,83.376852
2019-01-24 02:02:24,0.0,0.0,72.0,64.523077
2019-01-24 02:09:36,0.0,0.0,72.0,64.523077
2019-01-24 02:16:48,0.0,0.0,71.820408,81.958163
2019-01-24 02:24:00,0.0,0.0,71.820408,81.958163
2019-01-24 02:31:12,0.0,0.0,71.820408,81.958163
2019-01-24 02:38:24,0.0,0.0,72.0,94.389422
2019-01-24 02:45:36,0.0,0.0,72.0,94.389422
2019-01-24 02:52:48,0.0,0.0,72.0,55.9
2019-01-24 03:00:00,0.0,0.0,72.0,55.9
2019-01-24 03:07:12,0.0,0.0,72.0,75.580215
2019-01-24 03:14:24,0.0,0.0,72.0,75.580215
2019-01-24 03:21:36,0.0,0.0,72.0,87.411538
2019-01-24 03:28:48,0.0,0.0,72.0,87.411538
2019-01-24 03:36:00,0.0,0.0,72.0,82.497403
2019-01-24 03:43:12,0.0,0.0,72.0,82.497403
2019-01-24 03:50:24,0.0,0.0,72.0,76.90989
2019-01-24 03:57:36,0.0,0.0,72.0,76.90989
2019-01-24 04:04:48,0.0,0.0,72.0,97.479592
2019-01-24 04:12:00,0.0,0.0,72.0,97.479592
2019-01-24 04:19:12,0.0,0.0,72.0,92.061846
2019-01-24 04:26:24,0.0,0.0,72.0,92.061846
2019-01-24 04:33:36,0.0,0.0,72.0,92.653274
2019-01-24 04:40:48,0.0,0.0,72.0,92.653274
2019-01-24 04:48:00,0.0,0.0,72.176871,92.665816
2019-01-24 04:55:12,0.0,0.0,72.176871,92.665816
2019-01-24 05:02:24,0.0,0.0,72.10582,98.152998
2019-01-24 05:09:36,0.0,0.0,72.10582,98.152998
2019-01-24 05:16:48,0.0,0.0,72.487179,98.923077
2019-01-24 05:24:00,0.0,0.0,72.487179,98.923077
2019-01-24 05:31:12,0.0,0.0,72.487179,98.923077
2019-01-24 05:38:24,0.0,0.0,72.597037,99.662963
2019-01-24 05:45:36,0.0,0.0,72.597037,99.662963
2019-01-24 05:52:48,0.0,0.0,72.740741,100.0
2019-01-24 06:00:00,0.0,0.0,72.740741,100.0
2019-01-24 06:07:12,0.0,45.500633,72.0,100.0
2019-01-24 06:14:24,0.0,45.500633,72.0,100.0
2019-01-24 06:21:36,0.0,40.575539,72.0,100.0
2019-01-24 06:28:48,0.0,40.575539,72.0,100.0
2019-01-24 06:36:00,0.0,33.527832,71.903206,99.89273
2019-01-24 06:43:12,0.0,33.527832,71.903206,99.89273
2019-01-24 06:50:24,0.0,33.527832,71.903206,99.89273
2019-01-24 06:57:36,0.0,33.527832,71.903206,99.89273
2019-01-24 07:04:48,0.0,35.228511,72.0,100.0
2019-01-24 07:12:00,0.0,35.228511,72.0,100.0
2019-01-24 07:19:12,0.0,37.755963,69.20754,100.0
2019-01-24 07:26:24,0.0,37.755963,69.20754,100.0
2019-01-24 07:33:36,0.0,43.259142,64.069928,100.0
2019-01-24 07:40:48,0.0,43.259142,64.069928,100.0
2019-01-24 07:48:00,0.0,40.278796,67.369498,100.0
2019-01-24 07:55:12,0.0,40.278796,67.369498,100.0
2019-01-24 08:02:24,0.0,37.311605,69.34248,100.0
2019-01-24 08:09:36,0.0,37.311605,69.34248,100.0
2019-01-24 08:16:48,0.0,41.83497,70.0,100.0
2019-01-24 08:24:00,0.0,41.83497,70.0,100.0
2019-01-24 08:31:12,0.0,43.745586,70.085063,100.0
2019-01-24 08:38:24,0.0,43.745586,70.085063,100.0
2019-01-24 08:45:36,0.0,42.434687,70.550017,100.0
2019-01-24 08:52:48,0.0,42.434687,70.550017,100.0
2019-01-24 09:00:00,0.0,42.434687,70.550017,100.0
2019-01-24 09:07:12,0.0,37.860276,70.156157,99.839684
2019-01-24 09:14:24,0.0,37.860276,70.156157,99.839684
2019-01-24 09:21:36,0.0,37.502464,70.0,99.848134
2019-01-24 09:28:48,0.0,37.502464,70.0,99.848134
2019-01-24 09:36:00,0.0,37.996689,69.945971,99.587104
2019-01-24 09:43:12,0.0,37.996689,69.945971,99.587104
2019-01-24 09:50:24,0.0,38.955942,69.751576,96.445036
2019-01-24 09:57:36,0.0,38.955942,69.751576,96.445036
2019-01-24 10:04:48,0.0,38.594846,69.607615,90.66355
2019-01-24 10:12:00,0.0,38.594846,69.607615,90.66355
2019-01-24 10:19:12,0.0,39.230495,69.08257,87.193581
2019-01-24 10:26:24,0.0,39.230495,69.08257,87.193581
2019-01-24 10:33:36,0.0,39.132156,69.0,83.797097
2019-01-24 10:40:48,0.0,39.132156,69.0,83.797097
2019-01-24 10:48:00,0.0,38.093687,69.0,81.646305
2019-01-24 10:55:12,0.0,38.093687,69.0,81.646305
2019-01-24 11:02:24,0.0,38.767669,69.0,74.802198
2019-01-24 11:09:36,0.0,38.767669,69.0,74.802198
2019-01-24 11:16:48,0.0,38.160443,69.0,35.127884
2019-01-24 11:24:00,0.0,38.160443,69.0,35.127884
2019-01-24 11:31:12,0.0,37.377778,69.0,37.0
2019-01-24 11:38:24,0.0,37.377778,69.0,37.0
2019-01-24 11:45:36,0.0,37.377778,69.0,37.0
2019-01-24 11:52:48,0.0,38.837037,68.866667,37.0
2019-01-24 12:00:00,0.0,38.837037,68.866667,37.0
2019-01-24 12:07:12,0.0,39.254014,68.735878,38.875414
2019-01-24 12:14:24,0.0,39.254014,68.735878,38.875414
2019-01-24 12:21:36,0.0,40.384753,68.0,39.281653
2019-01-24 12:28:48,0.0,40.384753,68.0,39.281653
2019-01-24 12:36:00,0.0,39.376296,68.098665,31.692569
2019-01-24 12:43:12,0.0,39.376296,68.098665,31.692569
2019-01-24 12:50:24,0.0,39.0,68.0,34.0
2019-01-24 12:57:36,0.0,39.0,68.0,34.0
2019-01-24 13:04:48,0.0,39.699294,68.0,34.69031
2019-01-24 13:12:00,0.0,39.699294,68.0,34.69031
2019-01-24 13:19:12,0.0,38.868631,68.0,36.783643
2019-01-24 13:26:24,0.0,38.868631,68.0,36.783643
2019-01-24 13:33:36,0.0,38.466115,68.0,35.169979
2019-01-24 13:40:48,0.0,38.466115,68.0,35.169979
2019-01-24 13:48:00,0.0,38.087287,68.2657,36.504493
2019-01-24 13:55:12,0.0,38.087287,68.2657,36.504493
2019-01-24 14:02:24,0.0,37.305662,69.0,36.899355
2019-01-24 14:09:36,0.0,37.305662,69.0,36.899355
2019-01-24 14:16:48,0.0,38.970044,69.36024,34.400348
2019-01-24 14:24:00,0.0,38.970044,69.36024,34.400348
2019-01-24 14:31:12,0.0,39.370294,70.0,31.617647
2019-01-24 14:38:24,0.0,39.370294,70.0,31.617647
2019-01-24 14:45:36,0.0,39.370294,70.0,31.617647
2019-01-24 14:52:48,0.0,41.211303,70.041818,27.841559
2019-01-24 15:00:00,0.0,41.211303,70.041818,27.841559
2019-01-24 15:07:12,0.0,41.517574,70.636494,26.144442
2019-01-24 15:14:24,0.0,41.517574,70.636494,26.144442
2019-01-24 15:21:36,0.0,42.55,71.0,26.207833
2019-01-24 15:28:48,0.0,42.55,71.0,26.207833
2019-01-24 15:36:00,0.0,44.870574,71.0,26.098271
2019-01-24 15:43:12,0.0,44.870574,71.0,26.098271
2019-01-24 15:50:24,0.0,44.553948,71.0,26.46922
2019-01-24 15:57:36,0.0,44.553948,71.0,26.46922
2019-01-24 16:04:48,0.0,44.92802,71.0,27.01174
2019-01-24 16:12:00,0.0,44.92802,71.0,27.01174
2019-01-24 16:19:12,0.0,45.36044,71.145686,27.503079
2019-01-24 16:26:24,0.0,45.36044,71.145686,27.503079
2019-01-24 16:33:36,0.0,43.299459,71.334082,27.92349
2019-01-24 16:40:48,0.0,43.299459,71.334082,27.92349
2019-01-24 16:48:00,0.0,41.133721,71.738791,28.101236
2019-01-24 16:55:12,0.0,41.133721,71.738791,28.101236
2019-01-24 17:02:24,0.0,3.478261,31.826087,27.718816
2019-01-24 17:09:36,0.0,3.478261,31.826087,27.718816
2019-01-24 17:16:48,0.0,0.0,28.0,27.091424
2019-01-24 17:24:00,0.0,0.0,28.0,27.091424
2019-01-24 17:31:12,0.0,0.0,28.0,27.379458
2019-01-24 17:38:24,0.0,0.0,28.0,27.379458
2019-01-24 17:45:36,0.0,0.0,28.0,27.379458
