,252_APAR_314.14,256_APAR_315.15,260_APAR_316.16,264_APAR_317.17,268_APAR_318.18,272_APAR_319.19,276_APAR_320.20,280_APAR_321.21,284_APAR_322.22,288_APAR_323.23,292_APAR_324.24,296_APAR_325.25,300_APAR_326.26,666_FIF_304.4,668_FIF_305.5,670_FIF_306.6,672_FIF_310.10,674_FIF_311.11,676_FIF_312.12,678_FIF_313.13
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-23 23:45:36,24.0,24.9,24.9,41.0,86.4,36.5,38.8,41.1,52.3,23.7,24.4,31.9,40.8,24.0,21.700893,20.799107,,,46.901786,17.928571
2019-01-23 23:52:48,24.0,24.9,25.0,41.0,86.4,36.5,38.8,41.1,52.3,23.7,24.4,31.9,40.8,24.0,21.538462,21.0,,,45.769231,18.0
2019-01-24 00:00:00,24.0,24.9,25.0,41.0,86.4,36.5,38.8,41.1,52.3,23.7,24.4,31.9,40.8,24.0,21.538462,21.0,,,45.769231,18.0
2019-01-24 00:07:12,23.9,24.8,24.9,40.9,86.4,36.5,38.8,41.1,52.3,23.6,24.3,31.9,40.7,24.0,21.357143,20.785714,,,51.285714,17.428571
2019-01-24 00:14:24,23.9,24.8,24.9,40.9,86.4,36.5,38.8,41.1,52.3,23.6,24.3,31.9,40.7,24.0,21.357143,20.785714,,,51.285714,17.428571
2019-01-24 00:21:36,24.0,24.9,24.9,41.0,86.4,36.5,38.8,41.1,52.3,23.6,24.3,31.9,40.7,24.0,21.642857,20.857143,,,48.5,18.0
2019-01-24 00:28:48,24.0,24.9,24.9,41.0,86.4,36.5,38.8,41.1,52.3,23.6,24.3,31.9,40.7,24.0,21.642857,20.857143,,,48.5,18.0
2019-01-24 00:36:00,23.9,24.8,24.9,41.0,86.4,36.5,38.8,41.1,52.3,23.6,24.3,31.9,40.7,24.0,21.4375,20.75,,,48.8125,17.875
2019-01-24 00:43:12,23.9,24.8,24.9,41.0,86.4,36.5,38.8,41.1,52.3,23.6,24.3,31.9,40.7,24.0,21.4375,20.75,,,48.8125,17.875
2019-01-24 00:50:24,23.9,24.8,24.9,40.9,86.4,36.4,38.8,41.1,52.3,23.6,24.3,31.9,40.7,24.0,21.5625,20.75,,,49.3125,18.0
2019-01-24 00:57:36,23.9,24.8,24.9,40.9,86.4,36.4,38.8,41.1,52.3,23.6,24.3,31.9,40.7,24.0,21.5625,20.75,,,49.3125,18.0
