,252_APAR_314.14,256_APAR_315.15,260_APAR_316.16,264_APAR_317.17,268_APAR_318.18,272_APAR_319.19,276_APAR_320.20,280_APAR_321.21,284_APAR_322.22,288_APAR_323.23,292_APAR_324.24,296_APAR_325.25,300_APAR_326.26,666_FIF_304.4,668_FIF_305.5,670_FIF_306.6,672_FIF_310.10,674_FIF_311.11,676_FIF_312.12,678_FIF_313.13
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-22 23:45:36,26.0,27.0,26.2,41.7,84.9,37.4,39.7,41.7,51.8,26.6,27.4,32.9,41.1,26.0,24.0,23.0,,,50.892857,19.178571
2019-01-22 23:52:48,26.0,27.0,26.2,41.7,84.9,37.4,39.7,41.7,51.8,26.6,27.4,32.9,41.1,26.0,24.0,23.0,,,50.482759,19.241379
2019-01-23 00:00:00,26.0,27.0,26.2,41.7,84.9,37.4,39.7,41.7,51.8,26.6,27.4,32.9,41.1,26.0,24.0,23.0,,,50.482759,19.241379
2019-01-23 00:07:12,25.9,26.9,26.2,41.7,85.0,37.4,39.7,41.7,51.9,26.6,27.4,32.9,41.1,26.0,24.0,23.0,,,51.793103,19.0
2019-01-23 00:14:24,25.9,26.9,26.2,41.7,85.0,37.4,39.7,41.7,51.9,26.6,27.4,32.9,41.1,26.0,24.0,23.0,,,51.793103,19.0
2019-01-23 00:21:36,25.9,26.9,26.1,41.7,85.0,37.4,39.7,41.7,51.9,26.6,27.4,32.9,41.1,25.965517,24.0,23.0,,,50.448276,19.0
2019-01-23 00:28:48,25.9,26.9,26.1,41.7,85.0,37.4,39.7,41.7,51.9,26.6,27.4,32.9,41.1,25.965517,24.0,23.0,,,50.448276,19.0
2019-01-23 00:36:00,25.9,26.9,26.1,41.6,85.0,37.4,39.7,41.7,51.9,26.6,27.4,32.9,41.1,25.965517,24.0,23.0,,,50.37931,19.0
2019-01-23 00:43:12,25.9,26.9,26.1,41.6,85.0,37.4,39.7,41.7,51.9,26.6,27.4,32.9,41.1,25.965517,24.0,23.0,,,50.37931,19.0
2019-01-23 00:50:24,25.9,26.8,26.1,41.6,85.0,37.3,39.6,41.7,51.9,26.6,27.4,32.8,41.1,25.925926,24.0,23.0,,,50.259259,19.0
2019-01-23 00:57:36,25.9,26.8,26.1,41.6,85.0,37.3,39.6,41.7,51.9,26.6,27.4,32.8,41.1,25.925926,24.0,23.0,,,50.259259,19.0
