,136_APAR_213.1,144_APAR_214.2,148_APAR_215.3,152_APAR_216.4,156_APAR_217.5,160_APAR_218.6,164_APAR_219.7,168_APAR_220.8,172_APAR_221.9,176_APAR_222.10,180_APAR_223.11,184_APAR_224.12,188_APAR_225.13,192_APAR_226.14,196_APAR_227.15,200_APAR_228.16,204_APAR_229.17,208_APAR_230.18,212_APAR_231.19,216_APAR_232.20,220_APAR_233.21,224_APAR_234.22,228_APAR_235.23,232_APAR_236.24,236_APAR_237.25,240_APAR_238.26,244_APAR_239.27,248_APAR_240.28,3808_APAR_16.16,3812_APAR_17.17,3816_APAR_18.18,656_FIF_203.3,658_FIF_204.4,660_FIF_205.5,662_FIF_206.6,664_FIF_207.7
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22 23:45:36,27.3,27.5,29.3,40.7,53.7,26.2,28.4,31.4,41.1,54.0,27.7,30.2,39.3,30.9,43.1,52.1,26.6,36.6,55.4,,,,,,,,,,34.1,100.0,38.6,24.357143,27.035714,22.0,24.0,22.0
2019-01-22 23:52:48,27.3,27.5,29.2,40.7,53.7,26.1,28.4,31.4,41.0,54.0,27.7,30.2,39.3,30.9,43.1,52.1,26.6,36.6,55.4,,,,,,,,,,33.9,100.0,38.5,24.137931,27.0,22.0,24.0,22.0
2019-01-23 00:00:00,27.3,27.5,29.2,40.7,53.7,26.1,28.4,31.4,41.0,54.0,27.7,30.2,39.3,30.9,43.1,52.1,26.6,36.6,55.4,,,,,,,,,,33.9,100.0,38.5,24.137931,27.0,22.0,24.0,22.0
2019-01-23 00:07:12,27.3,27.5,29.2,40.7,53.7,26.1,28.3,31.3,41.0,54.0,27.7,30.2,39.3,30.9,43.0,52.1,26.6,36.6,55.3,,,,,,,,,,33.7,100.0,38.5,24.068966,27.0,22.0,24.0,22.0
2019-01-23 00:14:24,27.3,27.5,29.2,40.7,53.7,26.1,28.3,31.3,41.0,54.0,27.7,30.2,39.3,30.9,43.0,52.1,26.6,36.6,55.3,,,,,,,,,,33.7,100.0,38.5,24.068966,27.0,22.0,24.0,22.0
2019-01-23 00:21:36,27.3,27.5,29.2,40.7,53.7,26.1,28.3,31.3,41.0,54.0,27.6,30.2,39.3,30.9,43.0,52.0,26.6,36.6,55.3,,,,,,,,,,33.5,100.0,38.4,24.0,27.0,22.0,24.0,22.0
2019-01-23 00:28:48,27.3,27.5,29.2,40.7,53.7,26.1,28.3,31.3,41.0,54.0,27.6,30.2,39.3,30.9,43.0,52.0,26.6,36.6,55.3,,,,,,,,,,33.5,100.0,38.4,24.0,27.0,22.0,24.0,22.0
2019-01-23 00:36:00,27.3,27.5,29.2,40.7,53.7,26.1,28.3,31.3,41.0,54.0,27.5,30.2,39.3,30.9,43.0,52.0,26.6,36.6,55.2,,,,,,,,,,33.2,100.0,38.3,24.0,27.0,22.0,24.0,22.0
