,1_APAR_30.1,13_APAR_33.4,17_APAR_34.5,5_APAR_31.2,649_FIF_11.11,9_APAR_32.3
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-22 23:45:36,36.7,60.1,82.2,38.1,,38.4
2019-01-22 23:52:48,36.6,60.0,82.2,38.1,,38.3
2019-01-23 00:00:00,36.6,60.0,82.2,38.1,,38.3
2019-01-23 00:07:12,36.6,60.0,82.2,38.1,,38.3
2019-01-23 00:14:24,36.6,60.0,82.2,38.1,,38.3
2019-01-23 00:21:36,36.6,60.0,82.2,38.1,,38.2
2019-01-23 00:28:48,36.6,60.0,82.2,38.1,,38.2
2019-01-23 00:36:00,36.6,59.9,82.2,38.0,,38.2
2019-01-23 00:43:12,36.6,59.9,82.2,38.0,,38.2
2019-01-23 00:50:24,36.5,59.9,82.2,38.0,,38.2
2019-01-23 00:57:36,36.5,59.9,82.2,38.0,,38.2
2019-01-23 01:04:48,36.5,59.9,82.2,38.0,,38.1
2019-01-23 01:12:00,36.5,59.9,82.2,38.0,,38.1
2019-01-23 01:19:12,36.5,59.8,82.2,38.0,,38.1
2019-01-23 01:26:24,36.5,59.8,82.2,38.0,,38.1
2019-01-23 01:33:36,36.5,59.8,82.2,38.0,,38.1
2019-01-23 01:40:48,36.5,59.8,82.2,38.0,,38.1
2019-01-23 01:48:00,36.5,59.8,82.2,37.9,,38.0
2019-01-23 01:55:12,36.5,59.8,82.2,37.9,,38.0
2019-01-23 02:02:24,36.4,59.7,82.2,37.9,,38.0
2019-01-23 02:09:36,36.4,59.7,82.2,37.9,,38.0
2019-01-23 02:16:48,36.4,59.7,82.2,37.9,,38.0
2019-01-23 02:24:00,36.4,59.7,82.2,37.9,,38.0
2019-01-23 02:31:12,36.4,59.7,82.2,37.9,,37.9
2019-01-23 02:38:24,36.4,59.7,82.2,37.9,,37.9
2019-01-23 02:45:36,36.4,59.6,82.2,37.9,,37.9
2019-01-23 02:52:48,36.4,59.6,82.2,37.9,,37.9
2019-01-23 03:00:00,36.4,59.6,82.2,37.9,,37.9
2019-01-23 03:07:12,36.4,59.6,82.2,37.9,,37.9
2019-01-23 03:14:24,36.4,59.6,82.2,37.9,,37.9
2019-01-23 03:21:36,36.4,59.6,82.2,37.9,,37.8
2019-01-23 03:28:48,36.4,59.6,82.2,37.9,,37.8
2019-01-23 03:36:00,36.3,59.6,82.2,37.8,,37.8
2019-01-23 03:43:12,36.3,59.6,82.2,37.8,,37.8
2019-01-23 03:50:24,36.3,59.5,82.2,37.8,,37.8
2019-01-23 03:57:36,36.3,59.5,82.2,37.8,,37.8
2019-01-23 04:04:48,36.3,59.5,82.1,37.8,,37.7
2019-01-23 04:12:00,36.3,59.5,82.1,37.8,,37.7
2019-01-23 04:19:12,36.3,59.5,82.1,37.8,,37.7
2019-01-23 04:26:24,36.3,59.5,82.1,37.8,,37.7
2019-01-23 04:33:36,36.2,59.4,82.1,37.7,,37.7
2019-01-23 04:40:48,36.2,59.4,82.1,37.7,,37.7
2019-01-23 04:48:00,36.2,59.4,82.1,37.7,,37.6
2019-01-23 04:55:12,36.2,59.4,82.1,37.7,,37.6
2019-01-23 05:02:24,36.2,59.4,82.1,37.6,,37.6
2019-01-23 05:09:36,36.2,59.4,82.1,37.6,,37.6
2019-01-23 05:16:48,36.1,59.4,82.1,37.6,,37.6
2019-01-23 05:24:00,36.1,59.4,82.1,37.6,,37.6
2019-01-23 05:31:12,36.2,59.3,82.1,37.6,,37.5
2019-01-23 05:38:24,36.2,59.3,82.1,37.6,,37.5
2019-01-23 05:45:36,36.2,59.3,82.1,37.6,,37.5
2019-01-23 05:52:48,36.2,59.3,82.1,37.6,,37.5
