,364_APAR_511.11,368_APAR_512.12,372_APAR_513.13,376_APAR_514.14,380_APAR_515.15,384_APAR_516.16,388_APAR_517.17,392_APAR_518.18,396_APAR_519.19,400_APAR_520.20,404_APAR_521.21,408_APAR_522.22,412_APAR_523.23,690_FIF_504.4,692_FIF_505.5,694_FIF_506.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,
2019-01-25 23:45:36,24.7,24.8,32.5,47.6,67.7,39.8,41.0,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-25 23:52:48,24.7,24.8,32.5,47.6,67.7,39.8,41.0,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 00:00:00,24.7,24.8,32.5,47.6,67.7,39.8,41.0,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 00:07:12,24.7,24.8,32.4,47.6,67.7,39.8,41.0,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 00:14:24,24.7,24.8,32.4,47.6,67.7,39.8,41.0,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 00:21:36,24.7,24.8,32.4,47.6,67.7,39.8,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 00:28:48,24.7,24.8,32.4,47.6,67.7,39.8,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 00:36:00,24.7,24.8,32.4,47.6,67.7,39.8,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 00:43:12,24.7,24.8,32.4,47.6,67.7,39.8,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 00:50:24,24.7,24.8,32.4,47.6,67.7,39.7,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 00:57:36,24.7,24.8,32.4,47.6,67.7,39.7,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 01:04:48,24.7,24.8,32.4,47.6,67.7,39.7,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 01:12:00,24.7,24.8,32.4,47.6,67.7,39.7,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 01:19:12,24.7,24.8,32.4,47.6,67.7,39.7,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 01:26:24,24.7,24.8,32.4,47.6,67.7,39.7,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 01:33:36,24.7,24.8,32.4,47.6,67.7,39.7,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 01:40:48,24.7,24.8,32.4,47.6,67.7,39.7,40.9,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 01:48:00,24.7,24.8,32.4,47.5,67.7,39.7,40.8,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 01:55:12,24.7,24.8,32.4,47.5,67.7,39.7,40.8,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 02:02:24,24.7,24.8,32.3,47.5,67.7,39.7,40.8,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 02:09:36,24.7,24.8,32.3,47.5,67.7,39.7,40.8,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 02:16:48,24.7,24.8,32.3,47.5,67.7,39.6,40.8,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 02:24:00,24.7,24.8,32.3,47.5,67.7,39.6,40.8,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 02:31:12,24.7,24.8,32.3,47.5,67.7,39.6,40.8,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
2019-01-26 02:38:24,24.7,24.8,32.3,47.5,67.7,39.6,40.8,39.0,46.1,23.5,24.5,31.0,36.4,22.0,20.0,20.0
