,1_APAR_30.1,13_APAR_33.4,17_APAR_34.5,5_APAR_31.2,649_FIF_11.11,9_APAR_32.3
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-02-07 23:45:36,38.7,62.6,81.1,40.0,33.0,42.0
2019-02-07 23:52:48,38.7,62.5,81.1,40.1,33.0,42.0
2019-02-08 00:00:00,38.7,62.5,81.1,40.1,33.0,42.0
2019-02-08 00:07:12,38.7,62.5,81.1,40.1,33.0,42.0
2019-02-08 00:14:24,38.7,62.5,81.1,40.1,33.0,42.0
2019-02-08 00:21:36,38.7,62.5,81.1,40.0,33.0,42.0
2019-02-08 00:28:48,38.7,62.5,81.1,40.0,33.0,42.0
2019-02-08 00:36:00,38.6,62.4,81.1,40.0,33.04,41.9
2019-02-08 00:43:12,38.6,62.4,81.1,40.0,33.04,41.9
2019-02-08 00:50:24,38.7,62.4,81.1,40.0,33.0,41.9
2019-02-08 00:57:36,38.7,62.4,81.1,40.0,33.0,41.9
2019-02-08 01:04:48,38.7,62.4,81.0,40.0,33.133333,41.9
2019-02-08 01:12:00,38.7,62.4,81.0,40.0,33.133333,41.9
2019-02-08 01:19:12,38.6,62.3,81.0,40.0,33.354839,41.9
2019-02-08 01:26:24,38.6,62.3,81.0,40.0,33.354839,41.9
2019-02-08 01:33:36,38.6,62.3,81.0,40.0,34.0,41.8
2019-02-08 01:40:48,38.6,62.3,81.0,40.0,34.0,41.8
2019-02-08 01:48:00,38.6,62.3,81.0,39.9,34.0,41.8
2019-02-08 01:55:12,38.6,62.3,81.0,39.9,34.0,41.8
2019-02-08 02:02:24,38.5,62.2,81.0,39.9,34.0,41.8
2019-02-08 02:09:36,38.5,62.2,81.0,39.9,34.0,41.8
2019-02-08 02:16:48,38.5,62.2,81.0,39.9,34.0,41.8
2019-02-08 02:24:00,38.5,62.2,81.0,39.9,34.0,41.8
2019-02-08 02:31:12,38.6,62.2,81.0,39.9,34.0,41.7
2019-02-08 02:38:24,38.6,62.2,81.0,39.9,34.0,41.7
2019-02-08 02:45:36,38.6,62.1,81.0,39.9,34.0,41.7
2019-02-08 02:52:48,38.6,62.1,81.0,39.9,34.0,41.7
2019-02-08 03:00:00,38.6,62.1,81.0,39.9,34.0,41.7
2019-02-08 03:07:12,38.5,62.1,81.0,39.9,34.0,41.7
2019-02-08 03:14:24,38.5,62.1,81.0,39.9,34.0,41.7
2019-02-08 03:21:36,38.5,62.0,81.0,39.8,34.0,41.6
2019-02-08 03:28:48,38.5,62.0,81.0,39.8,34.0,41.6
2019-02-08 03:36:00,38.5,62.0,81.1,39.8,34.0,41.6
2019-02-08 03:43:12,38.5,62.0,81.1,39.8,34.0,41.6
2019-02-08 03:50:24,38.5,62.0,81.1,39.8,34.483871,41.6
2019-02-08 03:57:36,38.5,62.0,81.1,39.8,34.483871,41.6
2019-02-08 04:04:48,38.6,61.9,81.2,39.8,34.935484,41.5
2019-02-08 04:12:00,38.6,61.9,81.2,39.8,34.935484,41.5
2019-02-08 04:19:12,38.6,61.9,81.2,39.9,35.0,41.5
2019-02-08 04:26:24,38.6,61.9,81.2,39.9,35.0,41.5
2019-02-08 04:33:36,38.6,61.9,81.2,39.9,35.0,41.5
2019-02-08 04:40:48,38.6,61.9,81.2,39.9,35.0,41.5
2019-02-08 04:48:00,38.6,61.8,81.3,39.9,35.0,41.4
2019-02-08 04:55:12,38.6,61.8,81.3,39.9,35.0,41.4
2019-02-08 05:02:24,38.5,61.8,81.3,39.9,35.0,41.4
2019-02-08 05:09:36,38.5,61.8,81.3,39.9,35.0,41.4
2019-02-08 05:16:48,38.6,61.8,81.3,39.8,35.0,41.3
2019-02-08 05:24:00,38.6,61.8,81.3,39.8,35.0,41.3
