,10_APAR_32.3,14_APAR_33.4,18_APAR_34.5,2_APAR_30.1,6_APAR_31.2,648_FIF_11.11
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-26 23:45:36,20.0,7.1,-3.5,22.5,21.8,13.8
2019-01-26 23:52:48,20.0,7.1,-3.5,22.5,21.8,13.8
2019-01-27 00:00:00,20.0,7.1,-3.5,22.5,21.8,13.8
2019-01-27 00:07:12,20.0,7.1,-3.5,22.5,21.8,13.8
2019-01-27 00:14:24,20.0,7.1,-3.5,22.5,21.8,13.8
2019-01-27 00:21:36,20.0,7.1,-3.5,22.5,21.8,13.7
2019-01-27 00:28:48,20.0,7.1,-3.5,22.5,21.8,13.7
2019-01-27 00:36:00,20.0,7.1,-3.5,22.5,21.8,13.7
2019-01-27 00:43:12,20.0,7.1,-3.5,22.5,21.8,13.7
2019-01-27 00:50:24,20.0,7.1,-3.5,22.5,21.8,13.7
2019-01-27 00:57:36,20.0,7.1,-3.5,22.5,21.8,13.7
2019-01-27 01:04:48,20.0,7.1,-3.6,22.5,21.8,13.7
2019-01-27 01:12:00,20.0,7.1,-3.6,22.5,21.8,13.7
2019-01-27 01:19:12,20.0,7.0,-3.6,22.5,21.8,13.6
2019-01-27 01:26:24,20.0,7.0,-3.6,22.5,21.8,13.6
2019-01-27 01:33:36,20.0,7.0,-3.6,22.5,21.8,13.5
2019-01-27 01:40:48,20.0,7.0,-3.6,22.5,21.8,13.5
2019-01-27 01:48:00,20.0,7.0,-3.6,22.5,21.8,13.5
2019-01-27 01:55:12,20.0,7.0,-3.6,22.5,21.8,13.5
2019-01-27 02:02:24,20.0,7.0,-3.6,22.5,21.8,13.5
2019-01-27 02:09:36,20.0,7.0,-3.6,22.5,21.8,13.5
2019-01-27 02:16:48,20.0,7.0,-3.7,22.5,21.8,13.5
2019-01-27 02:24:00,20.0,7.0,-3.7,22.5,21.8,13.5
2019-01-27 02:31:12,20.0,7.0,-3.7,22.5,21.8,13.5
2019-01-27 02:38:24,20.0,7.0,-3.7,22.5,21.8,13.5
2019-01-27 02:45:36,20.0,7.0,-3.7,22.5,21.8,13.4
2019-01-27 02:52:48,20.0,7.0,-3.7,22.5,21.8,13.4
2019-01-27 03:00:00,20.0,7.0,-3.7,22.5,21.8,13.4
2019-01-27 03:07:12,20.0,7.0,-3.8,22.5,21.8,13.3
2019-01-27 03:14:24,20.0,7.0,-3.8,22.5,21.8,13.3
2019-01-27 03:21:36,20.0,7.0,-3.8,22.5,21.8,13.4
2019-01-27 03:28:48,20.0,7.0,-3.8,22.5,21.8,13.4
2019-01-27 03:36:00,20.0,7.0,-3.8,22.5,21.8,13.4
2019-01-27 03:43:12,20.0,7.0,-3.8,22.5,21.8,13.4
2019-01-27 03:50:24,20.0,7.0,-3.8,22.5,21.8,13.2
2019-01-27 03:57:36,20.0,7.0,-3.8,22.5,21.8,13.2
2019-01-27 04:04:48,20.0,7.0,-3.9,22.5,21.8,13.2
2019-01-27 04:12:00,20.0,7.0,-3.9,22.5,21.8,13.2
2019-01-27 04:19:12,20.0,7.0,-3.9,22.5,21.8,13.2
2019-01-27 04:26:24,20.0,7.0,-3.9,22.5,21.8,13.2
2019-01-27 04:33:36,20.0,6.9,-3.9,22.5,21.8,13.3
2019-01-27 04:40:48,20.0,6.9,-3.9,22.5,21.8,13.3
2019-01-27 04:48:00,20.0,6.9,-4.0,22.5,21.8,13.4
2019-01-27 04:55:12,20.0,6.9,-4.0,22.5,21.8,13.4
2019-01-27 05:02:24,20.0,6.9,-4.1,22.5,21.8,13.3
2019-01-27 05:09:36,20.0,6.9,-4.1,22.5,21.8,13.3
