,1_APAR_30.1,13_APAR_33.4,17_APAR_34.5,5_APAR_31.2,649_FIF_11.11,9_APAR_32.3
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-26 23:45:36,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-26 23:52:48,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 00:00:00,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 00:07:12,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 00:14:24,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 00:21:36,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 00:28:48,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 00:36:00,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 00:43:12,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 00:50:24,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 00:57:36,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 01:04:48,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 01:12:00,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 01:19:12,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 01:26:24,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 01:33:36,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 01:40:48,26.6,50.3,88.3,27.0,29.0,27.0
2019-01-27 01:48:00,26.6,50.3,88.2,27.0,29.0,27.0
2019-01-27 01:55:12,26.6,50.3,88.2,27.0,29.0,27.0
2019-01-27 02:02:24,26.6,50.3,88.2,27.0,29.0,27.0
2019-01-27 02:09:36,26.6,50.3,88.2,27.0,29.0,27.0
2019-01-27 02:16:48,26.6,50.3,88.2,27.0,29.0,27.0
2019-01-27 02:24:00,26.6,50.3,88.2,27.0,29.0,27.0
2019-01-27 02:31:12,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 02:38:24,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 02:45:36,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 02:52:48,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 03:00:00,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 03:07:12,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 03:14:24,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 03:21:36,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 03:28:48,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 03:36:00,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 03:43:12,26.6,50.2,88.2,27.0,29.0,26.9
2019-01-27 03:50:24,26.6,50.1,88.2,27.0,29.064516,26.9
2019-01-27 03:57:36,26.6,50.1,88.2,27.0,29.064516,26.9
2019-01-27 04:04:48,26.6,50.1,88.2,27.0,29.066667,26.9
2019-01-27 04:12:00,26.6,50.1,88.2,27.0,29.066667,26.9
2019-01-27 04:19:12,26.6,50.1,88.2,27.0,29.0,26.9
2019-01-27 04:26:24,26.6,50.1,88.2,27.0,29.0,26.9
2019-01-27 04:33:36,26.6,50.1,88.2,27.0,29.0,26.9
2019-01-27 04:40:48,26.6,50.1,88.2,27.0,29.0,26.9
2019-01-27 04:48:00,26.6,50.0,88.1,27.0,29.0,26.9
2019-01-27 04:55:12,26.6,50.0,88.1,27.0,29.0,26.9
2019-01-27 05:02:24,26.6,50.0,88.0,27.0,29.0,26.9
2019-01-27 05:09:36,26.6,50.0,88.0,27.0,29.0,26.9
2019-01-27 05:16:48,26.6,50.0,88.0,27.0,29.0,26.9
2019-01-27 05:24:00,26.6,50.0,88.0,27.0,29.0,26.9
