,4340_POG_26.26,4348_POG_27.27,4356_POG_28.28,4364_POG_29.29
,avg,avg,avg,avg
Time,,,,
2019-01-26 23:45:36,,,,
2019-01-26 23:52:48,,,,
2019-01-27 00:00:00,,,,
2019-01-27 00:07:12,,,,
2019-01-27 00:14:24,,,,
2019-01-27 00:21:36,,,,
2019-01-27 00:28:48,,,,
2019-01-27 00:36:00,,,,
2019-01-27 00:43:12,,,,
2019-01-27 00:50:24,,,,
2019-01-27 00:57:36,,,,
2019-01-27 01:04:48,,,,
2019-01-27 01:12:00,,,,
2019-01-27 01:19:12,,,,
2019-01-27 01:26:24,,,,
2019-01-27 01:33:36,,,,
2019-01-27 01:40:48,,,,
2019-01-27 01:48:00,,,,
2019-01-27 01:55:12,,,,
2019-01-27 02:02:24,,,,
2019-01-27 02:09:36,,,,
2019-01-27 02:16:48,,,,
2019-01-27 02:24:00,,,,
2019-01-27 02:31:12,,,,
2019-01-27 02:38:24,,,,
2019-01-27 02:45:36,,,,
2019-01-27 02:52:48,,,,
2019-01-27 03:00:00,,,,
2019-01-27 03:07:12,,,,
2019-01-27 03:14:24,,,,
2019-01-27 03:21:36,,,,
2019-01-27 03:28:48,,,,
2019-01-27 03:36:00,,,,
2019-01-27 03:43:12,,,,
2019-01-27 03:50:24,,,,
2019-01-27 03:57:36,,,,
2019-01-27 04:04:48,,,,
2019-01-27 04:12:00,,,,
2019-01-27 04:19:12,,,,
2019-01-27 04:26:24,,,,
2019-01-27 04:33:36,,,,
2019-01-27 04:40:48,,,,
2019-01-27 04:48:00,,,,
2019-01-27 04:55:12,,,,
2019-01-27 05:02:24,,,,
2019-01-27 05:09:36,,,,
2019-01-27 05:16:48,,,,
2019-01-27 05:24:00,,,,
2019-01-27 05:31:12,,,,
2019-01-27 05:38:24,,,,
2019-01-27 05:45:36,,,,
2019-01-27 05:52:48,,,,
2019-01-27 06:00:00,,,,
2019-01-27 06:07:12,,,,
2019-01-27 06:14:24,,,,
2019-01-27 06:21:36,,,,
2019-01-27 06:28:48,,,,
2019-01-27 06:36:00,,,,
2019-01-27 06:43:12,,,,
2019-01-27 06:50:24,,,,
2019-01-27 06:57:36,,,,
2019-01-27 07:04:48,,,,
2019-01-27 07:12:00,,,,
2019-01-27 07:19:12,,,,
2019-01-27 07:26:24,,,,
2019-01-27 07:33:36,,,,
2019-01-27 07:40:48,,,,
2019-01-27 07:48:00,,,,
2019-01-27 07:55:12,-5.84,-5.08,-6.32,-7.04
2019-01-27 08:02:24,-5.78,-4.42,-6.06,-6.94
2019-01-27 08:09:36,-5.78,-4.42,-6.06,-6.94
2019-01-27 08:16:48,-5.32,-3.23,-5.52,-6.46
2019-01-27 08:24:00,-5.32,-3.23,-5.52,-6.46
2019-01-27 08:31:12,-4.66,-2.67,-5.04,-5.97
2019-01-27 08:38:24,-4.66,-2.67,-5.04,-5.97
2019-01-27 08:45:36,-4.66,-2.67,-5.04,-5.97
2019-01-27 08:52:48,-3.98,-2.97,-4.84,-5.75
2019-01-27 09:00:00,-3.98,-2.97,-4.84,-5.75
2019-01-27 09:07:12,-3.92,-3.54,-4.59,-5.47
2019-01-27 09:14:24,-3.92,-3.54,-4.59,-5.47
2019-01-27 09:21:36,-3.97,-3.46,-4.46,-5.25
2019-01-27 09:28:48,-3.97,-3.46,-4.46,-5.25
2019-01-27 09:36:00,-3.92,-3.5,-4.35,-4.92
2019-01-27 09:43:12,-3.92,-3.5,-4.35,-4.92
2019-01-27 09:50:24,-3.84,-3.47,-4.15,-4.28
2019-01-27 09:57:36,-3.84,-3.47,-4.15,-4.28
2019-01-27 10:04:48,-3.93,-3.52,-3.93,-3.97
2019-01-27 10:12:00,-3.93,-3.52,-3.93,-3.97
2019-01-27 10:19:12,-3.82,-3.46,-3.73,-3.71
2019-01-27 10:26:24,-3.82,-3.46,-3.73,-3.71
2019-01-27 10:33:36,-3.82,-3.59,-3.77,-3.64
2019-01-27 10:40:48,-3.82,-3.59,-3.77,-3.64
2019-01-27 10:48:00,-3.9,-3.78,-3.95,-4.05
2019-01-27 10:55:12,-3.9,-3.78,-3.95,-4.05
2019-01-27 11:02:24,-3.82,-3.5,-3.88,-4.04
2019-01-27 11:09:36,-3.82,-3.5,-3.88,-4.04
2019-01-27 11:16:48,-3.92,-3.41,-3.78,-3.94
2019-01-27 11:24:00,-3.92,-3.41,-3.78,-3.94
2019-01-27 11:31:12,-3.82,-3.48,-3.98,-4.11
2019-01-27 11:38:24,-3.82,-3.48,-3.98,-4.11
2019-01-27 11:45:36,-3.82,-3.48,-3.98,-4.11
2019-01-27 11:52:48,-3.46,-3.12,-3.73,-3.88
2019-01-27 12:00:00,-3.46,-3.12,-3.73,-3.88
2019-01-27 12:07:12,-3.35,-3.09,-3.68,-3.89
2019-01-27 12:14:24,-3.35,-3.09,-3.68,-3.89
2019-01-27 12:21:36,-3.32,-3.13,-3.75,-3.87
2019-01-27 12:28:48,-3.32,-3.13,-3.75,-3.87
2019-01-27 12:36:00,-3.44,-3.23,-3.82,-3.95
2019-01-27 12:43:12,-3.44,-3.23,-3.82,-3.95
2019-01-27 12:50:24,-3.6,-3.39,-3.9,-4.01
2019-01-27 12:57:36,-3.6,-3.39,-3.9,-4.01
2019-01-27 13:04:48,-3.65,-3.46,-3.9,-4.03
2019-01-27 13:12:00,-3.65,-3.46,-3.9,-4.03
2019-01-27 13:19:12,-3.61,-3.58,-3.98,-4.03
2019-01-27 13:26:24,-3.61,-3.58,-3.98,-4.03
2019-01-27 13:33:36,-3.63,-3.62,-4.0,-4.01
2019-01-27 13:40:48,-3.63,-3.62,-4.0,-4.01
2019-01-27 13:48:00,-3.86,-3.88,-4.17,-4.21
2019-01-27 13:55:12,-3.86,-3.88,-4.17,-4.21
2019-01-27 14:02:24,-4.02,-4.13,-4.39,-4.41
2019-01-27 14:09:36,-4.02,-4.13,-4.39,-4.41
2019-01-27 14:16:48,-4.0,-4.18,-4.45,-4.43
2019-01-27 14:24:00,-4.0,-4.18,-4.45,-4.43
2019-01-27 14:31:12,-4.14,-4.3,-4.51,-4.51
2019-01-27 14:38:24,-4.14,-4.3,-4.51,-4.51
2019-01-27 14:45:36,-4.14,-4.3,-4.51,-4.51
2019-01-27 14:52:48,-4.25,-4.32,-4.54,-4.55
2019-01-27 15:00:00,-4.25,-4.32,-4.54,-4.55
2019-01-27 15:07:12,-4.3,-4.39,-4.62,-4.56
2019-01-27 15:14:24,-4.3,-4.39,-4.62,-4.56
2019-01-27 15:21:36,-4.26,-4.41,-4.6,-4.56
2019-01-27 15:28:48,-4.26,-4.41,-4.6,-4.56
2019-01-27 15:36:00,-4.35,-4.43,-4.64,-4.6
2019-01-27 15:43:12,-4.35,-4.43,-4.64,-4.6
2019-01-27 15:50:24,-4.4,-4.38,-4.61,-4.59
2019-01-27 15:57:36,-4.4,-4.38,-4.61,-4.59
2019-01-27 16:04:48,-4.29,-4.37,-4.55,-4.55
2019-01-27 16:12:00,-4.29,-4.37,-4.55,-4.55
2019-01-27 16:19:12,-4.11,-4.3,-4.48,-4.47
2019-01-27 16:26:24,-4.11,-4.3,-4.48,-4.47
2019-01-27 16:33:36,-4.26,-4.3,-4.48,-4.49
2019-01-27 16:40:48,-4.26,-4.3,-4.48,-4.49
2019-01-27 16:48:00,-4.31,-4.3,-4.52,-4.52
2019-01-27 16:55:12,-4.31,-4.3,-4.52,-4.52
2019-01-27 17:02:24,-4.32,-4.3,-4.55,-4.54
2019-01-27 17:09:36,-4.32,-4.3,-4.55,-4.54
2019-01-27 17:16:48,-4.28,-4.36,-4.6,-4.53
2019-01-27 17:24:00,-4.28,-4.36,-4.6,-4.53
2019-01-27 17:31:12,-4.32,-4.51,-4.62,-4.65
2019-01-27 17:38:24,-4.32,-4.51,-4.62,-4.65
2019-01-27 17:45:36,-4.32,-4.51,-4.62,-4.65
2019-01-27 17:52:48,-4.28,-4.53,-4.61,-4.71
2019-01-27 18:00:00,-4.28,-4.53,-4.61,-4.71
2019-01-27 18:07:12,-4.38,-4.5,-4.59,-4.7
2019-01-27 18:14:24,-4.38,-4.5,-4.59,-4.7
2019-01-27 18:21:36,-4.38,-4.5,-4.65,-4.69
2019-01-27 18:28:48,-4.38,-4.5,-4.65,-4.69
2019-01-27 18:36:00,-4.41,-4.51,-4.6,-4.67
2019-01-27 18:43:12,-4.41,-4.51,-4.6,-4.67
2019-01-27 18:50:24,-4.3,-4.48,-4.58,-4.6
2019-01-27 18:57:36,-4.3,-4.48,-4.58,-4.6
2019-01-27 19:04:48,-4.19,-4.42,-4.57,-4.53
2019-01-27 19:12:00,-4.19,-4.42,-4.57,-4.53
2019-01-27 19:19:12,-4.22,-4.33,-4.51,-4.48
2019-01-27 19:26:24,-4.22,-4.33,-4.51,-4.48
2019-01-27 19:33:36,-4.23,-4.33,-4.5,-4.46
2019-01-27 19:40:48,-4.23,-4.33,-4.5,-4.46
2019-01-27 19:48:00,-4.19,-4.3,-4.49,-4.48
2019-01-27 19:55:12,-4.19,-4.3,-4.49,-4.48
2019-01-27 20:02:24,-4.04,-4.3,-4.45,-4.45
2019-01-27 20:09:36,-4.04,-4.3,-4.45,-4.45
2019-01-27 20:16:48,-4.07,-4.3,-4.43,-4.44
2019-01-27 20:24:00,-4.07,-4.3,-4.43,-4.44
2019-01-27 20:31:12,-4.17,-4.3,-4.44,-4.48
