,100_APAR_127.17,104_APAR_128.18,108_APAR_129.19,112_APAR_130.20,116_APAR_131.21,120_APAR_132.22,124_APAR_133.23,128_APAR_134.24,132_APAR_135.25,21_APAR_111.1,25_APAR_112.2,3820_APAR_19.19,3824_APAR_20.20,44_APAR_113.3,48_APAR_114.4,52_APAR_115.5,56_APAR_116.6,60_APAR_117.7,64_APAR_118.8,650_FIF_104.4,652_FIF_105.5,654_FIF_106.6,68_APAR_119.9,72_APAR_120.10,76_APAR_121.11,80_APAR_122.12,84_APAR_123.13,88_APAR_124.14,92_APAR_125.15,96_APAR_126.16
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-27 23:45:36,38.8,53.6,64.4,,,,,,,26.5,26.9,40.6,79.8,27.2,51.0,88.4,39.3,39.7,43.3,20.0,29.928571,21.714286,55.7,26.0,30.2,37.7,46.2,33.0,42.0,53.4
2019-01-27 23:52:48,38.7,53.6,64.4,,,,,,,26.5,26.9,40.6,79.7,27.2,51.0,88.3,39.3,39.7,43.3,20.0,30.892857,21.821429,55.7,26.0,30.2,37.7,46.2,33.0,41.9,53.4
2019-01-28 00:00:00,38.7,53.6,64.4,,,,,,,26.5,26.9,40.6,79.7,27.2,51.0,88.3,39.3,39.7,43.3,20.0,30.892857,21.821429,55.7,26.0,30.2,37.7,46.2,33.0,41.9,53.4
2019-01-28 00:07:12,38.7,53.6,64.4,,,,,,,26.5,26.9,40.6,79.7,27.2,51.0,88.3,39.3,39.7,43.3,20.0,30.535714,22.0,55.7,26.0,30.2,37.7,46.2,33.0,41.9,53.4
2019-01-28 00:14:24,38.7,53.6,64.4,,,,,,,26.5,26.9,40.6,79.7,27.2,51.0,88.3,39.3,39.7,43.3,20.0,30.535714,22.0,55.7,26.0,30.2,37.7,46.2,33.0,41.9,53.4
2019-01-28 00:21:36,38.6,53.7,64.4,,,,,,,26.5,26.9,40.5,79.6,27.2,51.0,88.3,39.3,39.7,43.3,20.0,30.642857,22.0,55.6,25.9,30.3,37.7,46.2,33.0,41.9,53.4
2019-01-28 00:28:48,38.6,53.7,64.4,,,,,,,26.5,26.9,40.5,79.6,27.2,51.0,88.3,39.3,39.7,43.3,20.0,30.642857,22.0,55.6,25.9,30.3,37.7,46.2,33.0,41.9,53.4
2019-01-28 00:36:00,38.6,53.6,64.4,,,,,,,26.5,26.9,40.4,79.6,27.2,50.9,88.2,39.3,39.7,43.3,20.037037,30.111111,21.962963,55.6,25.9,30.3,37.7,46.2,33.0,41.9,53.4
2019-01-28 00:43:12,38.6,53.6,64.4,,,,,,,26.5,26.9,40.4,79.6,27.2,50.9,88.2,39.3,39.7,43.3,20.037037,30.111111,21.962963,55.6,25.9,30.3,37.7,46.2,33.0,41.9,53.4
2019-01-28 00:50:24,38.8,53.6,64.4,,,,,,,26.5,26.9,40.3,79.5,27.2,50.9,88.2,39.3,39.7,43.3,20.0,30.142857,21.964286,55.6,25.9,30.3,37.7,46.2,33.0,41.9,53.4
2019-01-28 00:57:36,38.8,53.6,64.4,,,,,,,26.5,26.9,40.3,79.5,27.2,50.9,88.2,39.3,39.7,43.3,20.0,30.142857,21.964286,55.6,25.9,30.3,37.7,46.2,33.0,41.9,53.4
2019-01-28 01:04:48,38.8,53.6,64.4,,,,,,,26.5,26.9,40.4,79.4,27.2,50.9,88.2,39.3,39.7,43.3,20.035714,30.464286,21.964286,55.6,25.9,30.3,37.7,46.2,33.0,41.9,53.4
2019-01-28 01:12:00,38.8,53.6,64.4,,,,,,,26.5,26.9,40.4,79.4,27.2,50.9,88.2,39.3,39.7,43.3,20.035714,30.464286,21.964286,55.6,25.9,30.3,37.7,46.2,33.0,41.9,53.4
2019-01-28 01:19:12,38.7,53.6,64.4,,,,,,,26.5,26.9,40.4,79.4,27.2,50.8,88.3,39.3,39.7,43.3,20.071429,30.178571,21.821429,55.6,25.9,30.3,37.7,46.1,32.9,41.9,53.3
2019-01-28 01:26:24,38.7,53.6,64.4,,,,,,,26.5,26.9,40.4,79.4,27.2,50.8,88.3,39.3,39.7,43.3,20.071429,30.178571,21.821429,55.6,25.9,30.3,37.7,46.1,32.9,41.9,53.3
2019-01-28 01:33:36,38.7,53.7,64.4,,,,,,,26.5,26.9,40.4,79.4,27.2,50.8,88.3,39.3,39.7,43.3,20.0,30.0,21.785714,55.6,25.9,30.2,37.7,46.1,32.9,41.9,53.3
2019-01-28 01:40:48,38.7,53.7,64.4,,,,,,,26.5,26.9,40.4,79.4,27.2,50.8,88.3,39.3,39.7,43.3,20.0,30.0,21.785714,55.6,25.9,30.2,37.7,46.1,32.9,41.9,53.3
2019-01-28 01:48:00,38.6,53.7,64.5,,,,,,,26.5,26.9,40.5,79.3,27.2,50.7,88.4,39.3,39.7,43.3,20.0,30.592593,21.888889,55.6,25.9,30.1,37.7,46.1,32.9,41.9,53.3
2019-01-28 01:55:12,38.6,53.7,64.5,,,,,,,26.5,26.9,40.5,79.3,27.2,50.7,88.4,39.3,39.7,43.3,20.0,30.592593,21.888889,55.6,25.9,30.1,37.7,46.1,32.9,41.9,53.3
2019-01-28 02:02:24,38.6,53.7,64.5,,,,,,,26.5,26.9,40.5,79.3,27.1,50.7,88.4,39.3,39.7,43.3,20.071429,30.285714,22.035714,55.6,25.9,30.2,37.7,46.1,32.9,41.9,53.3
2019-01-28 02:09:36,38.6,53.7,64.5,,,,,,,26.5,26.9,40.5,79.3,27.1,50.7,88.4,39.3,39.7,43.3,20.071429,30.285714,22.035714,55.6,25.9,30.2,37.7,46.1,32.9,41.9,53.3
2019-01-28 02:16:48,38.6,53.7,64.5,,,,,,,26.5,26.9,40.5,79.3,27.1,50.7,88.4,39.3,39.6,43.3,20.0,30.037037,22.0,55.6,25.9,30.2,37.7,46.1,32.9,41.9,53.3
