,10_APAR_32.3,14_APAR_33.4,18_APAR_34.5,2_APAR_30.1,6_APAR_31.2,648_FIF_11.11
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-27 23:45:36,8.7,1.7,-2.5,10.9,10.3,15.0
2019-01-27 23:52:48,8.7,1.7,-2.5,10.9,10.3,15.0
2019-01-28 00:00:00,8.7,1.7,-2.5,10.9,10.3,15.0
2019-01-28 00:07:12,8.7,1.7,-2.6,11.0,10.3,15.0
2019-01-28 00:14:24,8.7,1.7,-2.6,11.0,10.3,15.0
2019-01-28 00:21:36,8.7,1.7,-2.6,11.0,10.4,14.9
2019-01-28 00:28:48,8.7,1.7,-2.6,11.0,10.4,14.9
2019-01-28 00:36:00,8.7,1.7,-2.6,11.0,10.3,14.7
2019-01-28 00:43:12,8.7,1.7,-2.6,11.0,10.3,14.7
2019-01-28 00:50:24,8.7,1.8,-2.6,10.9,10.3,14.6
2019-01-28 00:57:36,8.7,1.8,-2.6,10.9,10.3,14.6
2019-01-28 01:04:48,8.8,1.8,-2.7,10.8,10.3,14.6
2019-01-28 01:12:00,8.8,1.8,-2.7,10.8,10.3,14.6
2019-01-28 01:19:12,8.8,1.8,-2.7,10.9,10.3,14.7
2019-01-28 01:26:24,8.8,1.8,-2.7,10.9,10.3,14.7
2019-01-28 01:33:36,8.8,1.8,-2.7,10.9,10.3,14.8
2019-01-28 01:40:48,8.8,1.8,-2.7,10.9,10.3,14.8
2019-01-28 01:48:00,8.8,1.8,-2.7,10.9,10.3,14.9
2019-01-28 01:55:12,8.8,1.8,-2.7,10.9,10.3,14.9
2019-01-28 02:02:24,8.8,1.8,-2.7,11.0,10.4,14.9
2019-01-28 02:09:36,8.8,1.8,-2.7,11.0,10.4,14.9
2019-01-28 02:16:48,8.8,1.8,-2.7,11.0,10.4,14.8
2019-01-28 02:24:00,8.8,1.8,-2.7,11.0,10.4,14.8
2019-01-28 02:31:12,8.8,1.8,-2.7,11.0,10.4,14.8
2019-01-28 02:38:24,8.8,1.8,-2.7,11.0,10.4,14.8
2019-01-28 02:45:36,8.8,1.8,-2.6,11.0,10.4,14.8
2019-01-28 02:52:48,8.8,1.8,-2.6,11.0,10.4,14.8
2019-01-28 03:00:00,8.8,1.8,-2.6,11.0,10.4,14.8
2019-01-28 03:07:12,8.8,1.8,-2.6,11.0,10.4,14.9
2019-01-28 03:14:24,8.8,1.8,-2.6,11.0,10.4,14.9
2019-01-28 03:21:36,8.9,1.8,-2.5,11.1,10.4,14.8
2019-01-28 03:28:48,8.9,1.8,-2.5,11.1,10.4,14.8
2019-01-28 03:36:00,8.9,1.8,-2.5,11.1,10.4,14.8
2019-01-28 03:43:12,8.9,1.8,-2.5,11.1,10.4,14.8
2019-01-28 03:50:24,8.9,1.9,-2.5,11.0,10.4,14.7
2019-01-28 03:57:36,8.9,1.9,-2.5,11.0,10.4,14.7
2019-01-28 04:04:48,8.9,1.9,-2.4,11.0,10.4,14.8
2019-01-28 04:12:00,8.9,1.9,-2.4,11.0,10.4,14.8
2019-01-28 04:19:12,8.9,1.9,-2.4,11.0,10.4,14.8
2019-01-28 04:26:24,8.9,1.9,-2.4,11.0,10.4,14.8
2019-01-28 04:33:36,8.9,1.9,-2.4,11.1,10.5,14.9
2019-01-28 04:40:48,8.9,1.9,-2.4,11.1,10.5,14.9
2019-01-28 04:48:00,8.9,1.9,-2.4,11.1,10.5,14.9
2019-01-28 04:55:12,8.9,1.9,-2.4,11.1,10.5,14.9
2019-01-28 05:02:24,8.9,1.9,-2.4,11.1,10.5,14.9
2019-01-28 05:09:36,8.9,1.9,-2.4,11.1,10.5,14.9
