,252_APAR_314.14,256_APAR_315.15,260_APAR_316.16,264_APAR_317.17,268_APAR_318.18,272_APAR_319.19,276_APAR_320.20,280_APAR_321.21,284_APAR_322.22,288_APAR_323.23,292_APAR_324.24,296_APAR_325.25,300_APAR_326.26,666_FIF_304.4,668_FIF_305.5,670_FIF_306.6,672_FIF_310.10,674_FIF_311.11,676_FIF_312.12,678_FIF_313.13
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-27 23:45:36,22.6,23.4,23.9,39.4,84.9,35.2,37.4,40.2,51.4,24.8,25.4,31.2,38.2,24.5,20.0,24.142857,,,50.107143,18.0
2019-01-27 23:52:48,22.6,23.4,23.9,39.4,84.9,35.2,37.4,40.2,51.4,24.8,25.4,31.2,38.1,24.571429,20.0,24.642857,,,49.142857,18.0
2019-01-28 00:00:00,22.6,23.4,23.9,39.4,84.9,35.2,37.4,40.2,51.4,24.8,25.4,31.2,38.1,24.571429,20.0,24.642857,,,49.142857,18.0
2019-01-28 00:07:12,22.6,23.4,23.9,39.4,84.8,35.2,37.4,40.2,51.4,24.8,25.4,31.2,38.1,24.607143,20.0,24.428571,,,50.142857,18.0
2019-01-28 00:14:24,22.6,23.4,23.9,39.4,84.8,35.2,37.4,40.2,51.4,24.8,25.4,31.2,38.1,24.607143,20.0,24.428571,,,50.142857,18.0
2019-01-28 00:21:36,22.6,23.4,23.9,39.4,84.8,35.2,37.4,40.2,51.4,24.8,25.5,31.2,38.1,24.357143,20.0,24.428571,,,50.857143,18.0
2019-01-28 00:28:48,22.6,23.4,23.9,39.4,84.8,35.2,37.4,40.2,51.4,24.8,25.5,31.2,38.1,24.357143,20.0,24.428571,,,50.857143,18.0
2019-01-28 00:36:00,22.6,23.4,23.9,39.4,84.7,35.2,37.4,40.2,51.4,24.9,25.5,31.2,38.1,24.185185,20.0,24.481481,,,52.074074,18.0
2019-01-28 00:43:12,22.6,23.4,23.9,39.4,84.7,35.2,37.4,40.2,51.4,24.9,25.5,31.2,38.1,24.185185,20.0,24.481481,,,52.074074,18.0
2019-01-28 00:50:24,22.6,23.4,23.9,39.4,84.7,35.2,37.4,40.2,51.4,24.9,25.5,31.2,38.1,24.214286,20.0,24.392857,,,54.821429,17.964286
2019-01-28 00:57:36,22.6,23.4,23.9,39.4,84.7,35.2,37.4,40.2,51.4,24.9,25.5,31.2,38.1,24.214286,20.0,24.392857,,,54.821429,17.964286
