('0 RG', 'Temperatura') {'x': 1546828477000, '648': 'NaN', 'APAR_30.1': '10.0', 'APAR_31.2': '9.6', 'APAR_32.3': '8.1', 'APAR_33.4': '0.5', 'APAR_34.5': '6547.2'}
('0 RG', 'Temperatura') {'x': 1546828693000, '648': 'NaN', 'APAR_30.1': '10.0', 'APAR_31.2': '9.5', 'APAR_32.3': '8.1', 'APAR_33.4': '0.5', 'APAR_34.5': '6547.1'}
('0 RG', 'Temperatura') {'x': 1546828909000, '648': 'NaN', 'APAR_30.1': '10.0', 'APAR_31.2': '9.5', 'APAR_32.3': '8.1', 'APAR_33.4': '0.5', 'APAR_34.5': '6547.1'}
('0 RG', 'Temperatura') {'x': 1546829125000, '648': 'NaN', 'APAR_30.1': '9.9', 'APAR_31.2': '9.5', 'APAR_32.3': '8.0', 'APAR_33.4': '0.4', 'APAR_34.5': '6547.1'}
('0 RG', 'Temperatura') {'x': 1546829341000, '648': 'NaN', 'APAR_30.1': '9.9', 'APAR_31.2': '9.5', 'APAR_32.3': '8.0', 'APAR_33.4': '0.4', 'APAR_34.5': '6547.1'}
('0 RG', 'Temperatura') {'x': 1546829557000, '648': 'NaN', 'APAR_30.1': '9.9', 'APAR_31.2': '9.5', 'APAR_32.3': '8.0', 'APAR_33.4': '0.4', 'APAR_34.5': '6547.0'}
('0 RG', 'Temperatura') {'x': 1546829773000, '648': 'NaN', 'APAR_30.1': '9.9', 'APAR_31.2': '9.5', 'APAR_32.3': '8.0', 'APAR_33.4': '0.4', 'APAR_34.5': '6547.0'}
('0 RG', 'Temperatura') {'x': 1546829989000, '648': 'NaN', 'APAR_30.1': '9.9', 'APAR_31.2': '9.5', 'APAR_32.3': '8.0', 'APAR_33.4': '0.4', 'APAR_34.5': '6547.0'}
('0 RG', 'Temperatura') {'x': 1546830205000, '648': 'NaN', 'APAR_30.1': '9.9', 'APAR_31.2': '9.4', 'APAR_32.3': '8.0', 'APAR_33.4': '0.4', 'APAR_34.5': '6546.9'}
('0 RG', 'Temperatura') {'x': 1546830421000, '648': 'NaN', 'APAR_30.1': '9.9', 'APAR_31.2': '9.4', 'APAR_32.3': '8.0', 'APAR_33.4': '0.3', 'APAR_34.5': '6546.9'}
('0 RG', 'Temperatura') {'x': 1546830637000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.4', 'APAR_32.3': '8.0', 'APAR_33.4': '0.3', 'APAR_34.5': '6546.9'}
('0 RG', 'Temperatura') {'x': 1546830853000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.4', 'APAR_32.3': '8.0', 'APAR_33.4': '0.3', 'APAR_34.5': '6546.9'}
('0 RG', 'Temperatura') {'x': 1546831069000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.4', 'APAR_32.3': '7.9', 'APAR_33.4': '0.3', 'APAR_34.5': '6546.8'}
('0 RG', 'Temperatura') {'x': 1546831285000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.4', 'APAR_32.3': '7.9', 'APAR_33.4': '0.3', 'APAR_34.5': '6546.8'}
('0 RG', 'Temperatura') {'x': 1546831501000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.4', 'APAR_32.3': '7.9', 'APAR_33.4': '0.3', 'APAR_34.5': '6546.8'}
('0 RG', 'Temperatura') {'x': 1546831717000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.3', 'APAR_32.3': '7.9', 'APAR_33.4': '0.3', 'APAR_34.5': '6546.8'}
('0 RG', 'Temperatura') {'x': 1546831933000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.4', 'APAR_32.3': '7.9', 'APAR_33.4': '0.2', 'APAR_34.5': '6546.7'}
('0 RG', 'Temperatura') {'x': 1546832149000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.3', 'APAR_32.3': '7.9', 'APAR_33.4': '0.2', 'APAR_34.5': '6546.7'}
('0 RG', 'Temperatura') {'x': 1546832365000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.3', 'APAR_32.3': '7.9', 'APAR_33.4': '0.2', 'APAR_34.5': '6546.7'}
('0 RG', 'Temperatura') {'x': 1546832581000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.3', 'APAR_32.3': '7.8', 'APAR_33.4': '0.2', 'APAR_34.5': '6546.6'}
('0 RG', 'Temperatura') {'x': 1546832797000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.3', 'APAR_32.3': '7.8', 'APAR_33.4': '0.2', 'APAR_34.5': '6546.6'}
('0 RG', 'Temperatura') {'x': 1546833013000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.3', 'APAR_32.3': '7.8', 'APAR_33.4': '0.1', 'APAR_34.5': '6546.5'}
('0 RG', 'Temperatura') {'x': 1546833229000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.3', 'APAR_32.3': '7.8', 'APAR_33.4': '0.1', 'APAR_34.5': '6546.5'}
('0 RG', 'Temperatura') {'x': 1546833445000, '648': 'NaN', 'APAR_30.1': '9.8', 'APAR_31.2': '9.3', 'APAR_32.3': '7.8', 'APAR_33.4': '0.1', 'APAR_34.5': '6546.5'}
('0 RG', 'Temperatura') {'x': 1546833661000, '648': 'NaN', 'APAR_30.1': '9.7', 'APAR_31.2': '9.3', 'APAR_32.3': '7.8', 'APAR_33.4': '0.1', 'APAR_34.5': '6546.4'}
