x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-12--23:52:48,NaN,12.2,11.7,10.2,3.9,0.4
2019-01-12--23:56:24,NaN,12.3,11.7,10.3,3.9,0.4
2019-01-13--00:00:00,NaN,12.3,11.7,10.3,3.9,0.4
2019-01-13--00:03:36,NaN,12.3,11.7,10.3,4.0,0.4
2019-01-13--00:07:12,NaN,12.3,11.7,10.3,4.0,0.4
2019-01-13--00:10:48,NaN,12.3,11.7,10.3,4.0,0.4
2019-01-13--00:14:24,NaN,12.3,11.7,10.3,4.0,0.4
2019-01-13--00:18:00,NaN,12.3,11.8,10.3,4.0,0.5
2019-01-13--00:21:36,NaN,12.3,11.8,10.3,4.0,0.5
2019-01-13--00:25:12,NaN,12.3,11.8,10.3,4.0,0.5
2019-01-13--00:28:48,NaN,12.3,11.8,10.3,4.0,0.5
2019-01-13--00:32:24,NaN,12.3,11.8,10.3,4.0,0.5
2019-01-13--00:36:00,NaN,12.3,11.8,10.3,4.0,0.5
2019-01-13--00:39:36,NaN,12.3,11.8,10.3,4.0,0.5
2019-01-13--00:43:12,NaN,12.3,11.8,10.3,4.0,0.5
2019-01-13--00:46:48,NaN,12.3,11.8,10.4,4.0,0.5
2019-01-13--00:50:24,NaN,12.3,11.8,10.4,4.0,0.5
2019-01-13--00:54:00,NaN,12.3,11.8,10.4,4.0,0.5
2019-01-13--00:57:36,NaN,12.3,11.8,10.4,4.0,0.5
2019-01-13--01:01:12,NaN,12.3,11.8,10.4,4.1,0.6
2019-01-13--01:04:48,NaN,12.3,11.8,10.4,4.1,0.6
2019-01-13--01:08:24,NaN,12.3,11.8,10.4,4.1,0.6
2019-01-13--01:12:00,NaN,12.3,11.8,10.4,4.1,0.6
2019-01-13--01:15:36,NaN,12.4,11.8,10.4,4.1,0.6
2019-01-13--01:19:12,NaN,12.4,11.8,10.4,4.1,0.6
2019-01-13--01:22:48,NaN,12.4,11.8,10.4,4.1,0.6
2019-01-13--01:26:24,NaN,12.4,11.8,10.4,4.1,0.6
2019-01-13--01:30:00,NaN,12.4,11.8,10.4,4.1,0.6
2019-01-13--01:33:36,NaN,12.4,11.9,10.4,4.1,0.7
2019-01-13--01:37:12,NaN,12.4,11.9,10.4,4.1,0.7
2019-01-13--01:40:48,NaN,12.4,11.9,10.4,4.1,0.7
2019-01-13--01:44:24,NaN,12.4,11.9,10.4,4.1,0.7
2019-01-13--01:48:00,NaN,12.4,11.9,10.5,4.2,0.7
2019-01-13--01:51:36,NaN,12.4,11.9,10.5,4.2,0.7
2019-01-13--01:55:12,NaN,12.4,11.9,10.5,4.2,0.7
2019-01-13--01:58:48,NaN,12.4,11.9,10.5,4.2,0.7
2019-01-13--02:02:24,NaN,12.5,11.9,10.5,4.2,0.8
2019-01-13--02:06:00,NaN,12.5,11.9,10.5,4.2,0.8
2019-01-13--02:09:36,NaN,12.5,11.9,10.5,4.2,0.8
2019-01-13--02:13:12,NaN,12.5,11.9,10.5,4.2,0.8
2019-01-13--02:16:48,NaN,12.5,12.0,10.5,4.2,0.8
2019-01-13--02:20:24,NaN,12.5,12.0,10.5,4.2,0.8
2019-01-13--02:24:00,NaN,12.5,12.0,10.5,4.2,0.8
2019-01-13--02:27:36,NaN,12.5,12.0,10.5,4.2,0.8
2019-01-13--02:31:12,NaN,12.5,12.0,10.6,4.2,0.9
2019-01-13--02:34:48,NaN,12.5,12.0,10.6,4.2,0.9
2019-01-13--02:38:24,NaN,12.5,12.0,10.6,4.2,0.9
2019-01-13--02:42:00,NaN,12.5,12.0,10.6,4.2,0.9
2019-01-13--02:45:36,NaN,12.6,12.0,10.6,4.2,0.9
2019-01-13--02:49:12,NaN,12.6,12.0,10.6,4.2,0.9
2019-01-13--02:52:48,NaN,12.6,12.0,10.6,4.2,0.9
2019-01-13--02:56:24,NaN,12.6,12.0,10.6,4.2,0.9
2019-01-13--03:00:00,NaN,12.6,12.0,10.6,4.2,0.9
2019-01-13--03:03:36,NaN,12.6,12.0,10.6,4.3,1.0
2019-01-13--03:07:12,NaN,12.6,12.0,10.6,4.3,1.0
2019-01-13--03:10:48,NaN,12.6,12.0,10.6,4.3,1.0
2019-01-13--03:14:24,NaN,12.6,12.0,10.6,4.3,1.0
2019-01-13--03:18:00,NaN,12.6,12.0,10.6,4.3,1.0
2019-01-13--03:21:36,NaN,12.6,12.0,10.6,4.3,1.0
2019-01-13--03:25:12,NaN,12.6,12.0,10.6,4.3,1.0
2019-01-13--03:28:48,NaN,12.6,12.0,10.6,4.3,1.0
2019-01-13--03:32:24,NaN,12.6,12.1,10.7,4.3,1.0
2019-01-13--03:36:00,NaN,12.6,12.1,10.7,4.3,1.0
2019-01-13--03:39:36,NaN,12.6,12.1,10.7,4.3,1.0
2019-01-13--03:43:12,NaN,12.6,12.1,10.7,4.3,1.0
2019-01-13--03:46:48,NaN,12.7,12.1,10.7,4.4,1.0
2019-01-13--03:50:24,NaN,12.7,12.1,10.7,4.4,1.0
2019-01-13--03:54:00,NaN,12.7,12.1,10.7,4.4,1.0
2019-01-13--03:57:36,NaN,12.7,12.1,10.7,4.4,1.0
2019-01-13--04:01:12,NaN,12.7,12.1,10.7,4.4,1.0
2019-01-13--04:04:48,NaN,12.7,12.1,10.7,4.4,1.0
2019-01-13--04:08:24,NaN,12.7,12.1,10.7,4.4,1.0
2019-01-13--04:12:00,NaN,12.7,12.1,10.7,4.4,1.0
2019-01-13--04:15:36,NaN,12.7,12.1,10.7,4.5,1.1
2019-01-13--04:19:12,NaN,12.7,12.1,10.7,4.5,1.1
2019-01-13--04:22:48,NaN,12.7,12.1,10.7,4.5,1.1
2019-01-13--04:26:24,NaN,12.7,12.1,10.7,4.5,1.1
2019-01-13--04:30:00,NaN,12.7,12.1,10.7,4.5,1.1
2019-01-13--04:33:36,NaN,12.7,12.1,10.8,4.5,1.1
2019-01-13--04:37:12,NaN,12.7,12.1,10.8,4.5,1.1
2019-01-13--04:40:48,NaN,12.7,12.1,10.8,4.5,1.1
2019-01-13--04:44:24,NaN,12.7,12.1,10.8,4.5,1.1
2019-01-13--04:48:00,NaN,12.6,12.1,10.8,4.5,1.1
2019-01-13--04:51:36,NaN,12.6,12.1,10.8,4.5,1.1
2019-01-13--04:55:12,NaN,12.6,12.1,10.8,4.5,1.1
2019-01-13--04:58:48,NaN,12.6,12.1,10.8,4.5,1.1
2019-01-13--05:02:24,NaN,12.6,12.1,10.8,4.5,1.1
2019-01-13--05:06:00,NaN,12.6,12.1,10.8,4.5,1.1
2019-01-13--05:09:36,NaN,12.6,12.1,10.8,4.5,1.1
2019-01-13--05:13:12,NaN,12.6,12.1,10.8,4.5,1.1
2019-01-13--05:16:48,NaN,12.6,12.1,10.8,4.6,1.2
2019-01-13--05:20:24,NaN,12.6,12.1,10.8,4.6,1.2
2019-01-13--05:24:00,NaN,12.6,12.1,10.8,4.6,1.2
2019-01-13--05:27:36,NaN,12.6,12.1,10.8,4.6,1.2
2019-01-13--05:31:12,NaN,12.7,12.2,10.8,4.6,1.2
2019-01-13--05:34:48,NaN,12.7,12.2,10.8,4.6,1.2
2019-01-13--05:38:24,NaN,12.7,12.2,10.8,4.6,1.2
2019-01-13--05:42:00,NaN,12.7,12.2,10.8,4.6,1.2
2019-01-13--05:45:36,NaN,12.7,12.2,10.8,4.6,1.2
2019-01-13--05:49:12,NaN,12.7,12.2,10.8,4.6,1.2
2019-01-13--05:52:48,NaN,12.7,12.2,10.8,4.6,1.2
2019-01-13--05:56:24,NaN,12.7,12.2,10.8,4.6,1.2
2019-01-13--06:00:00,NaN,12.7,12.2,10.8,4.6,1.2
2019-01-13--06:03:36,NaN,12.7,12.2,10.9,4.7,1.2
2019-01-13--06:07:12,NaN,12.7,12.2,10.9,4.7,1.2
2019-01-13--06:10:48,NaN,12.7,12.2,10.9,4.7,1.2
2019-01-13--06:14:24,NaN,12.7,12.2,10.9,4.7,1.2
2019-01-13--06:18:00,NaN,12.8,12.2,10.9,4.7,1.2
2019-01-13--06:21:36,NaN,12.8,12.2,10.9,4.7,1.2
2019-01-13--06:25:12,NaN,12.8,12.2,10.9,4.7,1.2
2019-01-13--06:28:48,NaN,12.8,12.2,10.9,4.7,1.2
2019-01-13--06:32:24,NaN,12.8,12.3,10.9,4.7,1.3
2019-01-13--06:36:00,NaN,12.8,12.3,10.9,4.7,1.3
2019-01-13--06:39:36,NaN,12.8,12.3,10.9,4.7,1.3
2019-01-13--06:43:12,NaN,12.8,12.3,10.9,4.7,1.3
2019-01-13--06:46:48,NaN,12.8,12.3,10.9,4.7,1.3
2019-01-13--06:50:24,NaN,12.8,12.3,10.9,4.7,1.3
