1547126651 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-9.0', '2.0', '-11.4']
1547126832 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.0', '2.5', '-8.3', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-9.0', '2.0', '-11.4']
1547126843 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-9.0', '2.0', '-11.4']
1547126936 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.0', '2.5', '-8.3', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-9.0', '2.0', '-11.4']
1547128559 , ['34.6', '8.3', '2.9', '-6.4', '36.1', '7.7', '2.9', '-6.4', '34.8', '6.0', '2.5', '-8.4', '57.7', '-2.4', '2.3', '-9.5', '82.1', '-9.0', '2.0', '-11.4']
1547128600 , ['34.6', '8.3', '2.9', '-6.4', '36.1', '7.7', '2.9', '-6.4', '34.8', '6.0', '2.5', '-8.4', '57.7', '-2.4', '2.3', '-9.6', '82.1', '-9.0', '2.0', '-11.4']
1547128685 , ['34.6', '8.3', '2.9', '-6.4', '36.1', '7.7', '2.9', '-6.4', '34.8', '6.0', '2.5', '-8.4', '57.7', '-2.4', '2.3', '-9.6', '82.1', '-9.0', '2.0', '-11.4']
1547128720 , ['34.6', '8.3', '2.9', '-6.4', '36.1', '7.7', '2.9', '-6.4', '34.8', '6.0', '2.5', '-8.4', '57.7', '-2.4', '2.3', '-9.6', '82.1', '-9.0', '2.0', '-11.4']
1547128766 , ['34.6', '8.3', '2.9', '-6.4', '36.1', '7.7', '2.9', '-6.4', '34.8', '6.0', '2.5', '-8.4', '57.7', '-2.4', '2.3', '-9.6', '82.1', '-9.0', '2.0', '-11.4']
1547128791 , ['34.6', '8.3', '2.9', '-6.4', '36.1', '7.7', '2.9', '-6.4', '34.8', '6.0', '2.5', '-8.4', '57.8', '-2.4', '2.3', '-9.5', '82.1', '-9.0', '2.0', '-11.4']
1547128836 , ['34.6', '8.3', '2.9', '-6.4', '36.1', '7.7', '2.9', '-6.4', '34.8', '6.0', '2.5', '-8.4', '57.7', '-2.4', '2.3', '-9.6', '82.1', '-9.0', '2.0', '-11.4']
1547128946 , ['34.6', '8.3', '2.9', '-6.4', '36.1', '7.7', '2.9', '-6.4', '34.8', '6.0', '2.5', '-8.4', '57.7', '-2.4', '2.3', '-9.6', '82.1', '-9.0', '2.0', '-11.4']
1547187237 , ['33.6', '7.3', '2.6', '-7.7', '35.2', '6.5', '2.6', '-7.8', '34.0', '4.6', '2.2', '-9.9', '57.4', '-3.7', '2.1', '-10.9', '81.7', '-9.6', '1.9', '-12.1']
1547187380 , ['33.6', '7.2', '2.6', '-7.7', '35.2', '6.5', '2.6', '-7.8', '34.0', '4.6', '2.2', '-9.9', '57.4', '-3.7', '2.1', '-10.9', '81.7', '-9.6', '1.9', '-12.1']
1547187973 , ['33.6', '7.3', '2.6', '-7.7', '35.2', '6.5', '2.6', '-7.8', '34.0', '4.6', '2.2', '-9.9', '57.4', '-3.7', '2.1', '-10.9', '81.7', '-9.6', '1.9', '-12.1']
1547188339 , ['33.6', '7.3', '2.6', '-7.7', '35.2', '6.5', '2.6', '-7.8', '34.0', '4.6', '2.2', '-9.9', '57.4', '-3.8', '2.1', '-10.9', '81.7', '-9.6', '1.9', '-12.1']
1547188769 , ['33.7', '7.3', '2.6', '-7.6', '35.2', '6.5', '2.6', '-7.8', '34.0', '4.5', '2.2', '-10.0', '57.4', '-3.8', '2.1', '-10.9', '81.7', '-9.6', '1.9', '-12.1']
1547188905 , ['33.6', '7.3', '2.6', '-7.7', '35.2', '6.6', '2.6', '-7.7', '34.0', '4.6', '2.2', '-9.9', '57.4', '-3.8', '2.1', '-10.9', '81.7', '-9.6', '1.9', '-12.1']
1547189018 , ['33.7', '7.3', '2.6', '-7.6', '35.2', '6.5', '2.6', '-7.8', '34.0', '4.5', '2.2', '-10.0', '57.4', '-3.8', '2.1', '-10.9', '81.7', '-9.6', '1.9', '-12.1']
1547190209 , ['33.7', '7.4', '2.6', '-7.5', '35.2', '6.6', '2.6', '-7.7', '34.0', '4.5', '2.2', '-10.0', '57.4', '-3.8', '2.1', '-10.9', '81.7', '-9.6', '1.9', '-12.1']
1547192783 , ['33.7', '7.4', '2.6', '-7.5', '35.2', '6.6', '2.6', '-7.7', '33.9', '4.6', '2.2', '-9.9', '57.4', '-3.8', '2.1', '-10.9', '81.8', '-9.5', '2.0', '-12.0']
1547193910 , ['33.6', '7.5', '2.6', '-7.5', '35.1', '6.6', '2.6', '-7.7', '33.9', '4.5', '2.2', '-10.0', '57.4', '-3.8', '2.1', '-10.9', '81.8', '-9.5', '2.0', '-12.0']
1547285423 , ['34.5', '10.3', '3.2', '-4.7', '36.1', '9.6', '3.3', '-4.7', '37.6', '7.8', '3.0', '-5.7', '61.8', '1.4', '3.3', '-5.1', '84.1', '-1.0', '3.8', '-3.3']
1547286090 , ['34.5', '10.4', '3.3', '-4.6', '36.1', '9.6', '3.3', '-4.7', '37.7', '7.9', '3.1', '-5.6', '61.8', '1.5', '3.3', '-5.0', '84.2', '-1.0', '3.8', '-3.3']
1547286123 , ['34.6', '10.4', '3.3', '-4.5', '36.1', '9.6', '3.3', '-4.7', '37.7', '7.9', '3.1', '-5.6', '61.8', '1.5', '3.3', '-5.0', '84.2', '-1.0', '3.8', '-3.3']
