,252_APAR_314.14,256_APAR_315.15,260_APAR_316.16,264_APAR_317.17,268_APAR_318.18,272_APAR_319.19,276_APAR_320.20,280_APAR_321.21,284_APAR_322.22,288_APAR_323.23,292_APAR_324.24,296_APAR_325.25,300_APAR_326.26,666_FIF_304.4,668_FIF_305.5,670_FIF_306.6,672_FIF_310.10,674_FIF_311.11,676_FIF_312.12,678_FIF_313.13
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-24 23:45:36,22.6,23.4,23.4,39.0,87.3,35.6,37.8,40.6,52.2,22.3,23.1,31.4,40.3,22.0,19.0,19.535714,,,51.892857,14.857143
2019-01-24 23:52:48,22.6,23.4,23.4,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.769231,,,51.269231,14.769231
2019-01-25 00:00:00,22.6,23.4,23.4,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.769231,,,51.269231,14.769231
2019-01-25 00:07:12,22.6,23.4,23.4,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.689655,,,52.413793,14.689655
2019-01-25 00:14:24,22.6,23.4,23.4,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.689655,,,52.413793,14.689655
2019-01-25 00:21:36,22.6,23.4,23.3,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.607143,,,51.178571,14.892857
2019-01-25 00:28:48,22.6,23.4,23.3,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.607143,,,51.178571,14.892857
2019-01-25 00:36:00,22.6,23.4,23.3,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.689655,,,51.068966,14.862069
2019-01-25 00:43:12,22.6,23.4,23.3,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.689655,,,51.068966,14.862069
2019-01-25 00:50:24,22.5,23.3,23.3,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.535714,,,52.357143,14.892857
2019-01-25 00:57:36,22.5,23.3,23.3,39.0,87.3,35.6,37.8,40.5,52.2,22.4,23.2,31.4,40.3,22.0,19.0,19.535714,,,52.357143,14.892857
