,416_APAR_611.11,420_APAR_612.12,424_APAR_613.13,428_APAR_614.14,432_APAR_615.15,436_APAR_616.16,440_APAR_617.17,444_APAR_618.18,448_APAR_619.19,452_APAR_620.20,456_APAR_621.21,460_APAR_622.22,464_APAR_623.23,468_APAR_624.24,472_APAR_625.25,696_FIF_602.2,698_FIF_603.3,700_FIF_604.4,702_FIF_605.5,704_FIF_606.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-24 23:45:36,20.4,20.7,25.6,34.0,46.6,22.8,23.2,31.2,36.7,44.2,18.1,18.6,20.1,44.1,73.5,20.0,23.785714,21.035714,25.0,18.0
2019-01-24 23:52:48,20.5,20.8,25.6,34.0,46.6,22.8,23.2,31.1,36.7,44.2,18.1,18.6,20.1,44.2,73.4,20.0,23.0,21.0,25.0,18.0
2019-01-25 00:00:00,20.5,20.8,25.6,34.0,46.6,22.8,23.2,31.1,36.7,44.2,18.1,18.6,20.1,44.2,73.4,20.0,23.0,21.0,25.0,18.0
2019-01-25 00:07:12,20.5,20.8,25.6,34.0,46.5,22.8,23.2,31.1,36.7,44.2,18.1,18.7,20.1,44.1,73.4,20.0,23.103448,21.034483,25.0,18.0
2019-01-25 00:14:24,20.5,20.8,25.6,34.0,46.5,22.8,23.2,31.1,36.7,44.2,18.1,18.7,20.1,44.1,73.4,20.0,23.103448,21.034483,25.0,18.0
2019-01-25 00:21:36,20.5,20.8,25.6,34.0,46.5,22.8,23.2,31.1,36.7,44.2,18.1,18.7,20.1,44.1,73.4,20.0,23.571429,21.0,25.0,18.0
2019-01-25 00:28:48,20.5,20.8,25.6,34.0,46.5,22.8,23.2,31.1,36.7,44.2,18.1,18.7,20.1,44.1,73.4,20.0,23.571429,21.0,25.0,18.0
2019-01-25 00:36:00,20.5,20.8,25.6,34.0,46.5,22.8,23.2,31.1,36.7,44.2,18.2,18.7,20.1,44.2,73.3,20.0,23.034483,21.0,25.0,18.0
2019-01-25 00:43:12,20.5,20.8,25.6,34.0,46.5,22.8,23.2,31.1,36.7,44.2,18.2,18.7,20.1,44.2,73.3,20.0,23.034483,21.0,25.0,18.0
2019-01-25 00:50:24,20.5,20.8,25.6,34.0,46.5,22.8,23.2,31.1,36.6,44.1,18.1,18.6,20.1,44.2,73.3,20.0,23.0,21.035714,25.0,18.035714
