,2202_LE03_02.2,2269_LE03_03.3,2336_LE03_04.4,2403_LE03_05.5,2470_LE03_06.6,2537_LE03_07.7,2604_LE03_08.8,2671_LE03_09.9,3851_LE01_26.10,4037_LE03_27.26,4405_LE03_SUM
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,
2019-01-24 23:45:36,,,,,,,,,,,6087.7
2019-01-24 23:52:48,,,821.1,,102.5,,357.4,2221.6,,81.7,3584.4
2019-01-25 00:00:00,,,1101.8,,141.3,,409.6,2451.9,,81.8,4186.3
2019-01-25 00:07:12,,,848.7,,151.2,,403.1,3943.4,,81.5,5427.9
2019-01-25 00:14:24,,,848.7,,151.2,,403.1,3943.4,,81.5,5427.9
2019-01-25 00:21:36,,,1127.3,,120.6,,325.0,4039.5,,81.6,5694.0
2019-01-25 00:28:48,,,1127.3,,120.6,,325.0,4039.5,,81.6,5694.0
2019-01-25 00:36:00,,,852.4,,117.9,,404.4,3198.0,,81.7,4654.4
2019-01-25 00:43:12,,,852.4,,117.9,,404.4,3198.0,,81.7,4654.4
2019-01-25 00:50:24,,,1148.8,,121.0,,411.5,4242.5,,81.7,6005.4
2019-01-25 00:57:36,,,1148.8,,121.0,,411.5,4242.5,,81.7,6005.4
2019-01-25 01:04:48,,,845.0,,83.3,,495.0,4508.3,,81.8,6013.3
2019-01-25 01:12:00,,,845.0,,83.3,,495.0,4508.3,,81.8,6013.3
2019-01-25 01:19:12,,,1146.3,,102.4,,393.3,1843.4,,81.6,3567.1
2019-01-25 01:26:24,,,1146.3,,102.4,,393.3,1843.4,,81.6,3567.1
2019-01-25 01:33:36,,,893.0,,141.3,,353.9,3153.8,,81.6,4623.7
2019-01-25 01:40:48,,,893.0,,141.3,,353.9,3153.8,,81.6,4623.7
2019-01-25 01:48:00,,,1186.8,,139.6,,354.8,4203.2,,81.6,5966.0
2019-01-25 01:55:12,,,1186.8,,139.6,,354.8,4203.2,,81.6,5966.0
2019-01-25 02:02:24,,,922.7,,64.3,,476.0,3339.5,,81.5,4883.9
2019-01-25 02:09:36,,,922.7,,64.3,,476.0,3339.5,,81.5,4883.9
2019-01-25 02:16:48,,,1122.4,,99.9,,347.5,1848.9,,81.6,3500.2
2019-01-25 02:24:00,,,1122.4,,99.9,,347.5,1848.9,,81.6,3500.2
2019-01-25 02:31:12,,,1005.3,,105.1,,369.1,3497.7,,81.6,5058.8
2019-01-25 02:38:24,,,1005.3,,105.1,,369.1,3497.7,,81.6,5058.8
2019-01-25 02:45:36,,,1005.3,,105.1,,369.1,3497.7,,81.6,5058.8
2019-01-25 02:52:48,,,1210.3,,105.1,,495.7,4163.8,,81.3,6056.1
2019-01-25 03:00:00,,,1210.3,,105.1,,495.7,4163.8,,81.3,6056.1
2019-01-25 03:07:12,,,918.3,,45.0,,472.0,3401.5,,81.3,4918.1
2019-01-25 03:14:24,,,918.3,,45.0,,472.0,3401.5,,81.3,4918.1
2019-01-25 03:21:36,,,1137.3,,104.4,,496.7,1847.0,,81.1,3666.4
2019-01-25 03:28:48,,,1137.3,,104.4,,496.7,1847.0,,81.1,3666.4
2019-01-25 03:36:00,,,955.2,,81.1,,462.4,3562.2,,81.0,5141.9
2019-01-25 03:43:12,,,955.2,,81.1,,462.4,3562.2,,81.0,5141.9
2019-01-25 03:50:24,,,1049.2,,103.7,,425.0,4082.1,,80.7,5740.8
2019-01-25 03:57:36,,,1049.2,,103.7,,425.0,4082.1,,80.7,5740.8
