,253_APAR_314.14,257_APAR_315.15,261_APAR_316.16,265_APAR_317.17,269_APAR_318.18,273_APAR_319.19,277_APAR_320.20,281_APAR_321.21,285_APAR_322.22,289_APAR_323.23,293_APAR_324.24,297_APAR_325.25,301_APAR_326.26,667_FIF_304.4,669_FIF_305.5,671_FIF_306.6,673_FIF_310.10,675_FIF_311.11,677_FIF_312.12,679_FIF_313.13
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-28 23:45:36,22.9,21.9,20.9,12.4,-0.1,22.2,21.1,20.0,15.9,21.1,20.4,19.2,14.7,23.3,26.6,21.6,,,8.4,27.2
2019-01-28 23:52:48,22.9,21.9,20.9,12.4,-0.1,22.2,21.1,20.0,15.9,21.1,20.4,19.2,14.8,23.3,26.6,21.6,,,9.2,27.3
2019-01-29 00:00:00,22.9,21.9,20.9,12.4,-0.1,22.2,21.1,20.0,15.9,21.1,20.4,19.2,14.8,23.3,26.6,21.6,,,9.2,27.3
2019-01-29 00:07:12,22.9,21.9,21.0,12.4,-0.0,22.2,21.1,20.0,15.9,21.1,20.4,19.2,14.8,23.3,26.6,21.6,,,9.7,27.2
2019-01-29 00:14:24,22.9,21.9,21.0,12.4,-0.0,22.2,21.1,20.0,15.9,21.1,20.4,19.2,14.8,23.3,26.6,21.6,,,9.7,27.2
2019-01-29 00:21:36,22.9,21.9,20.9,12.4,0.0,22.2,21.1,20.0,15.9,21.1,20.5,19.2,14.8,23.3,26.7,21.6,,,9.6,27.3
2019-01-29 00:28:48,22.9,21.9,20.9,12.4,0.0,22.2,21.1,20.0,15.9,21.1,20.5,19.2,14.8,23.3,26.7,21.6,,,9.6,27.3
2019-01-29 00:36:00,23.0,21.9,21.0,12.4,0.0,22.2,21.1,20.0,15.9,21.1,20.5,19.2,14.8,23.3,26.6,21.7,,,9.6,27.3
2019-01-29 00:43:12,23.0,21.9,21.0,12.4,0.0,22.2,21.1,20.0,15.9,21.1,20.5,19.2,14.8,23.3,26.6,21.7,,,9.6,27.3
2019-01-29 00:50:24,22.9,21.9,21.0,12.4,0.1,22.2,21.1,20.0,15.9,21.1,20.5,19.2,14.9,23.3,26.6,21.7,,,9.5,27.2
2019-01-29 00:57:36,22.9,21.9,21.0,12.4,0.1,22.2,21.1,20.0,15.9,21.1,20.5,19.2,14.9,23.3,26.6,21.7,,,9.5,27.2
