,305_APAR_411.11,309_APAR_412.12,313_APAR_413.13,317_APAR_414.14,321_APAR_415.15,325_APAR_416.16,329_APAR_417.17,333_APAR_418.18,337_APAR_419.19,341_APAR_420.20,345_APAR_421.21,349_APAR_422.22,353_APAR_423.23,357_APAR_424.24,361_APAR_425.25,681_FIF_402.2,683_FIF_403.3,685_FIF_404.4,687_FIF_405.5,689_FIF_406.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-28 23:45:36,20.0,19.7,17.9,12.8,9.1,19.4,19.1,17.7,12.8,7.0,19.0,18.6,17.5,7.0,-0.8,20.4,24.5,21.4,21.2,20.0
2019-01-28 23:52:48,20.0,19.7,17.9,12.8,9.1,19.4,19.0,17.7,12.8,7.0,19.0,18.6,17.5,7.0,-0.8,20.4,24.5,21.4,21.2,20.0
2019-01-29 00:00:00,20.0,19.7,17.9,12.8,9.1,19.4,19.0,17.7,12.8,7.0,19.0,18.6,17.5,7.0,-0.8,20.4,24.5,21.4,21.2,20.0
2019-01-29 00:07:12,20.0,19.7,17.9,12.8,9.2,19.4,19.0,17.7,12.8,7.1,19.0,18.6,17.5,7.0,-0.7,20.4,24.5,21.4,21.2,20.0
2019-01-29 00:14:24,20.0,19.7,17.9,12.8,9.2,19.4,19.0,17.7,12.8,7.1,19.0,18.6,17.5,7.0,-0.7,20.4,24.5,21.4,21.2,20.0
2019-01-29 00:21:36,20.0,19.7,17.9,12.8,9.2,19.4,19.0,17.7,12.8,7.1,19.0,18.6,17.5,7.0,-0.7,20.4,24.7,21.4,21.2,20.0
2019-01-29 00:28:48,20.0,19.7,17.9,12.8,9.2,19.4,19.0,17.7,12.8,7.1,19.0,18.6,17.5,7.0,-0.7,20.4,24.7,21.4,21.2,20.0
2019-01-29 00:36:00,20.0,19.7,17.9,12.8,9.2,19.4,19.0,17.7,12.8,7.1,19.0,18.6,17.5,7.0,-0.7,20.4,24.7,21.4,21.2,20.1
2019-01-29 00:43:12,20.0,19.7,17.9,12.8,9.2,19.4,19.0,17.7,12.8,7.1,19.0,18.6,17.5,7.0,-0.7,20.4,24.7,21.4,21.2,20.1
2019-01-29 00:50:24,20.0,19.7,17.9,12.8,9.2,19.4,19.0,17.7,12.8,7.1,19.0,18.6,17.5,7.0,-0.7,20.4,24.6,21.4,21.2,20.0
