,2242_LE03_02.2,2309_LE03_03.3,2376_LE03_04.4,2443_LE03_05.5,2510_LE03_06.6,2577_LE03_07.7,2644_LE03_08.8,2711_LE03_09.9,3860_LE01_26.10,4077_LE03_27.26,4445_LE03_SUM
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,
2019-01-28 23:45:36,,,1219.5,,,,,,,,1219.5
2019-01-28 23:52:48,,,1219.7,,,,,,,,1219.7
2019-01-29 00:00:00,,,1219.7,,,,,,,,1219.7
2019-01-29 00:07:12,,,1219.9,,,,,,,,1219.9
2019-01-29 00:14:24,,,1219.9,,,,,,,,1219.9
2019-01-29 00:21:36,,,1220.1,,,,,,,,1220.1
2019-01-29 00:28:48,,,1220.1,,,,,,,,1220.1
2019-01-29 00:36:00,,,1220.3,,,,,,,,1220.3
2019-01-29 00:43:12,,,1220.3,,,,,,,,1220.3
2019-01-29 00:50:24,,,1220.5,,,,,,,,1220.5
2019-01-29 00:57:36,,,1220.5,,,,,,,,1220.5
2019-01-29 01:04:48,,,1220.6,,,,,,,,1220.6
2019-01-29 01:12:00,,,1220.6,,,,,,,,1220.6
2019-01-29 01:19:12,,,1220.8,,,,,,,,1220.8
2019-01-29 01:26:24,,,1220.8,,,,,,,,1220.8
2019-01-29 01:33:36,,,1221.0,,,,,,,,1221.0
2019-01-29 01:40:48,,,1221.0,,,,,,,,1221.0
2019-01-29 01:48:00,,,1221.2,,,,,,,,1221.2
2019-01-29 01:55:12,,,1221.2,,,,,,,,1221.2
2019-01-29 02:02:24,,,1221.4,,,,,,,,1221.4
2019-01-29 02:09:36,,,1221.4,,,,,,,,1221.4
2019-01-29 02:16:48,,,1221.5,,,,,,,,1221.5
2019-01-29 02:24:00,,,1221.5,,,,,,,,1221.5
2019-01-29 02:31:12,,,1221.7,,,,,,,,1221.7
2019-01-29 02:38:24,,,1221.7,,,,,,,,1221.7
2019-01-29 02:45:36,,,1221.9,,,,,,,,1221.9
2019-01-29 02:52:48,,,1221.9,,,,,,,,1221.9
2019-01-29 03:00:00,,,1221.9,,,,,,,,1221.9
2019-01-29 03:07:12,,,1222.1,,,,,,,,1222.1
2019-01-29 03:14:24,,,1222.1,,,,,,,,1222.1
2019-01-29 03:21:36,,,1222.3,,,,,,,,1222.3
2019-01-29 03:28:48,,,1222.3,,,,,,,,1222.3
2019-01-29 03:36:00,,,1222.5,,,,,,,,1222.5
2019-01-29 03:43:12,,,1222.5,,,,,,,,1222.5
2019-01-29 03:50:24,,,1222.6,,,,,,,,1222.6
2019-01-29 03:57:36,,,1222.6,,,,,,,,1222.6
2019-01-29 04:04:48,,,1222.8,,,,,,,,1222.8
2019-01-29 04:12:00,,,1222.8,,,,,,,,1222.8
2019-01-29 04:19:12,,,1223.0,,,,,,,,1223.0
2019-01-29 04:26:24,,,1223.0,,,,,,,,1223.0
2019-01-29 04:33:36,,,1223.2,,,,,,,,1223.2
2019-01-29 04:40:48,,,1223.2,,,,,,,,1223.2
2019-01-29 04:48:00,,,1223.4,,,,,,,,1223.4
2019-01-29 04:55:12,,,1223.4,,,,,,,,1223.4
2019-01-29 05:02:24,,,1223.5,,,,,,,,1223.5
2019-01-29 05:09:36,,,1223.5,,,,,,,,1223.5
2019-01-29 05:16:48,,,1223.7,,,,,,,,1223.7
2019-01-29 05:24:00,,,1223.7,,,,,,,,1223.7
2019-01-29 05:31:12,,,1223.9,,,,,,,,1223.9
