,305_APAR_411.11,309_APAR_412.12,313_APAR_413.13,317_APAR_414.14,321_APAR_415.15,325_APAR_416.16,329_APAR_417.17,333_APAR_418.18,337_APAR_419.19,341_APAR_420.20,345_APAR_421.21,349_APAR_422.22,353_APAR_423.23,357_APAR_424.24,361_APAR_425.25,681_FIF_402.2,683_FIF_403.3,685_FIF_404.4,687_FIF_405.5,689_FIF_406.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-16 23:45:36,22.7,22.4,20.7,15.6,12.2,21.1,20.8,19.5,15.0,9.9,20.8,20.4,19.4,10.0,3.8,25.1,28.2,24.6,23.9,26.5
2019-01-16 23:52:48,22.7,22.4,20.7,15.6,12.2,21.1,20.8,19.5,15.0,9.9,20.8,20.4,19.4,10.1,3.8,25.1,28.2,24.5,23.9,26.5
2019-01-17 00:00:00,22.7,22.4,20.7,15.6,12.2,21.1,20.8,19.5,15.0,9.9,20.8,20.4,19.4,10.1,3.8,25.1,28.2,24.5,23.9,26.5
2019-01-17 00:07:12,22.7,22.4,20.7,15.7,12.2,21.1,20.8,19.5,15.0,10.0,20.8,20.4,19.4,10.1,3.9,25.1,28.2,24.5,23.9,26.5
2019-01-17 00:14:24,22.7,22.4,20.7,15.7,12.2,21.1,20.8,19.5,15.0,10.0,20.8,20.4,19.4,10.1,3.9,25.1,28.2,24.5,23.9,26.5
2019-01-17 00:21:36,22.7,22.4,20.7,15.7,12.3,21.1,20.8,19.5,15.0,10.0,20.8,20.4,19.5,10.1,3.9,25.1,28.3,24.5,23.9,26.5
2019-01-17 00:28:48,22.7,22.4,20.7,15.7,12.3,21.1,20.8,19.5,15.0,10.0,20.8,20.4,19.5,10.1,3.9,25.1,28.3,24.5,23.9,26.5
2019-01-17 00:36:00,22.7,22.4,20.7,15.7,12.3,21.1,20.8,19.5,15.0,10.0,20.8,20.4,19.5,10.2,3.9,25.1,28.3,24.5,23.9,26.5
2019-01-17 00:43:12,22.7,22.4,20.7,15.7,12.3,21.1,20.8,19.5,15.0,10.0,20.8,20.4,19.5,10.2,3.9,25.1,28.3,24.5,23.9,26.5
2019-01-17 00:50:24,22.7,22.4,20.7,15.7,12.3,21.1,20.8,19.5,15.1,10.1,20.8,20.4,19.5,10.2,4.0,25.1,28.2,24.5,23.9,26.5
