,10_APAR_32.3,14_APAR_33.4,18_APAR_34.5,2_APAR_30.1,6_APAR_31.2,648_FIF_11.11
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-02-01 23:45:36,12.4,6.1,1.8,14.1,13.7,16.4
2019-02-01 23:52:48,12.4,6.1,1.8,14.1,13.7,16.4
2019-02-02 00:00:00,12.4,6.1,1.8,14.1,13.7,16.4
2019-02-02 00:07:12,12.4,6.1,1.8,14.1,13.7,16.5
2019-02-02 00:14:24,12.4,6.1,1.8,14.1,13.7,16.5
2019-02-02 00:21:36,12.4,6.1,1.8,14.1,13.7,16.4
2019-02-02 00:28:48,12.4,6.1,1.8,14.1,13.7,16.4
2019-02-02 00:36:00,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 00:43:12,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 00:50:24,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 00:57:36,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 01:04:48,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 01:12:00,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 01:19:12,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 01:26:24,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 01:33:36,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 01:40:48,12.5,6.1,1.9,14.1,13.7,16.4
2019-02-02 01:48:00,12.5,6.1,2.0,14.1,13.7,16.5
2019-02-02 01:55:12,12.5,6.1,2.0,14.1,13.7,16.5
2019-02-02 02:02:24,12.5,6.1,2.0,14.2,13.7,16.5
2019-02-02 02:09:36,12.5,6.1,2.0,14.2,13.7,16.5
2019-02-02 02:16:48,12.5,6.1,2.0,14.2,13.7,16.4
2019-02-02 02:24:00,12.5,6.1,2.0,14.2,13.7,16.4
2019-02-02 02:31:12,12.5,6.1,2.0,14.2,13.7,16.4
2019-02-02 02:38:24,12.5,6.1,2.0,14.2,13.7,16.4
2019-02-02 02:45:36,12.5,6.2,2.1,14.2,13.7,16.4
2019-02-02 02:52:48,12.5,6.2,2.1,14.2,13.7,16.4
2019-02-02 03:00:00,12.5,6.2,2.1,14.2,13.7,16.4
2019-02-02 03:07:12,12.5,6.2,2.1,14.1,13.7,16.4
2019-02-02 03:14:24,12.5,6.2,2.1,14.1,13.7,16.4
2019-02-02 03:21:36,12.5,6.2,2.1,14.1,13.7,16.4
2019-02-02 03:28:48,12.5,6.2,2.1,14.1,13.7,16.4
2019-02-02 03:36:00,12.5,6.2,2.1,14.2,13.7,16.4
2019-02-02 03:43:12,12.5,6.2,2.1,14.2,13.7,16.4
2019-02-02 03:50:24,12.5,6.2,2.2,14.2,13.7,16.5
2019-02-02 03:57:36,12.5,6.2,2.2,14.2,13.7,16.5
2019-02-02 04:04:48,12.5,6.2,2.2,14.2,13.8,16.5
2019-02-02 04:12:00,12.5,6.2,2.2,14.2,13.8,16.5
2019-02-02 04:19:12,12.5,6.2,2.2,14.3,13.8,16.5
2019-02-02 04:26:24,12.5,6.2,2.2,14.3,13.8,16.5
2019-02-02 04:33:36,12.6,6.2,2.2,14.3,13.8,16.5
2019-02-02 04:40:48,12.6,6.2,2.2,14.3,13.8,16.5
2019-02-02 04:48:00,12.6,6.2,2.2,14.2,13.8,16.6
2019-02-02 04:55:12,12.6,6.2,2.2,14.2,13.8,16.6
2019-02-02 05:02:24,12.6,6.3,2.3,14.3,13.8,16.6
2019-02-02 05:09:36,12.6,6.3,2.3,14.3,13.8,16.6
2019-02-02 05:16:48,12.6,6.3,2.3,14.2,13.8,16.7
2019-02-02 05:24:00,12.6,6.3,2.3,14.2,13.8,16.7
