,416_APAR_611.11,420_APAR_612.12,424_APAR_613.13,428_APAR_614.14,432_APAR_615.15,436_APAR_616.16,440_APAR_617.17,444_APAR_618.18,448_APAR_619.19,452_APAR_620.20,456_APAR_621.21,460_APAR_622.22,464_APAR_623.23,468_APAR_624.24,472_APAR_625.25,696_FIF_602.2,698_FIF_603.3,700_FIF_604.4,702_FIF_605.5,704_FIF_606.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-02-01 23:45:36,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.4,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
2019-02-01 23:52:48,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.4,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
2019-02-02 00:00:00,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.4,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
2019-02-02 00:07:12,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.4,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
2019-02-02 00:14:24,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.4,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
2019-02-02 00:21:36,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.5,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
2019-02-02 00:28:48,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.5,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
2019-02-02 00:36:00,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.5,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
2019-02-02 00:43:12,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.5,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
2019-02-02 00:50:24,25.1,25.2,27.9,35.1,44.7,26.5,26.5,33.0,36.9,42.5,26.0,26.3,29.0,50.7,73.7,27.0,29.0,29.0,33.0,24.0
