,4345_POG_26.26,4353_POG_27.27,4361_POG_28.28,4369_POG_29.29
,avg,avg,avg,avg
Time,,,,
2019-02-01 23:45:36,,,,
2019-02-01 23:52:48,1.15,1.89,1.68,1.51
2019-02-02 00:00:00,1.31,2.02,1.85,1.44
2019-02-02 00:07:12,1.21,1.9,1.75,1.43
2019-02-02 00:14:24,1.21,1.9,1.75,1.43
2019-02-02 00:21:36,1.02,1.93,1.7,1.21
2019-02-02 00:28:48,1.02,1.93,1.7,1.21
2019-02-02 00:36:00,1.1,1.97,1.86,1.4
2019-02-02 00:43:12,1.1,1.97,1.86,1.4
2019-02-02 00:50:24,1.22,1.97,1.84,1.48
2019-02-02 00:57:36,1.22,1.97,1.84,1.48
2019-02-02 01:04:48,1.12,1.9,1.76,1.54
2019-02-02 01:12:00,1.12,1.9,1.76,1.54
2019-02-02 01:19:12,1.15,2.16,2.01,1.5
2019-02-02 01:26:24,1.15,2.16,2.01,1.5
2019-02-02 01:33:36,1.09,2.24,2.1,1.48
2019-02-02 01:40:48,1.09,2.24,2.1,1.48
2019-02-02 01:48:00,1.09,1.86,1.81,1.41
2019-02-02 01:55:12,1.09,1.86,1.81,1.41
2019-02-02 02:02:24,1.04,1.81,1.51,1.39
2019-02-02 02:09:36,1.04,1.81,1.51,1.39
2019-02-02 02:16:48,0.99,1.85,1.78,1.51
2019-02-02 02:24:00,0.99,1.85,1.78,1.51
2019-02-02 02:31:12,1.23,2.09,1.96,1.54
2019-02-02 02:38:24,1.23,2.09,1.96,1.54
2019-02-02 02:45:36,1.23,2.09,1.96,1.54
2019-02-02 02:52:48,1.09,2.0,1.71,1.47
2019-02-02 03:00:00,1.09,2.0,1.71,1.47
2019-02-02 03:07:12,1.26,2.21,1.9,1.69
2019-02-02 03:14:24,1.26,2.21,1.9,1.69
2019-02-02 03:21:36,1.26,2.14,2.13,1.67
2019-02-02 03:28:48,1.26,2.14,2.13,1.67
2019-02-02 03:36:00,1.11,2.09,2.02,1.52
2019-02-02 03:43:12,1.11,2.09,2.02,1.52
2019-02-02 03:50:24,1.29,2.08,1.76,1.53
2019-02-02 03:57:36,1.29,2.08,1.76,1.53
2019-02-02 04:04:48,1.24,2.16,1.94,1.58
2019-02-02 04:12:00,1.24,2.16,1.94,1.58
2019-02-02 04:19:12,1.27,2.0,1.8,1.6
2019-02-02 04:26:24,1.27,2.0,1.8,1.6
2019-02-02 04:33:36,1.2,1.84,1.68,1.52
2019-02-02 04:40:48,1.2,1.84,1.68,1.52
2019-02-02 04:48:00,1.25,2.12,2.0,1.79
2019-02-02 04:55:12,1.25,2.12,2.0,1.79
2019-02-02 05:02:24,1.28,2.12,1.8,1.71
2019-02-02 05:09:36,1.28,2.12,1.8,1.71
2019-02-02 05:16:48,1.18,1.85,1.64,1.43
2019-02-02 05:24:00,1.18,1.85,1.64,1.43
2019-02-02 05:31:12,1.1,1.83,1.71,1.37
2019-02-02 05:38:24,1.1,1.83,1.71,1.37
2019-02-02 05:45:36,1.1,1.83,1.71,1.37
2019-02-02 05:52:48,1.0,1.94,1.86,1.45
2019-02-02 06:00:00,1.0,1.94,1.86,1.45
2019-02-02 06:07:12,1.22,1.96,1.77,1.73
2019-02-02 06:14:24,1.22,1.96,1.77,1.73
2019-02-02 06:21:36,1.39,2.13,1.88,1.78
2019-02-02 06:28:48,1.39,2.13,1.88,1.78
2019-02-02 06:36:00,1.34,1.84,1.73,1.7
2019-02-02 06:43:12,1.34,1.84,1.73,1.7
2019-02-02 06:50:24,1.4,1.81,1.69,1.78
2019-02-02 06:57:36,1.4,1.81,1.69,1.78
2019-02-02 07:04:48,1.52,1.91,1.72,1.91
2019-02-02 07:12:00,1.52,1.91,1.72,1.91
2019-02-02 07:19:12,1.57,2.12,1.96,2.03
2019-02-02 07:26:24,1.57,2.12,1.96,2.03
2019-02-02 07:33:36,1.49,1.99,1.77,1.97
2019-02-02 07:40:48,1.49,1.99,1.77,1.97
2019-02-02 07:48:00,1.51,1.96,1.7,1.82
2019-02-02 07:55:12,1.51,1.96,1.7,1.82
2019-02-02 08:02:24,1.4,1.73,1.58,1.71
2019-02-02 08:09:36,1.4,1.73,1.58,1.71
2019-02-02 08:16:48,1.43,1.87,1.66,1.78
2019-02-02 08:24:00,1.43,1.87,1.66,1.78
2019-02-02 08:31:12,1.4,1.96,1.7,1.86
2019-02-02 08:38:24,1.4,1.96,1.7,1.86
2019-02-02 08:45:36,1.4,1.96,1.7,1.86
2019-02-02 08:52:48,1.57,1.84,1.67,1.76
2019-02-02 09:00:00,1.57,1.84,1.67,1.76
2019-02-02 09:07:12,1.47,1.88,1.7,1.79
2019-02-02 09:14:24,1.47,1.88,1.7,1.79
2019-02-02 09:21:36,1.34,1.78,1.55,1.82
2019-02-02 09:28:48,1.34,1.78,1.55,1.82
2019-02-02 09:36:00,1.2,1.75,1.43,1.56
2019-02-02 09:43:12,1.2,1.75,1.43,1.56
2019-02-02 09:50:24,1.37,1.69,1.62,1.84
2019-02-02 09:57:36,1.37,1.69,1.62,1.84
2019-02-02 10:04:48,1.39,1.77,1.52,1.8
2019-02-02 10:12:00,1.39,1.77,1.52,1.8
2019-02-02 10:19:12,1.39,1.8,1.6,1.83
2019-02-02 10:26:24,1.39,1.8,1.6,1.83
2019-02-02 10:33:36,1.3,1.94,1.78,1.8
2019-02-02 10:40:48,1.3,1.94,1.78,1.8
2019-02-02 10:48:00,1.29,1.63,1.4,1.7
2019-02-02 10:55:12,1.29,1.63,1.4,1.7
2019-02-02 11:02:24,1.43,1.92,1.82,2.04
2019-02-02 11:09:36,1.43,1.92,1.82,2.04
2019-02-02 11:16:48,1.18,1.59,1.47,1.72
2019-02-02 11:24:00,1.18,1.59,1.47,1.72
2019-02-02 11:31:12,1.32,1.81,1.59,1.69
2019-02-02 11:38:24,1.32,1.81,1.59,1.69
2019-02-02 11:45:36,1.32,1.81,1.59,1.69
2019-02-02 11:52:48,1.24,1.76,1.48,1.61
2019-02-02 12:00:00,1.24,1.76,1.48,1.61
2019-02-02 12:07:12,1.3,1.73,1.62,1.71
2019-02-02 12:14:24,1.3,1.73,1.62,1.71
2019-02-02 12:21:36,1.21,1.86,1.71,1.9
2019-02-02 12:28:48,1.21,1.86,1.71,1.9
2019-02-02 12:36:00,1.31,1.9,1.72,1.9
2019-02-02 12:43:12,1.31,1.9,1.72,1.9
2019-02-02 12:50:24,1.38,1.78,1.58,1.83
2019-02-02 12:57:36,1.38,1.78,1.58,1.83
2019-02-02 13:04:48,1.25,1.6,1.48,1.82
2019-02-02 13:12:00,1.25,1.6,1.48,1.82
2019-02-02 13:19:12,1.2,1.73,1.6,1.66
2019-02-02 13:26:24,1.2,1.73,1.6,1.66
2019-02-02 13:33:36,1.4,1.79,1.74,2.12
2019-02-02 13:40:48,1.4,1.79,1.74,2.12
2019-02-02 13:48:00,1.26,1.8,1.63,1.81
2019-02-02 13:55:12,1.26,1.8,1.63,1.81
2019-02-02 14:02:24,1.35,1.73,1.57,1.82
2019-02-02 14:09:36,1.35,1.73,1.57,1.82
2019-02-02 14:16:48,1.42,1.91,1.76,1.86
2019-02-02 14:24:00,1.42,1.91,1.76,1.86
2019-02-02 14:31:12,1.28,1.94,1.68,1.94
2019-02-02 14:38:24,1.28,1.94,1.68,1.94
2019-02-02 14:45:36,1.4,1.8,1.64,1.93
2019-02-02 14:52:48,1.4,1.8,1.64,1.93
2019-02-02 15:00:00,1.4,1.8,1.64,1.93
2019-02-02 15:07:12,1.4,1.9,1.66,2.01
2019-02-02 15:14:24,1.4,1.9,1.66,2.01
2019-02-02 15:21:36,1.38,1.87,1.67,1.9
2019-02-02 15:28:48,1.38,1.87,1.67,1.9
2019-02-02 15:36:00,1.21,1.72,1.57,1.87
2019-02-02 15:43:12,1.21,1.72,1.57,1.87
2019-02-02 15:50:24,1.17,1.6,1.48,1.66
2019-02-02 15:57:36,1.17,1.6,1.48,1.66
2019-02-02 16:04:48,1.24,1.9,1.58,1.85
2019-02-02 16:12:00,1.24,1.9,1.58,1.85
2019-02-02 16:19:12,1.23,1.64,1.45,1.89
2019-02-02 16:26:24,1.23,1.64,1.45,1.89
2019-02-02 16:33:36,1.29,1.75,1.59,1.82
2019-02-02 16:40:48,1.29,1.75,1.59,1.82
2019-02-02 16:48:00,1.24,1.61,1.53,1.73
2019-02-02 16:55:12,1.24,1.61,1.53,1.73
2019-02-02 17:02:24,1.11,1.72,1.52,1.75
2019-02-02 17:09:36,1.11,1.72,1.52,1.75
2019-02-02 17:16:48,1.13,1.81,1.54,1.77
2019-02-02 17:24:00,1.13,1.81,1.54,1.77
2019-02-02 17:31:12,1.27,1.78,1.54,1.75
2019-02-02 17:38:24,1.27,1.78,1.54,1.75
2019-02-02 17:45:36,1.27,1.78,1.54,1.75
2019-02-02 17:52:48,1.15,1.79,1.57,1.67
2019-02-02 18:00:00,1.15,1.79,1.57,1.67
2019-02-02 18:07:12,1.36,2.02,1.62,2.01
2019-02-02 18:14:24,1.36,2.02,1.62,2.01
2019-02-02 18:21:36,1.19,1.92,1.63,2.06
2019-02-02 18:28:48,1.19,1.92,1.63,2.06
2019-02-02 18:36:00,1.14,1.64,1.5,1.72
2019-02-02 18:43:12,1.14,1.64,1.5,1.72
2019-02-02 18:50:24,1.16,1.66,1.49,1.73
2019-02-02 18:57:36,1.16,1.66,1.49,1.73
