,1_APAR_30.1,13_APAR_33.4,17_APAR_34.5,5_APAR_31.2,649_FIF_11.11,9_APAR_32.3
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-14 23:45:36,38.8,63.0,85.8,40.1,,41.8
2019-01-14 23:52:48,38.8,62.9,85.8,40.1,,41.8
2019-01-15 00:00:00,38.8,62.9,85.8,40.1,,41.8
2019-01-15 00:07:12,38.7,62.9,85.8,40.1,,41.7
2019-01-15 00:14:24,38.7,62.9,85.8,40.1,,41.7
2019-01-15 00:21:36,38.7,62.9,85.7,40.1,,41.6
2019-01-15 00:28:48,38.7,62.9,85.7,40.1,,41.6
2019-01-15 00:36:00,38.7,62.9,85.7,40.0,,41.5
2019-01-15 00:43:12,38.7,62.9,85.7,40.0,,41.5
2019-01-15 00:50:24,38.6,62.9,85.7,39.9,,41.7
2019-01-15 00:57:36,38.6,62.9,85.7,39.9,,41.7
2019-01-15 01:04:48,38.5,62.8,85.7,39.9,,41.8
2019-01-15 01:12:00,38.5,62.8,85.7,39.9,,41.8
2019-01-15 01:19:12,38.5,62.8,85.7,39.9,,41.8
2019-01-15 01:26:24,38.5,62.8,85.7,39.9,,41.8
2019-01-15 01:33:36,38.5,62.8,85.7,39.9,,41.8
2019-01-15 01:40:48,38.5,62.8,85.7,39.9,,41.8
2019-01-15 01:48:00,38.5,62.8,85.6,39.9,,41.8
2019-01-15 01:55:12,38.5,62.8,85.6,39.9,,41.8
2019-01-15 02:02:24,38.5,62.8,85.6,39.9,,41.7
2019-01-15 02:09:36,38.5,62.8,85.6,39.9,,41.7
2019-01-15 02:16:48,38.5,62.8,85.5,39.8,,41.7
2019-01-15 02:24:00,38.5,62.8,85.5,39.8,,41.7
2019-01-15 02:31:12,38.4,62.8,85.5,39.8,,41.6
2019-01-15 02:38:24,38.4,62.8,85.5,39.8,,41.6
2019-01-15 02:45:36,38.4,62.8,85.5,39.8,,41.6
2019-01-15 02:52:48,38.4,62.8,85.5,39.8,,41.6
2019-01-15 03:00:00,38.4,62.8,85.5,39.8,,41.6
2019-01-15 03:07:12,38.4,62.8,85.5,39.8,,41.6
2019-01-15 03:14:24,38.4,62.8,85.5,39.8,,41.6
2019-01-15 03:21:36,38.5,62.8,85.5,39.8,,41.5
2019-01-15 03:28:48,38.5,62.8,85.5,39.8,,41.5
2019-01-15 03:36:00,38.5,62.8,85.5,39.8,,41.5
2019-01-15 03:43:12,38.5,62.8,85.5,39.8,,41.5
2019-01-15 03:50:24,38.5,62.7,85.5,39.9,,41.5
2019-01-15 03:57:36,38.5,62.7,85.5,39.9,,41.5
2019-01-15 04:04:48,38.6,62.7,85.5,39.9,,41.4
2019-01-15 04:12:00,38.6,62.7,85.5,39.9,,41.4
2019-01-15 04:19:12,38.6,62.7,85.5,39.9,,41.4
2019-01-15 04:26:24,38.6,62.7,85.5,39.9,,41.4
2019-01-15 04:33:36,38.6,62.7,85.5,39.9,,41.3
2019-01-15 04:40:48,38.6,62.7,85.5,39.9,,41.3
2019-01-15 04:48:00,38.6,62.7,85.5,39.9,,41.3
2019-01-15 04:55:12,38.6,62.7,85.5,39.9,,41.3
2019-01-15 05:02:24,38.5,62.7,85.5,39.8,,41.3
2019-01-15 05:09:36,38.5,62.7,85.5,39.8,,41.3
2019-01-15 05:16:48,38.4,62.7,85.5,39.8,,41.3
2019-01-15 05:24:00,38.4,62.7,85.5,39.8,,41.3
2019-01-15 05:31:12,38.4,62.7,85.5,39.8,,41.3
2019-01-15 05:38:24,38.4,62.7,85.5,39.8,,41.3
2019-01-15 05:45:36,38.4,62.7,85.5,39.8,,41.4
2019-01-15 05:52:48,38.4,62.7,85.5,39.8,,41.4
