,304_APAR_411.11,308_APAR_412.12,312_APAR_413.13,316_APAR_414.14,320_APAR_415.15,324_APAR_416.16,328_APAR_417.17,332_APAR_418.18,336_APAR_419.19,340_APAR_420.20,344_APAR_421.21,348_APAR_422.22,352_APAR_423.23,356_APAR_424.24,360_APAR_425.25,680_FIF_402.2,682_FIF_403.3,684_FIF_404.4,686_FIF_405.5,688_FIF_406.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-21 23:45:36,28.6,30.1,31.1,45.5,52.3,24.8,26.5,29.3,39.5,56.3,22.5,23.2,25.5,49.2,80.4,22.153846,20.423077,23.0,25.0,23.0
2019-01-21 23:52:48,28.6,30.1,31.1,45.5,52.2,24.8,26.5,29.3,39.5,56.3,22.5,23.2,25.4,49.1,80.4,22.107143,20.071429,23.0,25.0,22.892857
2019-01-22 00:00:00,28.6,30.1,31.1,45.5,52.2,24.8,26.5,29.3,39.5,56.3,22.5,23.2,25.4,49.1,80.4,22.107143,20.071429,23.0,25.0,22.892857
2019-01-22 00:07:12,28.6,30.1,31.1,45.5,52.2,24.8,26.5,29.3,39.5,56.3,22.5,23.2,25.4,49.1,80.3,22.0,20.0,23.0,25.0,22.642857
2019-01-22 00:14:24,28.6,30.1,31.1,45.5,52.2,24.8,26.5,29.3,39.5,56.3,22.5,23.2,25.4,49.1,80.3,22.0,20.0,23.0,25.0,22.642857
2019-01-22 00:21:36,28.6,30.1,31.1,45.5,52.2,24.8,26.6,29.3,39.5,56.3,22.5,23.2,25.4,49.1,80.3,22.0,20.0,23.0,25.0,22.535714
2019-01-22 00:28:48,28.6,30.1,31.1,45.5,52.2,24.8,26.6,29.3,39.5,56.3,22.5,23.2,25.4,49.1,80.3,22.0,20.0,23.0,25.0,22.535714
2019-01-22 00:36:00,28.6,30.1,31.1,45.5,52.2,24.8,26.6,29.3,39.5,56.2,22.5,23.2,25.4,49.1,80.3,22.0,20.107143,23.0,25.0,22.964286
2019-01-22 00:43:12,28.6,30.1,31.1,45.5,52.2,24.8,26.6,29.3,39.5,56.2,22.5,23.2,25.4,49.1,80.3,22.0,20.107143,23.0,25.0,22.964286
2019-01-22 00:50:24,28.6,30.1,31.1,45.5,52.2,24.8,26.6,29.3,39.5,56.2,22.5,23.2,25.4,49.1,80.3,22.0,20.0,23.0,25.0,22.592593
