,1_APAR_30.1,13_APAR_33.4,17_APAR_34.5,5_APAR_31.2,649_FIF_11.11,9_APAR_32.3
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-21 23:45:36,37.2,61.3,83.0,38.6,,39.4
2019-01-21 23:52:48,37.2,61.3,83.0,38.6,,39.4
2019-01-22 00:00:00,37.2,61.3,83.0,38.6,,39.4
2019-01-22 00:07:12,37.2,61.3,83.0,38.6,,39.4
2019-01-22 00:14:24,37.2,61.3,83.0,38.6,,39.4
2019-01-22 00:21:36,37.3,61.3,83.0,38.7,,39.4
2019-01-22 00:28:48,37.3,61.3,83.0,38.7,,39.4
2019-01-22 00:36:00,37.2,61.3,83.0,38.6,,39.4
2019-01-22 00:43:12,37.2,61.3,83.0,38.6,,39.4
2019-01-22 00:50:24,37.2,61.3,83.0,38.6,,39.4
2019-01-22 00:57:36,37.2,61.3,83.0,38.6,,39.4
2019-01-22 01:04:48,37.2,61.3,82.9,38.6,,39.4
2019-01-22 01:12:00,37.2,61.3,82.9,38.6,,39.4
2019-01-22 01:19:12,37.2,61.2,83.0,38.6,,39.4
2019-01-22 01:26:24,37.2,61.2,83.0,38.6,,39.4
2019-01-22 01:33:36,37.2,61.2,83.0,38.6,,39.4
2019-01-22 01:40:48,37.2,61.2,83.0,38.6,,39.4
2019-01-22 01:48:00,37.2,61.2,83.0,38.6,,39.4
2019-01-22 01:55:12,37.2,61.2,83.0,38.6,,39.4
2019-01-22 02:02:24,37.2,61.2,83.0,38.6,,39.4
2019-01-22 02:09:36,37.2,61.2,83.0,38.6,,39.4
2019-01-22 02:16:48,37.1,61.2,83.0,38.6,,39.4
2019-01-22 02:24:00,37.1,61.2,83.0,38.6,,39.4
2019-01-22 02:31:12,37.2,61.2,83.0,38.6,,39.4
2019-01-22 02:38:24,37.2,61.2,83.0,38.6,,39.4
2019-01-22 02:45:36,37.2,61.2,83.0,38.6,,39.4
2019-01-22 02:52:48,37.2,61.2,83.0,38.6,,39.4
2019-01-22 03:00:00,37.2,61.2,83.0,38.6,,39.4
2019-01-22 03:07:12,37.2,61.2,83.0,38.6,,39.4
2019-01-22 03:14:24,37.2,61.2,83.0,38.6,,39.4
2019-01-22 03:21:36,37.2,61.2,83.0,38.6,,39.4
2019-01-22 03:28:48,37.2,61.2,83.0,38.6,,39.4
2019-01-22 03:36:00,37.2,61.1,83.0,38.6,,39.4
2019-01-22 03:43:12,37.2,61.1,83.0,38.6,,39.4
2019-01-22 03:50:24,37.2,61.1,83.0,38.6,,39.4
2019-01-22 03:57:36,37.2,61.1,83.0,38.6,,39.4
2019-01-22 04:04:48,37.2,61.1,83.0,38.6,,39.4
2019-01-22 04:12:00,37.2,61.1,83.0,38.6,,39.4
2019-01-22 04:19:12,37.2,61.1,83.0,38.6,,39.3
2019-01-22 04:26:24,37.2,61.1,83.0,38.6,,39.3
2019-01-22 04:33:36,37.2,61.1,83.0,38.6,,39.3
2019-01-22 04:40:48,37.2,61.1,83.0,38.6,,39.3
2019-01-22 04:48:00,37.2,61.1,82.9,38.6,,39.3
2019-01-22 04:55:12,37.2,61.1,82.9,38.6,,39.3
2019-01-22 05:02:24,37.1,61.1,82.9,38.5,,39.3
2019-01-22 05:09:36,37.1,61.1,82.9,38.5,,39.3
2019-01-22 05:16:48,37.1,61.1,82.9,38.5,,39.3
2019-01-22 05:24:00,37.1,61.1,82.9,38.5,,39.3
2019-01-22 05:31:12,37.2,61.1,82.9,38.5,,39.3
2019-01-22 05:38:24,37.2,61.1,82.9,38.5,,39.3
2019-01-22 05:45:36,37.2,61.1,82.9,38.6,,39.3
2019-01-22 05:52:48,37.2,61.1,82.9,38.6,,39.3
