id,plcid,title,addr,variable,category,type,value_format,measureUnits,precision_digits,time_duration,priority,order_id,timeformat,modbusAddr,dictid,min_allowed_value,max_allowed_value,normal_color,disabled_color,warning_color,alert_color,has_normal,has_disabled,has_warning,has_alert,save_graph_data,graph_color,save_to_log,delay,disabled
46,8,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
47,8,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
48,9,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
49,9,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
50,9,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
51,9,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
52,10,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
53,10,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
54,10,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
55,10,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
56,11,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
57,11,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
58,11,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
59,11,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
60,12,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
61,12,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
62,12,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
63,12,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
64,13,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
65,13,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
66,13,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
67,13,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
68,14,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
69,14,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
70,14,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
71,14,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
