x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-15--13:26:12,30.6,32.4,32.3,46.4,52.6,26.0,27.7,30.4,40.4,55.9,23.9,24.6,26.5,50.5,81.6,25.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--13:29:48,30.6,32.4,32.3,46.4,52.6,26.0,27.7,30.4,40.4,55.9,23.9,24.6,26.5,50.5,81.6,25.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--13:33:24,30.6,32.4,32.3,46.5,52.7,26.0,27.7,30.4,40.4,56.0,23.9,24.6,26.5,50.5,81.5,26.000000,22.000000,27.000000,27.000000,26.000000
2019-01-15--13:37:00,30.6,32.4,32.3,46.5,52.7,26.0,27.7,30.4,40.4,56.0,23.9,24.6,26.5,50.5,81.5,26.000000,22.000000,27.000000,27.000000,26.000000
2019-01-15--13:40:36,30.6,32.4,32.3,46.5,52.7,26.0,27.7,30.4,40.4,56.0,23.9,24.6,26.5,50.5,81.5,26.000000,22.000000,27.000000,27.000000,26.000000
2019-01-15--13:44:12,30.6,32.4,32.3,46.5,52.7,26.0,27.7,30.4,40.4,56.0,23.9,24.6,26.5,50.5,81.5,26.000000,22.000000,27.000000,27.000000,26.000000
2019-01-15--13:47:48,30.6,32.4,32.4,46.5,52.7,26.0,27.7,30.4,40.4,56.0,23.8,24.5,26.5,50.6,81.4,25.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--13:51:24,30.6,32.4,32.4,46.5,52.7,26.0,27.7,30.4,40.4,56.0,23.8,24.5,26.5,50.6,81.4,25.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--13:55:00,30.6,32.4,32.4,46.5,52.7,26.0,27.7,30.4,40.4,56.0,23.8,24.5,26.5,50.6,81.4,25.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--13:58:36,30.6,32.4,32.4,46.5,52.7,26.0,27.7,30.4,40.4,56.0,23.8,24.5,26.5,50.6,81.4,25.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:02:12,30.6,32.4,32.4,46.5,52.7,26.0,27.7,30.5,40.4,56.0,23.7,24.4,26.5,50.6,81.3,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:05:48,30.6,32.4,32.4,46.5,52.7,26.0,27.7,30.5,40.4,56.0,23.7,24.4,26.5,50.6,81.3,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:09:24,30.6,32.4,32.4,46.5,52.7,26.0,27.7,30.5,40.4,56.0,23.7,24.4,26.5,50.6,81.3,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:13:00,30.6,32.4,32.4,46.5,52.7,26.0,27.7,30.5,40.4,56.0,23.7,24.4,26.5,50.6,81.3,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:16:36,30.5,32.4,32.4,46.5,52.7,25.9,27.7,30.5,40.4,55.9,23.7,24.4,26.5,50.6,81.2,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:20:12,30.5,32.4,32.4,46.5,52.7,25.9,27.7,30.5,40.4,55.9,23.7,24.4,26.5,50.6,81.2,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:23:48,30.5,32.4,32.4,46.5,52.7,25.9,27.7,30.5,40.4,55.9,23.7,24.4,26.5,50.6,81.2,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:27:24,30.5,32.4,32.4,46.5,52.7,25.9,27.7,30.5,40.4,55.9,23.7,24.4,26.5,50.6,81.2,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:31:00,30.5,32.3,32.4,46.6,52.7,25.9,27.7,30.5,40.5,55.9,23.8,24.4,26.5,50.6,81.1,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:34:36,30.5,32.3,32.4,46.6,52.7,25.9,27.7,30.5,40.5,55.9,23.8,24.4,26.5,50.6,81.1,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:38:12,30.5,32.3,32.4,46.6,52.7,25.9,27.7,30.5,40.5,55.9,23.8,24.4,26.5,50.6,81.1,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:41:48,30.5,32.3,32.4,46.6,52.7,25.9,27.7,30.5,40.5,55.9,23.8,24.4,26.5,50.6,81.1,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:45:24,30.5,32.3,32.4,46.6,52.8,25.9,27.7,30.5,40.6,55.9,23.8,24.4,26.5,50.6,81.1,26.000000,23.000000,27.000000,27.000000,26.000000
2019-01-15--14:49:00,30.5,32.3,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.0,23.8,24.5,26.5,50.6,81.0,25.000000,23.000000,26.000000,27.000000,26.000000
2019-01-15--14:52:36,30.5,32.3,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.0,23.8,24.5,26.5,50.6,81.0,25.000000,23.000000,26.000000,27.000000,26.000000
2019-01-15--14:56:12,30.5,32.3,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.0,23.8,24.5,26.5,50.6,81.0,25.000000,23.000000,26.000000,27.000000,26.000000
2019-01-15--14:59:48,30.5,32.3,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.0,23.8,24.5,26.5,50.6,81.0,25.000000,23.000000,26.000000,27.000000,26.000000
2019-01-15--15:03:24,30.4,32.2,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.0,23.8,24.5,26.6,50.6,81.0,25.000000,23.000000,26.000000,27.000000,26.000000
2019-01-15--15:07:00,30.4,32.2,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.0,23.8,24.5,26.6,50.6,81.0,25.000000,23.000000,26.000000,27.000000,26.000000
2019-01-15--15:10:36,30.4,32.2,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.0,23.8,24.5,26.6,50.6,81.0,25.000000,23.000000,26.000000,27.000000,26.000000
2019-01-15--15:14:12,30.4,32.2,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.0,23.8,24.5,26.6,50.6,81.0,25.000000,23.000000,26.000000,27.000000,26.000000
2019-01-15--15:17:48,30.4,32.2,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.0,23.8,24.5,26.6,50.6,80.9,25.000000,23.000000,26.000000,27.000000,25.000000
2019-01-15--15:21:24,30.4,32.2,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.0,23.8,24.5,26.6,50.6,80.9,25.000000,23.000000,26.000000,27.000000,25.000000
2019-01-15--15:25:00,30.4,32.2,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.0,23.8,24.5,26.6,50.6,80.9,25.000000,23.000000,26.000000,27.000000,25.000000
2019-01-15--15:28:36,30.4,32.2,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.0,23.8,24.5,26.6,50.6,80.9,25.000000,23.000000,26.000000,27.000000,25.000000
2019-01-15--15:32:12,30.4,32.2,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.5,26.6,50.6,80.9,25.000000,22.000000,26.000000,27.000000,25.000000
2019-01-15--15:35:48,30.4,32.2,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.5,26.6,50.6,80.9,25.000000,22.000000,26.000000,27.000000,25.000000
2019-01-15--15:39:24,30.4,32.2,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.5,26.6,50.6,80.9,25.000000,22.000000,26.000000,27.000000,25.000000
2019-01-15--15:43:00,30.4,32.2,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.5,26.6,50.6,80.9,25.000000,22.000000,26.000000,27.000000,25.000000
2019-01-15--15:46:36,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.6,26.6,50.6,80.8,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--15:50:12,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.6,26.6,50.6,80.8,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--15:53:48,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.6,26.6,50.6,80.8,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--15:57:24,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.6,26.6,50.6,80.8,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:01:00,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.9,24.6,26.6,50.6,80.7,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:04:36,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.9,24.6,26.6,50.6,80.7,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:08:12,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.9,24.6,26.6,50.6,80.7,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:11:48,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.9,24.6,26.6,50.6,80.7,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:15:24,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.6,26.7,50.5,80.6,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:19:00,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.6,26.7,50.5,80.6,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:22:36,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.6,26.7,50.5,80.6,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:26:12,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.6,26.7,50.5,80.6,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:29:48,30.4,32.1,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.1,23.8,24.6,26.7,50.5,80.6,25.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:33:24,30.4,32.1,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.5,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:37:00,30.4,32.1,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.5,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:40:36,30.4,32.1,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.5,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:44:12,30.4,32.1,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.5,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:47:48,30.3,32.0,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:51:24,30.3,32.0,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:55:00,30.3,32.0,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--16:58:36,30.3,32.0,32.4,46.6,52.8,25.9,27.6,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--17:02:12,30.3,32.0,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--17:05:48,30.3,32.0,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--17:09:24,30.3,32.0,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--17:13:00,30.3,32.0,32.4,46.6,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.5,26.7,50.5,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
