x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-15--03:14:12,20.9,20.8,14.6,8.9,3.7,20.8,20.7,18.8,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.8
2019-01-15--03:17:48,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
2019-01-15--03:21:24,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
2019-01-15--03:25:00,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
2019-01-15--03:28:36,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
2019-01-15--03:32:12,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
2019-01-15--03:35:48,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
2019-01-15--03:39:24,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
2019-01-15--03:43:00,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
2019-01-15--03:46:36,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,21.9,19.8,17.3,25.9,24.2,25.8
2019-01-15--03:50:12,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,21.9,19.8,17.3,25.9,24.2,25.8
2019-01-15--03:53:48,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,21.9,19.8,17.3,25.9,24.2,25.8
2019-01-15--03:57:24,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,21.9,19.8,17.3,25.9,24.2,25.8
2019-01-15--04:01:00,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,25.9,24.2,25.8
2019-01-15--04:04:36,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,25.9,24.2,25.8
2019-01-15--04:08:12,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,25.9,24.2,25.8
2019-01-15--04:11:48,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,25.9,24.2,25.8
2019-01-15--04:15:24,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,26.0,24.2,25.8
2019-01-15--04:19:00,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,26.0,24.2,25.8
2019-01-15--04:22:36,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,26.0,24.2,25.8
2019-01-15--04:26:12,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,26.0,24.2,25.8
2019-01-15--04:29:48,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,26.0,24.2,25.8
2019-01-15--04:33:24,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,26.0,24.2,25.8
2019-01-15--04:37:00,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,26.0,24.2,25.8
2019-01-15--04:40:36,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,26.0,24.2,25.8
2019-01-15--04:44:12,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.3,26.0,24.2,25.8
