x,MBUSBmeters
2019-01-15--11:05:48,0.123
2019-01-15--11:09:24,0.123
2019-01-15--11:13:00,0.123
2019-01-15--11:16:36,0.123
2019-01-15--11:20:12,0.123
2019-01-15--11:23:48,0.123
2019-01-15--11:27:24,0.123
2019-01-15--11:31:00,0.123
2019-01-15--11:34:36,0.123
2019-01-15--11:38:12,0.123
2019-01-15--11:41:48,0.123
2019-01-15--11:45:24,0.123
2019-01-15--11:49:00,0.123
2019-01-15--11:52:36,0.123
2019-01-15--11:56:12,0.123
2019-01-15--11:59:48,0.123
2019-01-15--12:03:24,0.123
2019-01-15--12:07:00,0.123
2019-01-15--12:10:36,0.123
2019-01-15--12:14:12,0.123
2019-01-15--12:17:48,0.123
2019-01-15--12:21:24,0.123
2019-01-15--12:25:00,0.123
2019-01-15--12:28:36,0.123
2019-01-15--12:32:12,0.123
2019-01-15--12:35:48,0.123
2019-01-15--12:39:24,0.123
2019-01-15--12:43:00,0.123
2019-01-15--12:46:36,0.123
2019-01-15--12:50:12,0.123
2019-01-15--12:53:48,0.123
2019-01-15--12:57:24,0.123
2019-01-15--13:01:00,0.123
2019-01-15--13:04:36,0.123
2019-01-15--13:08:12,0.123
2019-01-15--13:11:48,0.123
2019-01-15--13:15:24,0.123
2019-01-15--13:19:00,0.123
2019-01-15--13:22:36,NaN
2019-01-15--13:26:12,NaN
2019-01-15--13:29:48,NaN
2019-01-15--13:33:24,NaN
2019-01-15--13:37:00,NaN
2019-01-15--13:40:36,NaN
2019-01-15--13:44:12,NaN
2019-01-15--13:47:48,NaN
2019-01-15--13:51:24,NaN
2019-01-15--13:55:00,NaN
2019-01-15--13:58:36,NaN
2019-01-15--14:02:12,NaN
2019-01-15--14:05:48,NaN
2019-01-15--14:09:24,NaN
2019-01-15--14:13:00,NaN
2019-01-15--14:16:36,NaN
2019-01-15--14:20:12,NaN
2019-01-15--14:23:48,NaN
2019-01-15--14:27:24,NaN
2019-01-15--14:31:00,NaN
2019-01-15--14:34:36,NaN
2019-01-15--14:38:12,NaN
2019-01-15--14:41:48,NaN
2019-01-15--14:45:24,NaN
2019-01-15--14:49:00,NaN
2019-01-15--14:52:36,NaN
2019-01-15--14:56:12,NaN
2019-01-15--14:59:48,NaN
2019-01-15--15:03:24,NaN
2019-01-15--15:07:00,NaN
2019-01-15--15:10:36,NaN
2019-01-15--15:14:12,NaN
2019-01-15--15:17:48,NaN
2019-01-15--15:21:24,NaN
2019-01-15--15:25:00,NaN
2019-01-15--15:28:36,NaN
2019-01-15--15:32:12,NaN
2019-01-15--15:35:48,NaN
2019-01-15--15:39:24,NaN
2019-01-15--15:43:00,NaN
2019-01-15--15:46:36,NaN
2019-01-15--15:50:12,NaN
2019-01-15--15:53:48,NaN
2019-01-15--15:57:24,NaN
2019-01-15--16:01:00,NaN
2019-01-15--16:04:36,NaN
2019-01-15--16:08:12,NaN
2019-01-15--16:11:48,NaN
2019-01-15--16:15:24,NaN
2019-01-15--16:19:00,NaN
2019-01-15--16:22:36,NaN
2019-01-15--16:26:12,NaN
2019-01-15--16:29:48,NaN
2019-01-15--16:33:24,NaN
2019-01-15--16:37:00,NaN
2019-01-15--16:40:36,NaN
2019-01-15--16:44:12,NaN
2019-01-15--16:47:48,NaN
2019-01-15--16:51:24,NaN
2019-01-15--16:55:00,NaN
2019-01-15--16:58:36,NaN
2019-01-15--17:02:12,NaN
2019-01-15--17:05:48,NaN
2019-01-15--17:09:24,NaN
2019-01-15--17:13:00,NaN
2019-01-15--17:16:36,NaN
2019-01-15--17:20:12,NaN
2019-01-15--17:23:48,NaN
2019-01-15--17:27:24,NaN
2019-01-15--17:31:00,NaN
2019-01-15--17:34:36,NaN
2019-01-15--17:38:12,NaN
2019-01-15--17:41:48,NaN
2019-01-15--17:45:24,NaN
2019-01-15--17:49:00,NaN
2019-01-15--17:52:36,NaN
2019-01-15--17:56:12,NaN
2019-01-15--17:59:48,NaN
2019-01-15--18:03:24,NaN
2019-01-15--18:07:00,NaN
2019-01-15--18:10:36,NaN
2019-01-15--18:14:12,NaN
2019-01-15--18:17:48,NaN
2019-01-15--18:21:24,NaN
2019-01-15--18:25:00,NaN
2019-01-15--18:28:36,NaN
2019-01-15--18:32:12,NaN
2019-01-15--18:35:48,NaN
2019-01-15--18:39:24,NaN
2019-01-15--18:43:00,NaN
2019-01-15--18:46:36,NaN
2019-01-15--18:50:12,NaN
2019-01-15--18:53:48,NaN
2019-01-15--18:57:24,NaN
2019-01-15--19:01:00,NaN
2019-01-15--19:04:36,NaN
2019-01-15--19:08:12,NaN
2019-01-15--19:11:48,NaN
2019-01-15--19:15:24,NaN
2019-01-15--19:19:00,NaN
2019-01-15--19:22:36,NaN
2019-01-15--19:26:12,NaN
2019-01-15--19:29:48,NaN
2019-01-15--19:33:24,NaN
2019-01-15--19:37:00,NaN
2019-01-15--19:40:36,NaN
2019-01-15--19:44:12,NaN
