x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-15--05:52:36,NaN,11.4,10.9,9.5,3.1,-1.4
2019-01-15--05:56:12,NaN,11.4,10.9,9.5,3.1,-1.4
2019-01-15--05:59:48,NaN,11.4,10.9,9.5,3.1,-1.4
2019-01-15--06:03:24,NaN,11.4,10.9,9.5,3.1,-1.4
2019-01-15--06:07:00,NaN,11.4,10.9,9.5,3.1,-1.4
2019-01-15--06:10:36,NaN,11.4,10.9,9.5,3.1,-1.4
2019-01-15--06:14:12,NaN,11.4,10.9,9.5,3.1,-1.4
2019-01-15--06:17:48,NaN,11.4,10.9,9.4,3.1,-1.3
2019-01-15--06:21:24,NaN,11.4,10.9,9.4,3.1,-1.3
2019-01-15--06:25:00,NaN,11.4,10.9,9.4,3.1,-1.3
2019-01-15--06:28:36,NaN,11.4,10.9,9.4,3.1,-1.3
2019-01-15--06:32:12,NaN,11.4,10.9,9.3,3.1,-1.3
2019-01-15--06:35:48,NaN,11.4,10.9,9.3,3.1,-1.3
2019-01-15--06:39:24,NaN,11.4,10.9,9.3,3.1,-1.3
2019-01-15--06:43:00,NaN,11.4,10.9,9.3,3.1,-1.3
2019-01-15--06:46:36,NaN,11.4,10.8,9.4,3.0,-1.2
2019-01-15--06:50:12,NaN,11.4,10.8,9.4,3.0,-1.2
2019-01-15--06:53:48,NaN,11.4,10.8,9.4,3.0,-1.2
2019-01-15--06:57:24,NaN,11.4,10.8,9.4,3.0,-1.2
2019-01-15--07:01:00,NaN,11.4,10.8,9.4,3.0,-1.2
2019-01-15--07:04:36,NaN,11.4,10.8,9.4,3.0,-1.2
2019-01-15--07:08:12,NaN,11.4,10.8,9.4,3.0,-1.2
2019-01-15--07:11:48,NaN,11.4,10.8,9.4,3.0,-1.2
2019-01-15--07:15:24,NaN,11.3,10.8,9.3,3.0,-1.2
2019-01-15--07:19:00,NaN,11.3,10.8,9.3,3.0,-1.2
2019-01-15--07:22:36,NaN,11.3,10.8,9.3,3.0,-1.2
2019-01-15--07:26:12,NaN,11.3,10.8,9.3,3.0,-1.2
2019-01-15--07:29:48,NaN,11.3,10.8,9.3,3.0,-1.2
2019-01-15--07:33:24,NaN,11.3,10.8,9.4,3.0,-1.2
2019-01-15--07:37:00,NaN,11.3,10.8,9.4,3.0,-1.2
2019-01-15--07:40:36,NaN,11.3,10.8,9.4,3.0,-1.2
2019-01-15--07:44:12,NaN,11.3,10.8,9.4,3.0,-1.2
2019-01-15--07:47:48,NaN,11.3,10.8,9.4,3.0,-1.1
2019-01-15--07:51:24,NaN,11.3,10.8,9.4,3.0,-1.1
2019-01-15--07:55:00,NaN,11.3,10.8,9.4,3.0,-1.1
2019-01-15--07:58:36,NaN,11.3,10.8,9.4,3.0,-1.1
2019-01-15--08:02:12,NaN,11.4,10.8,9.5,3.0,-1.0
2019-01-15--08:05:48,NaN,11.4,10.8,9.5,3.0,-1.0
2019-01-15--08:09:24,NaN,11.4,10.8,9.5,3.0,-1.0
2019-01-15--08:13:00,NaN,11.4,10.8,9.5,3.0,-1.0
2019-01-15--08:16:36,NaN,11.4,10.9,9.5,3.0,-1.0
2019-01-15--08:20:12,NaN,11.4,10.9,9.5,3.0,-1.0
2019-01-15--08:23:48,NaN,11.4,10.9,9.5,3.0,-1.0
2019-01-15--08:27:24,NaN,11.4,10.9,9.5,3.0,-1.0
2019-01-15--08:31:00,NaN,11.4,10.9,9.4,3.0,-1.0
2019-01-15--08:34:36,NaN,11.4,10.9,9.4,3.0,-1.0
2019-01-15--08:38:12,NaN,11.4,10.9,9.4,3.0,-1.0
2019-01-15--08:41:48,NaN,11.4,10.9,9.4,3.0,-1.0
2019-01-15--08:45:24,NaN,11.5,10.9,9.5,3.0,-0.9
2019-01-15--08:49:00,NaN,11.5,10.9,9.5,3.0,-0.9
2019-01-15--08:52:36,NaN,11.5,10.9,9.5,3.0,-0.9
2019-01-15--08:56:12,NaN,11.5,10.9,9.5,3.0,-0.9
2019-01-15--08:59:48,NaN,11.5,10.9,9.5,3.0,-0.9
2019-01-15--09:03:24,NaN,11.4,10.9,9.4,3.1,-0.9
2019-01-15--09:07:00,NaN,11.4,10.9,9.4,3.1,-0.9
2019-01-15--09:10:36,NaN,11.4,10.9,9.4,3.1,-0.9
2019-01-15--09:14:12,NaN,11.4,10.9,9.4,3.1,-0.9
2019-01-15--09:17:48,NaN,11.4,10.9,9.3,3.1,-0.9
2019-01-15--09:21:24,NaN,11.4,10.9,9.3,3.1,-0.9
2019-01-15--09:25:00,NaN,11.4,10.9,9.3,3.1,-0.9
2019-01-15--09:28:36,NaN,11.4,10.9,9.3,3.1,-0.9
2019-01-15--09:32:12,NaN,11.3,10.8,9.3,3.1,-0.8
2019-01-15--09:35:48,NaN,11.3,10.8,9.3,3.1,-0.8
2019-01-15--09:39:24,NaN,11.3,10.8,9.3,3.1,-0.8
2019-01-15--09:43:00,NaN,11.3,10.8,9.3,3.1,-0.8
2019-01-15--09:46:36,NaN,11.3,10.8,9.3,3.1,-0.7
2019-01-15--09:50:12,NaN,11.3,10.8,9.3,3.1,-0.7
2019-01-15--09:53:48,NaN,11.3,10.8,9.3,3.1,-0.7
2019-01-15--09:57:24,NaN,11.3,10.8,9.3,3.1,-0.7
2019-01-15--10:01:00,NaN,11.3,10.7,9.2,3.1,-0.6
2019-01-15--10:04:36,NaN,11.3,10.7,9.2,3.1,-0.6
2019-01-15--10:08:12,NaN,11.3,10.7,9.2,3.1,-0.6
2019-01-15--10:11:48,NaN,11.3,10.7,9.2,3.1,-0.6
2019-01-15--10:15:24,NaN,11.3,10.7,9.2,3.1,-0.6
2019-01-15--10:19:00,NaN,11.2,10.7,9.1,3.1,-0.5
2019-01-15--10:22:36,NaN,11.2,10.7,9.1,3.1,-0.5
2019-01-15--10:26:12,NaN,11.2,10.7,9.1,3.1,-0.5
2019-01-15--10:29:48,NaN,11.2,10.7,9.1,3.1,-0.5
2019-01-15--10:33:24,NaN,11.2,10.7,9.1,3.1,-0.4
2019-01-15--10:37:00,NaN,11.2,10.7,9.1,3.1,-0.4
2019-01-15--10:40:36,NaN,11.2,10.7,9.1,3.1,-0.4
2019-01-15--10:44:12,NaN,11.2,10.7,9.1,3.1,-0.4
2019-01-15--10:47:48,NaN,11.2,10.7,9.1,3.1,-0.3
2019-01-15--10:51:24,NaN,11.2,10.7,9.1,3.1,-0.3
2019-01-15--10:55:00,NaN,11.2,10.7,9.1,3.1,-0.3
2019-01-15--10:58:36,NaN,11.2,10.7,9.1,3.1,-0.3
2019-01-15--11:02:12,NaN,11.2,10.7,9.1,3.1,-0.3
2019-01-15--11:05:48,NaN,11.2,10.7,9.1,3.1,-0.3
2019-01-15--11:09:24,NaN,11.2,10.7,9.1,3.1,-0.3
2019-01-15--11:13:00,NaN,11.2,10.7,9.1,3.1,-0.3
2019-01-15--11:16:36,NaN,11.2,10.7,9.1,3.1,-0.2
2019-01-15--11:20:12,NaN,11.2,10.7,9.1,3.1,-0.2
2019-01-15--11:23:48,NaN,11.2,10.7,9.1,3.1,-0.2
2019-01-15--11:27:24,NaN,11.2,10.7,9.1,3.1,-0.2
2019-01-15--11:31:00,NaN,11.3,10.7,9.1,3.1,0.0
2019-01-15--11:34:36,NaN,11.3,10.7,9.1,3.1,0.0
2019-01-15--11:38:12,NaN,11.3,10.7,9.1,3.1,0.0
2019-01-15--11:41:48,NaN,11.3,10.7,9.1,3.1,0.0
2019-01-15--11:45:24,NaN,11.3,10.7,9.1,3.2,0.1
2019-01-15--11:49:00,NaN,11.3,10.7,9.1,3.2,0.1
2019-01-15--11:52:36,NaN,11.3,10.7,9.1,3.2,0.1
2019-01-15--11:56:12,NaN,11.3,10.7,9.1,3.2,0.1
2019-01-15--11:59:48,NaN,11.3,10.7,9.1,3.2,0.1
2019-01-15--12:03:24,NaN,11.3,10.7,9.0,3.2,0.1
2019-01-15--12:07:00,NaN,11.3,10.7,9.0,3.2,0.1
2019-01-15--12:10:36,NaN,11.3,10.7,9.0,3.2,0.1
2019-01-15--12:14:12,NaN,11.3,10.7,9.0,3.2,0.1
2019-01-15--12:17:48,NaN,11.4,10.7,9.0,3.2,0.2
2019-01-15--12:21:24,NaN,11.4,10.7,9.0,3.2,0.2
2019-01-15--12:25:00,NaN,11.4,10.7,9.0,3.2,0.2
2019-01-15--12:28:36,NaN,11.4,10.7,9.0,3.2,0.2
2019-01-15--12:32:12,NaN,NaN,10.9,9.1,3.2,0.3
2019-01-15--12:35:48,NaN,NaN,10.9,9.1,3.2,0.3
2019-01-15--12:39:24,NaN,NaN,10.9,9.1,3.2,0.3
2019-01-15--12:43:00,NaN,NaN,10.9,9.1,3.2,0.3
2019-01-15--12:46:36,NaN,NaN,11.4,9.2,3.3,0.4
2019-01-15--12:50:12,NaN,NaN,11.4,9.2,3.3,0.4
2019-01-15--12:53:48,NaN,NaN,11.4,9.2,3.3,0.4
2019-01-15--12:57:24,NaN,NaN,11.4,9.2,3.3,0.4
2019-01-15--13:01:00,NaN,NaN,11.4,9.2,3.3,0.4
2019-01-15--13:04:36,NaN,NaN,11.4,9.2,3.3,0.4
2019-01-15--13:08:12,NaN,NaN,11.4,9.2,3.3,0.4
2019-01-15--13:11:48,NaN,NaN,11.4,9.2,3.3,0.4
2019-01-15--13:15:24,NaN,12.5,11.4,9.2,3.3,0.4
2019-01-15--13:19:00,NaN,12.8,11.6,9.3,3.3,0.4
2019-01-15--13:22:36,NaN,12.8,11.6,9.3,3.3,0.4
2019-01-15--13:26:12,NaN,12.8,11.6,9.3,3.3,0.4
2019-01-15--13:29:48,NaN,12.8,11.6,9.3,3.3,0.4
2019-01-15--13:33:24,NaN,13.0,11.8,9.3,3.3,0.4
2019-01-15--13:37:00,NaN,13.0,11.8,9.3,3.3,0.4
2019-01-15--13:40:36,NaN,13.0,11.8,9.3,3.3,0.4
2019-01-15--13:44:12,NaN,13.0,11.8,9.3,3.3,0.4
2019-01-15--13:47:48,NaN,13.1,11.9,9.3,3.4,0.4
2019-01-15--13:51:24,NaN,13.1,11.9,9.3,3.4,0.4
2019-01-15--13:55:00,NaN,13.1,11.9,9.3,3.4,0.4
2019-01-15--13:58:36,NaN,13.1,11.9,9.3,3.4,0.4
2019-01-15--14:02:12,NaN,13.1,11.9,9.3,3.4,0.4
2019-01-15--14:05:48,NaN,13.1,11.9,9.3,3.4,0.4
2019-01-15--14:09:24,NaN,13.1,11.9,9.3,3.4,0.4
2019-01-15--14:13:00,NaN,13.1,11.9,9.3,3.4,0.4
2019-01-15--14:16:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--14:20:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--14:23:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--14:27:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--14:31:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--14:34:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--14:38:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--14:41:48,NaN,0.0,0.0,0.0,0.0,0.0
