,100_APAR_127.17,104_APAR_128.18,108_APAR_129.19,112_APAR_130.20,116_APAR_131.21,120_APAR_132.22,124_APAR_133.23,128_APAR_134.24,132_APAR_135.25,21_APAR_111.1,25_APAR_112.2,3820_APAR_19.19,3824_APAR_20.20,44_APAR_113.3,48_APAR_114.4,52_APAR_115.5,56_APAR_116.6,60_APAR_117.7,64_APAR_118.8,650_FIF_104.4,652_FIF_105.5,654_FIF_106.6,68_APAR_119.9,72_APAR_120.10,76_APAR_121.11,80_APAR_122.12,84_APAR_123.13,88_APAR_124.14,92_APAR_125.15,96_APAR_126.16
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15 23:45:36,42.4,54.8,65.3,,,,,,,33.7,34.1,,,33.1,56.4,91.9,43.5,43.8,46.9,32.08,26.12,27.0,58.9,32.7,35.3,41.1,47.9,40.6,49.4,61.7
2019-01-15 23:52:48,42.4,54.8,65.3,,,,,,,33.7,34.1,,,33.1,56.4,91.8,43.5,43.8,46.9,32.173913,26.173913,27.0,58.9,32.6,35.3,41.1,47.9,40.6,49.4,61.7
2019-01-16 00:00:00,42.4,54.8,65.3,,,,,,,33.7,34.1,,,33.1,56.4,91.8,43.5,43.8,46.9,32.173913,26.173913,27.0,58.9,32.6,35.3,41.1,47.9,40.6,49.4,61.7
2019-01-16 00:07:12,42.4,54.8,65.3,,,,,,,33.7,34.0,,,33.1,56.4,91.8,43.5,43.8,46.9,31.870968,26.258065,27.0,58.9,32.6,35.3,41.1,47.9,40.6,49.4,61.7
2019-01-16 00:14:24,42.4,54.8,65.3,,,,,,,33.7,34.0,,,33.1,56.4,91.8,43.5,43.8,46.9,31.870968,26.258065,27.0,58.9,32.6,35.3,41.1,47.9,40.6,49.4,61.7
2019-01-16 00:21:36,42.4,54.8,65.3,,,,,,,33.7,34.0,,,33.1,56.3,91.8,43.5,43.8,46.9,32.058824,26.147059,27.0,58.9,32.6,35.3,41.1,47.9,40.6,49.4,61.7
2019-01-16 00:28:48,42.4,54.8,65.3,,,,,,,33.7,34.0,,,33.1,56.3,91.8,43.5,43.8,46.9,32.058824,26.147059,27.0,58.9,32.6,35.3,41.1,47.9,40.6,49.4,61.7
2019-01-16 00:36:00,42.4,54.8,65.2,,,,,,,33.7,34.0,,,33.1,56.3,91.8,43.5,43.8,46.9,32.205882,26.205882,27.0,58.9,32.6,35.3,41.0,47.9,40.6,49.4,61.7
2019-01-16 00:43:12,42.4,54.8,65.2,,,,,,,33.7,34.0,,,33.1,56.3,91.8,43.5,43.8,46.9,32.205882,26.205882,27.0,58.9,32.6,35.3,41.0,47.9,40.6,49.4,61.7
2019-01-16 00:50:24,42.4,54.8,65.2,,,,,,,33.6,34.0,,,33.1,56.3,91.8,43.5,43.8,46.9,31.441176,26.147059,27.0,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.7
2019-01-16 00:57:36,42.4,54.8,65.2,,,,,,,33.6,34.0,,,33.1,56.3,91.8,43.5,43.8,46.9,31.441176,26.147059,27.0,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.7
2019-01-16 01:04:48,42.3,54.8,65.2,,,,,,,33.6,34.0,,,33.0,56.3,91.8,43.5,43.8,46.9,32.205882,26.705882,27.0,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.7
2019-01-16 01:12:00,42.3,54.8,65.2,,,,,,,33.6,34.0,,,33.0,56.3,91.8,43.5,43.8,46.9,32.205882,26.705882,27.0,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.7
2019-01-16 01:19:12,42.3,54.8,65.2,,,,,,,33.6,34.0,,,33.0,56.2,91.8,43.5,43.8,46.9,31.969697,26.575758,27.0,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.6
2019-01-16 01:26:24,42.3,54.8,65.2,,,,,,,33.6,34.0,,,33.0,56.2,91.8,43.5,43.8,46.9,31.969697,26.575758,27.0,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.6
2019-01-16 01:33:36,42.3,54.8,65.2,,,,,,,33.6,33.9,,,33.0,56.2,91.8,43.5,43.8,46.9,32.363636,26.606061,27.090909,58.9,32.6,35.5,41.0,47.9,40.6,49.3,61.6
2019-01-16 01:40:48,42.3,54.8,65.2,,,,,,,33.6,33.9,,,33.0,56.2,91.8,43.5,43.8,46.9,32.363636,26.606061,27.090909,58.9,32.6,35.5,41.0,47.9,40.6,49.3,61.6
2019-01-16 01:48:00,42.3,54.8,65.1,,,,,,,33.5,33.9,,,33.0,56.1,91.8,43.5,43.8,46.9,31.78125,26.6875,27.0,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.6
2019-01-16 01:55:12,42.3,54.8,65.1,,,,,,,33.5,33.9,,,33.0,56.1,91.8,43.5,43.8,46.9,31.78125,26.6875,27.0,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.6
2019-01-16 02:02:24,42.3,54.8,65.1,,,,,,,33.5,33.9,,,33.0,56.1,91.8,43.5,43.8,46.9,32.272727,26.757576,27.151515,58.9,32.6,35.5,41.0,47.9,40.6,49.3,61.6
2019-01-16 02:09:36,42.3,54.8,65.1,,,,,,,33.5,33.9,,,33.0,56.1,91.8,43.5,43.8,46.9,32.272727,26.757576,27.151515,58.9,32.6,35.5,41.0,47.9,40.6,49.3,61.6
2019-01-16 02:16:48,42.3,54.8,65.1,,,,,,,33.5,33.9,,,33.0,56.1,91.8,43.5,43.8,46.9,31.939394,26.575758,27.060606,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.5
2019-01-16 02:24:00,42.3,54.8,65.1,,,,,,,33.5,33.9,,,33.0,56.1,91.8,43.5,43.8,46.9,31.939394,26.575758,27.060606,58.9,32.6,35.4,41.0,47.9,40.6,49.3,61.5
