,416_APAR_611.11,420_APAR_612.12,424_APAR_613.13,428_APAR_614.14,432_APAR_615.15,436_APAR_616.16,440_APAR_617.17,444_APAR_618.18,448_APAR_619.19,452_APAR_620.20,456_APAR_621.21,460_APAR_622.22,464_APAR_623.23,468_APAR_624.24,472_APAR_625.25,696_FIF_602.2,698_FIF_603.3,700_FIF_604.4,702_FIF_605.5,704_FIF_606.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-29 23:45:36,23.0,23.2,26.9,34.5,44.5,24.2,24.3,32.2,36.4,42.1,23.9,24.4,28.2,49.0,72.3,25.103448,28.0,28.0,32.0,23.0
2019-01-29 23:52:48,23.0,23.2,26.9,34.5,44.5,24.2,24.3,32.2,36.4,42.1,24.0,24.5,28.2,49.0,72.3,25.074074,28.0,28.0,32.0,23.0
2019-01-30 00:00:00,23.0,23.2,26.9,34.5,44.5,24.2,24.3,32.2,36.4,42.1,24.0,24.5,28.2,49.0,72.3,25.074074,28.0,28.0,32.0,23.0
2019-01-30 00:07:12,23.0,23.2,26.9,34.5,44.5,24.2,24.3,32.2,36.4,42.1,24.0,24.5,28.2,49.0,72.3,25.0,28.0,28.0,32.0,23.0
2019-01-30 00:14:24,23.0,23.2,26.9,34.5,44.5,24.2,24.3,32.2,36.4,42.1,24.0,24.5,28.2,49.0,72.3,25.0,28.0,28.0,32.0,23.0
2019-01-30 00:21:36,23.1,23.2,26.9,34.5,44.5,24.2,24.4,32.2,36.4,42.1,24.0,24.5,28.2,49.0,72.3,25.0,28.0,28.0,32.0,23.0
2019-01-30 00:28:48,23.1,23.2,26.9,34.5,44.5,24.2,24.4,32.2,36.4,42.1,24.0,24.5,28.2,49.0,72.3,25.0,28.0,28.0,32.0,23.0
2019-01-30 00:36:00,23.1,23.3,26.9,34.5,44.5,24.3,24.4,32.2,36.4,42.1,24.0,24.5,28.2,49.0,72.4,25.0,28.0,28.0,32.0,23.0
2019-01-30 00:43:12,23.1,23.3,26.9,34.5,44.5,24.3,24.4,32.2,36.4,42.1,24.0,24.5,28.2,49.0,72.4,25.0,28.0,28.0,32.0,23.0
2019-01-30 00:50:24,23.1,23.3,26.9,34.5,44.5,24.3,24.4,32.2,36.4,42.1,24.0,24.6,28.2,49.0,72.4,25.0,28.0,28.0,32.0,23.0
