,252_APAR_314.14,256_APAR_315.15,260_APAR_316.16,264_APAR_317.17,268_APAR_318.18,272_APAR_319.19,276_APAR_320.20,280_APAR_321.21,284_APAR_322.22,288_APAR_323.23,292_APAR_324.24,296_APAR_325.25,300_APAR_326.26,666_FIF_304.4,668_FIF_305.5,670_FIF_306.6,672_FIF_310.10,674_FIF_311.11,676_FIF_312.12,678_FIF_313.13
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-02-08 23:45:36,25.2,25.8,26.2,40.8,81.1,35.7,37.5,39.8,48.8,26.9,27.4,32.4,39.3,30.0,27.0,27.0,,,48.896552,25.344828
2019-02-08 23:52:48,25.2,25.8,26.2,40.8,81.1,35.7,37.5,39.8,48.8,26.9,27.4,32.4,39.3,30.0,27.0,27.0,,,48.966667,25.0
2019-02-09 00:00:00,25.2,25.8,26.2,40.8,81.1,35.7,37.5,39.8,48.8,26.9,27.4,32.4,39.3,30.0,27.0,27.0,,,48.966667,25.0
2019-02-09 00:07:12,25.2,25.8,26.1,40.7,81.1,35.7,37.5,39.8,48.8,26.9,27.5,32.4,39.3,30.0,26.909091,27.0,,,49.045455,25.0
2019-02-09 00:14:24,25.2,25.8,26.1,40.7,81.1,35.7,37.5,39.8,48.8,26.9,27.5,32.4,39.3,30.0,26.909091,27.0,,,49.045455,25.0
2019-02-09 00:21:36,25.2,25.8,26.1,40.7,81.1,35.7,37.5,39.8,48.8,26.9,27.5,32.4,39.3,30.0,26.956522,27.0,,,49.391304,25.0
2019-02-09 00:28:48,25.2,25.8,26.1,40.7,81.1,35.7,37.5,39.8,48.8,26.9,27.5,32.4,39.3,30.0,26.956522,27.0,,,49.391304,25.0
2019-02-09 00:36:00,25.2,25.7,26.1,40.7,81.2,35.7,37.5,39.7,48.8,26.9,27.5,32.4,39.3,30.0,26.923077,27.0,,,49.615385,25.0
2019-02-09 00:43:12,25.2,25.7,26.1,40.7,81.2,35.7,37.5,39.7,48.8,26.9,27.5,32.4,39.3,30.0,26.923077,27.0,,,49.615385,25.0
2019-02-09 00:50:24,25.2,25.7,26.0,40.6,81.2,35.7,37.5,39.7,48.8,26.9,27.5,32.4,39.3,30.0,26.8,27.0,,,49.633333,25.0
2019-02-09 00:57:36,25.2,25.7,26.0,40.6,81.2,35.7,37.5,39.7,48.8,26.9,27.5,32.4,39.3,30.0,26.8,27.0,,,49.633333,25.0
